region,status,fqdn,ip_address,missing_in_ipam
northeast,active,PHLPADS68.northeast.lightspeed.net,10.60.126.123,0
northwest,active,GEGWAED28.northwest.lightspeed.net,10.70.147.32,0
northwest,active,PORORED31.northwest.lightspeed.net,10.70.98.1,0
west,active,SEAWADS55.west.lightspeed.net,10.30.62.206,0
northeast,active,BOSMAED94.northeast.lightspeed.net,10.60.45.87,0
central,active,OKCOKED62.central.lightspeed.net,10.10.6.140,0
northeast,active,NYCNYDS40.northeast.lightspeed.net,10.60.89.223,0
southeast,degraded,JAXFLDS15.southeast.lightspeed.net,10.40.97.187,0
northwest,active,BOIIDDS21.northwest.lightspeed.net,10.70.91.164,0
west,down,LAXCASW43.west.lightspeed.net,10.30.135.161,0
east,degraded,PITPASW58.east.lightspeed.net,10.20.199.171,0
northwest,degraded,PORORED70.northwest.lightspeed.net,10.70.238.119,0
central,active,OKCOKRT63.central.lightspeed.net,10.10.71.59,0
west,active,SEAWACO08.west.lightspeed.net,10.30.175.241,0
east,degraded,PITPAED56.east.lightspeed.net,10.20.240.85,0
southwest,active,ABQNMED26.southwest.lightspeed.net,10.50.192.80,0
northeast,active,BOSMASW08.northeast.lightspeed.net,10.60.254.175,0
northwest,active,BOIIDDS37.northwest.lightspeed.net,10.70.9.39,0
northeast,active,BOSMAED06.northeast.lightspeed.net,10.60.193.194,0
west,active,SFOCAED90.west.lightspeed.net,10.30.160.71,0
northeast,degraded,NYCNYSW56.northeast.lightspeed.net,10.60.104.98,0
northwest,degraded,GEGWAED36.northwest.lightspeed.net,10.70.76.164,0
west,active,LAXCADS65.west.lightspeed.net,10.30.236.36,0
west,active,LAXCADS97.west.lightspeed.net,10.30.34.116,0
southwest,active,ABQNMDS75.southwest.lightspeed.net,10.50.215.117,0
west,active,SFOCADS69.west.lightspeed.net,10.30.162.198,0
southwest,active,ELPTXSW52.southwest.lightspeed.net,10.50.175.211,0
central,down,OKCOKED97.central.lightspeed.net,10.10.81.70,0
northwest,degraded,GEGWASW07.northwest.lightspeed.net,10.70.157.35,0
northwest,down,PORORRT26.northwest.lightspeed.net,10.70.173.126,0
central,degraded,DALTXDS47.central.lightspeed.net,10.10.157.210,0
central,active,AUSTXED14.central.lightspeed.net,10.10.82.97,0
northwest,active,BOIIDSW10.northwest.lightspeed.net,10.70.254.211,0
,active,PHLPAED67.northeast.lightspeed.net,10.60.111.207,1
northeast,degraded,BOSMADS21.northeast.lightspeed.net,10.60.67.218,0
northeast,active,NYCNYED71.northeast.lightspeed.net,10.60.31.182,0
east,retired,ATLGAED60.east.lightspeed.net,10.20.175.11,0
west,active,SFOCADS79.west.lightspeed.net,10.30.172.22,0
southwest,active,PHXAZCO85.southwest.lightspeed.net,10.50.193.80,0
northeast,active,BOSMADS32.northeast.lightspeed.net,10.60.55.149,0
northeast,active,PHLPAAG29.northeast.lightspeed.net,10.60.205.12,0
northeast,active,PHLPASW89.northeast.lightspeed.net,10.60.184.32,0
west,active,SFOCADS78.west.lightspeed.net,10.30.0.246,0
northwest,degraded,GEGWASW46.northwest.lightspeed.net,10.70.30.238,0
northwest,active,BOIIDED55.northwest.lightspeed.net,10.70.186.187,0
southeast,active,BNATNED13.southeast.lightspeed.net,10.40.225.220,0
east,down,CLTNCED18.east.lightspeed.net,10.20.154.95,0
northwest,active,GEGWAED78.northwest.lightspeed.net,10.70.136.209,0
northwest,active,GEGWASW44.northwest.lightspeed.net,10.70.132.64,0
northwest,active,BOIIDED54.northwest.lightspeed.net,10.70.196.221,0
southeast,degraded,MIAFLDS71.southeast.lightspeed.net,10.40.32.237,0
northwest,degraded,GEGWADS54.northwest.lightspeed.net,10.70.217.138,0
central,active,AUSTXSW54.central.lightspeed.net,10.10.210.63,0
northeast,active,NYCNYED34.northeast.lightspeed.net,10.60.123.140,0
northwest,active,GEGWADS45.northwest.lightspeed.net,10.70.58.235,0
northwest,down,PORORED67.northwest.lightspeed.net,10.70.141.36,0
northeast,active,PHLPART18.northeast.lightspeed.net,10.60.108.237,0
,degraded,BOSMAED92.northeast.lightspeed.net,10.60.241.98,1
northwest,degraded,BOIIDSW21.northwest.lightspeed.net,10.70.144.235,0
northwest,active,BOIIDSW20.northwest.lightspeed.net,10.70.120.157,0
northeast,active,PHLPASW04.northeast.lightspeed.net,10.60.20.103,0
west,degraded,SEAWADS05.west.lightspeed.net,10.30.27.36,0
northwest,degraded,PORORSW32.northwest.lightspeed.net,10.70.200.105,0
west,degraded,LAXCAAG29.west.lightspeed.net,10.30.103.69,0
west,active,SFOCAED78.west.lightspeed.net,10.30.84.253,0
northeast,active,PHLPAED91.northeast.lightspeed.net,10.60.90.245,0
west,active,LAXCACO34.west.lightspeed.net,10.30.58.121,0
northwest,degraded,GEGWADS70.northwest.lightspeed.net,10.70.16.189,0
southwest,down,PHXAZDS20.southwest.lightspeed.net,10.50.65.133,0
east,active,ATLGAED95.east.lightspeed.net,10.20.62.144,0
east,active,CLTNCDS34.east.lightspeed.net,10.20.52.22,0
northwest,active,PORORSW71.northwest.lightspeed.net,10.70.24.28,0
southeast,degraded,MIAFLDS18.southeast.lightspeed.net,10.40.65.185,0
west,degraded,SEAWASW30.west.lightspeed.net,10.30.197.20,0
west,active,SFOCASW17.west.lightspeed.net,10.30.100.49,0
northeast,retired,PHLPADS33.northeast.lightspeed.net,10.60.67.167,0
northwest,active,BOIIDDS86.northwest.lightspeed.net,10.70.115.80,0
northeast,active,PHLPADS85.northeast.lightspeed.net,10.60.58.206,0
northwest,degraded,BOIIDDS19.northwest.lightspeed.net,10.70.224.137,0
central,active,OKCOKCO59.central.lightspeed.net,10.10.238.77,0
northwest,degraded,GEGWAED25.northwest.lightspeed.net,10.70.118.23,0
southwest,down,ELPTXCO99.southwest.lightspeed.net,10.50.200.80,0
east,active,CLTNCSW86.east.lightspeed.net,10.20.167.20,0
northwest,active,GEGWAAG06.northwest.lightspeed.net,10.70.5.202,0
northeast,degraded,BOSMASW92.northeast.lightspeed.net,10.60.238.250,0
northwest,degraded,BOIIDDS64.northwest.lightspeed.net,10.70.139.147,0
northwest,degraded,BOIIDDS92.northwest.lightspeed.net,10.70.66.10,0
east,active,PITPADS68.east.lightspeed.net,10.20.29.244,0
,degraded,SEAWAED02.west.lightspeed.net,10.30.53.135,1
central,down,OKCOKAG22.central.lightspeed.net,10.10.43.47,0
southwest,active,PHXAZDS41.southwest.lightspeed.net,10.50.81.24,0
northwest,active,BOIIDED11.northwest.lightspeed.net,10.70.21.184,0
central,active,DALTXED61.central.lightspeed.net,10.10.104.130,0
,down,NYCNYSW30.northeast.lightspeed.net,10.60.137.197,1
central,active,OKCOKRT78.central.lightspeed.net,10.10.111.220,0
east,active,CLTNCSW90.east.lightspeed.net,10.20.56.49,0
east,degraded,ATLGAED51.east.lightspeed.net,10.20.95.163,0
southeast,active,MIAFLRT17.southeast.lightspeed.net,10.40.225.134,0
,degraded,PHLPAED01.northeast.lightspeed.net,10.60.31.48,1
central,active,OKCOKSW42.central.lightspeed.net,10.10.112.96,0
northwest,active,PORORED17.northwest.lightspeed.net,10.70.140.27,0
northeast,degraded,PHLPASW95.northeast.lightspeed.net,10.60.255.70,0
,active,PHLPASW01.northeast.lightspeed.net,10.60.151.1,1
northwest,active,GEGWART63.northwest.lightspeed.net,10.70.27.167,0
west,active,SFOCADS12.west.lightspeed.net,10.30.132.189,0
east,active,CLTNCDS88.east.lightspeed.net,10.20.218.64,0
west,active,SFOCADS24.west.lightspeed.net,10.30.207.214,0
southwest,active,PHXAZSW22.southwest.lightspeed.net,10.50.236.74,0
northeast,active,PHLPAED49.northeast.lightspeed.net,10.60.162.43,0
northwest,retired,PORORSW21.northwest.lightspeed.net,10.70.155.185,0
northwest,active,GEGWASW83.northwest.lightspeed.net,10.70.251.217,0
northeast,retired,PHLPART16.northeast.lightspeed.net,10.60.214.245,0
east,degraded,ATLGAED73.east.lightspeed.net,10.20.64.41,0
southeast,active,MIAFLSW73.southeast.lightspeed.net,10.40.22.120,0
southeast,active,JAXFLRT84.southeast.lightspeed.net,10.40.64.98,0
northeast,active,BOSMASW70.northeast.lightspeed.net,10.60.127.37,0
northeast,active,BOSMADS16.northeast.lightspeed.net,10.60.138.138,0
west,degraded,LAXCACO55.west.lightspeed.net,10.30.222.156,0
west,active,SEAWART63.west.lightspeed.net,10.30.124.66,0
west,degraded,LAXCADS79.west.lightspeed.net,10.30.114.176,0
east,active,ATLGADS65.east.lightspeed.net,10.20.55.204,0
central,active,OKCOKRT11.central.lightspeed.net,10.10.37.31,0
,active,LAXCAED58.west.lightspeed.net,10.30.157.70,1
east,degraded,CLTNCDS29.east.lightspeed.net,10.20.120.44,0
northeast,active,NYCNYED97.northeast.lightspeed.net,10.60.43.73,0
northeast,degraded,NYCNYSW49.northeast.lightspeed.net,10.60.91.229,0
east,active,ATLGAAG98.east.lightspeed.net,10.20.207.136,0
northwest,degraded,BOIIDAG23.northwest.lightspeed.net,10.70.187.219,0
northwest,degraded,GEGWASW40.northwest.lightspeed.net,10.70.67.170,0
west,active,SFOCASW79.west.lightspeed.net,10.30.0.137,0
northeast,active,NYCNYDS24.northeast.lightspeed.net,10.60.5.182,0
southeast,active,JAXFLSW57.southeast.lightspeed.net,10.40.200.92,0
west,active,SFOCAED60.west.lightspeed.net,10.30.22.185,0
northwest,active,GEGWAED86.northwest.lightspeed.net,10.70.154.69,0
northeast,retired,BOSMAED15.northeast.lightspeed.net,10.60.220.173,0
west,active,SFOCAAG66.west.lightspeed.net,10.30.216.208,0
northeast,active,NYCNYED39.northeast.lightspeed.net,10.60.115.227,0
southwest,active,ABQNMSW10.southwest.lightspeed.net,10.50.15.232,0
northeast,active,BOSMASW40.northeast.lightspeed.net,10.60.99.251,0
west,degraded,LAXCAED14.west.lightspeed.net,10.30.250.25,0
central,active,AUSTXSW10.central.lightspeed.net,10.10.33.144,0
,degraded,PHLPADS57.northeast.lightspeed.net,10.60.17.176,1
southwest,degraded,ELPTXED04.southwest.lightspeed.net,10.50.30.33,0
southwest,degraded,ABQNMCO78.southwest.lightspeed.net,10.50.175.251,0
,degraded,BOSMADS61.northeast.lightspeed.net,10.60.104.119,1
northwest,active,GEGWAED98.northwest.lightspeed.net,10.70.237.68,0
west,active,SEAWADS96.west.lightspeed.net,10.30.172.212,0
northeast,down,NYCNYCO32.northeast.lightspeed.net,10.60.143.5,0
west,active,LAXCAED76.west.lightspeed.net,10.30.23.124,0
northwest,degraded,BOIIDSW53.northwest.lightspeed.net,10.70.106.236,0
southeast,active,MIAFLRT53.southeast.lightspeed.net,10.40.209.180,0
northeast,active,PHLPADS06.northeast.lightspeed.net,10.60.8.56,0
northwest,active,BOIIDSW08.northwest.lightspeed.net,10.70.153.71,0
east,degraded,PITPAAG50.east.lightspeed.net,10.20.228.104,0
east,active,CLTNCDS49.east.lightspeed.net,10.20.13.119,0
northeast,active,PHLPADS42.northeast.lightspeed.net,10.60.184.247,0
southwest,degraded,PHXAZSW93.southwest.lightspeed.net,10.50.154.131,0
west,down,SFOCAED35.west.lightspeed.net,10.30.119.10,0
northwest,active,GEGWADS42.northwest.lightspeed.net,10.70.198.40,0
northwest,active,BOIIDED76.northwest.lightspeed.net,10.70.142.251,0
southwest,degraded,PHXAZCO18.southwest.lightspeed.net,10.50.79.108,0
central,down,DALTXSW37.central.lightspeed.net,10.10.42.147,0
southeast,active,MIAFLSW78.southeast.lightspeed.net,10.40.138.144,0
northwest,active,BOIIDSW61.northwest.lightspeed.net,10.70.208.173,0
northeast,degraded,BOSMAAG75.northeast.lightspeed.net,10.60.34.118,0
west,retired,SFOCART29.west.lightspeed.net,10.30.51.249,0
west,down,SEAWAED33.west.lightspeed.net,10.30.127.194,0
northwest,degraded,BOIIDED57.northwest.lightspeed.net,10.70.41.132,0
west,degraded,SEAWAED25.west.lightspeed.net,10.30.104.91,0
,active,PHLPAED37.northeast.lightspeed.net,10.60.145.68,1
northeast,degraded,PHLPADS88.northeast.lightspeed.net,10.60.47.90,0
west,active,SEAWASW42.west.lightspeed.net,10.30.181.255,0
northwest,active,GEGWASW33.northwest.lightspeed.net,10.70.85.172,0
west,active,SFOCAAG75.west.lightspeed.net,10.30.250.52,0
northwest,active,GEGWADS87.northwest.lightspeed.net,10.70.145.223,0
,retired,PHLPASW11.northeast.lightspeed.net,10.60.162.140,1
west,active,SFOCASW10.west.lightspeed.net,10.30.193.36,0
northeast,active,BOSMASW32.northeast.lightspeed.net,10.60.246.210,0
southwest,active,PHXAZDS81.southwest.lightspeed.net,10.50.237.185,0
northwest,degraded,GEGWAED01.northwest.lightspeed.net,10.70.239.25,0
northeast,active,PHLPAAG56.northeast.lightspeed.net,10.60.92.253,0
west,active,LAXCAED10.west.lightspeed.net,10.30.6.70,0
northeast,active,BOSMADS92.northeast.lightspeed.net,10.60.50.20,0
northeast,active,PHLPADS65.northeast.lightspeed.net,10.60.251.152,0
central,retired,DALTXRT59.central.lightspeed.net,10.10.108.182,0
northwest,active,GEGWASW14.northwest.lightspeed.net,10.70.211.72,0
west,active,LAXCADS75.west.lightspeed.net,10.30.165.226,0
northwest,active,BOIIDAG20.northwest.lightspeed.net,10.70.226.190,0
west,active,SFOCADS53.west.lightspeed.net,10.30.155.105,0
west,degraded,SEAWADS69.west.lightspeed.net,10.30.224.184,0
southeast,active,JAXFLRT25.southeast.lightspeed.net,10.40.65.211,0
,active,BOSMADS29.northeast.lightspeed.net,10.60.245.234,1
west,degraded,LAXCADS83.west.lightspeed.net,10.30.85.105,0
northwest,degraded,BOIIDSW58.northwest.lightspeed.net,10.70.194.14,0
northeast,active,BOSMADS76.northeast.lightspeed.net,10.60.242.47,0
east,active,ATLGACO30.east.lightspeed.net,10.20.109.151,0
southwest,down,ABQNMDS21.southwest.lightspeed.net,10.50.16.254,0
west,active,SEAWAED92.west.lightspeed.net,10.30.207.190,0
west,degraded,SFOCAAG25.west.lightspeed.net,10.30.237.169,0
northwest,degraded,BOIIDED17.northwest.lightspeed.net,10.70.80.179,0
northwest,active,PORORSW93.northwest.lightspeed.net,10.70.134.86,0
east,active,CLTNCDS41.east.lightspeed.net,10.20.44.217,0
west,down,SFOCAED95.west.lightspeed.net,10.30.242.159,0
east,active,PITPASW29.east.lightspeed.net,10.20.218.231,0
west,active,SEAWASW56.west.lightspeed.net,10.30.28.187,0
west,retired,SEAWASW48.west.lightspeed.net,10.30.137.75,0
northwest,active,GEGWAED35.northwest.lightspeed.net,10.70.59.9,0
west,active,SEAWADS18.west.lightspeed.net,10.30.225.36,0
northwest,active,BOIIDED82.northwest.lightspeed.net,10.70.121.143,0
east,active,ATLGAED75.east.lightspeed.net,10.20.175.190,0
central,down,DALTXED65.central.lightspeed.net,10.10.200.194,0
,active,BOSMAAG65.northeast.lightspeed.net,10.60.11.31,1
central,active,DALTXRT05.central.lightspeed.net,10.10.42.118,0
west,active,SFOCAED19.west.lightspeed.net,10.30.95.151,0
west,degraded,SFOCASW08.west.lightspeed.net,10.30.233.167,0
,active,BOSMACO94.northeast.lightspeed.net,10.60.67.58,1
northeast,active,BOSMASW50.northeast.lightspeed.net,10.60.98.28,0
northwest,active,BOIIDDS14.northwest.lightspeed.net,10.70.136.167,0
southwest,active,PHXAZDS33.southwest.lightspeed.net,10.50.173.23,0
northeast,retired,BOSMADS05.northeast.lightspeed.net,10.60.113.44,0
northeast,degraded,PHLPADS69.northeast.lightspeed.net,10.60.131.172,0
central,active,DALTXDS29.central.lightspeed.net,10.10.110.238,0
northwest,active,GEGWAED59.northwest.lightspeed.net,10.70.92.151,0
east,active,CLTNCED35.east.lightspeed.net,10.20.202.196,0
southwest,active,ABQNMCO48.southwest.lightspeed.net,10.50.98.111,0
southwest,active,ABQNMSW54.southwest.lightspeed.net,10.50.174.45,0
east,active,CLTNCED33.east.lightspeed.net,10.20.55.78,0
west,active,LAXCACO59.west.lightspeed.net,10.30.229.201,0
central,degraded,OKCOKRT15.central.lightspeed.net,10.10.84.38,0
west,active,SEAWADS59.west.lightspeed.net,10.30.16.91,0
northwest,active,PORORCO37.northwest.lightspeed.net,10.70.56.142,0
,active,PHLPADS48.northeast.lightspeed.net,10.60.42.21,1
northeast,active,PHLPACO24.northeast.lightspeed.net,10.60.165.152,0
west,active,SFOCAAG99.west.lightspeed.net,10.30.2.64,0
west,degraded,SFOCADS28.west.lightspeed.net,10.30.157.110,0
southwest,active,ABQNMED29.southwest.lightspeed.net,10.50.175.239,0
west,active,LAXCADS60.west.lightspeed.net,10.30.84.44,0
west,active,SEAWAED82.west.lightspeed.net,10.30.136.201,0
central,degraded,OKCOKAG99.central.lightspeed.net,10.10.161.7,0
,degraded,NYCNYDS84.northeast.lightspeed.net,10.60.131.16,1
west,active,SFOCACO03.west.lightspeed.net,10.30.164.6,0
central,active,DALTXSW23.central.lightspeed.net,10.10.215.174,0
southeast,active,MIAFLRT86.southeast.lightspeed.net,10.40.96.16,0
west,active,LAXCART61.west.lightspeed.net,10.30.231.120,0
northeast,active,PHLPASW83.northeast.lightspeed.net,10.60.44.124,0
southeast,active,MIAFLED04.southeast.lightspeed.net,10.40.247.17,0
,active,BOSMART30.northeast.lightspeed.net,10.60.8.208,1
west,active,LAXCAED26.west.lightspeed.net,10.30.31.137,0
east,down,ATLGART71.east.lightspeed.net,10.20.53.13,0
,active,LAXCAAG81.west.lightspeed.net,10.30.183.80,1
northeast,active,BOSMAED67.northeast.lightspeed.net,10.60.151.224,0
northwest,active,GEGWART62.northwest.lightspeed.net,10.70.9.60,0
,active,NYCNYRT92.northeast.lightspeed.net,10.60.128.24,1
west,degraded,SEAWADS67.west.lightspeed.net,10.30.34.220,0
west,degraded,SFOCAED65.west.lightspeed.net,10.30.255.189,0
east,down,CLTNCDS35.east.lightspeed.net,10.20.89.16,0
,degraded,BOSMASW14.northeast.lightspeed.net,10.60.191.40,1
northwest,active,PORORRT55.northwest.lightspeed.net,10.70.227.230,0
southeast,degraded,BNATNAG65.southeast.lightspeed.net,10.40.182.60,0
northwest,retired,PORORDS67.northwest.lightspeed.net,10.70.169.91,0
southeast,active,MIAFLED42.southeast.lightspeed.net,10.40.247.255,0
west,down,SEAWART73.west.lightspeed.net,10.30.179.195,0
,active,NYCNYSW12.northeast.lightspeed.net,10.60.75.116,1
northwest,active,PORORRT06.northwest.lightspeed.net,10.70.175.30,0
east,active,PITPASW14.east.lightspeed.net,10.20.133.71,0
northwest,active,GEGWADS76.northwest.lightspeed.net,10.70.101.230,0
northwest,active,PORORDS04.northwest.lightspeed.net,10.70.4.29,0
southwest,active,PHXAZED89.southwest.lightspeed.net,10.50.182.109,0
northeast,active,PHLPART75.northeast.lightspeed.net,10.60.164.254,0
southwest,active,PHXAZDS90.southwest.lightspeed.net,10.50.38.195,0
,active,NYCNYAG96.northeast.lightspeed.net,10.60.163.223,1
northwest,active,PORORSW68.northwest.lightspeed.net,10.70.54.137,0
east,degraded,PITPADS58.east.lightspeed.net,10.20.105.40,0
northeast,active,BOSMASW49.northeast.lightspeed.net,10.60.162.110,0
northwest,degraded,BOIIDED18.northwest.lightspeed.net,10.70.179.97,0
east,active,PITPASW11.east.lightspeed.net,10.20.135.8,0
northwest,active,BOIIDED24.northwest.lightspeed.net,10.70.129.235,0
northwest,active,BOIIDED12.northwest.lightspeed.net,10.70.137.239,0
central,active,OKCOKED81.central.lightspeed.net,10.10.220.235,0
southwest,active,ELPTXAG05.southwest.lightspeed.net,10.50.23.113,0
west,degraded,LAXCACO57.west.lightspeed.net,10.30.101.200,0
northeast,active,PHLPAED05.northeast.lightspeed.net,10.60.190.135,0
northwest,active,GEGWASW72.northwest.lightspeed.net,10.70.122.163,0
northwest,active,GEGWADS65.northwest.lightspeed.net,10.70.97.111,0
,active,SFOCACO88.west.lightspeed.net,10.30.73.104,1
northwest,degraded,GEGWAED10.northwest.lightspeed.net,10.70.76.225,0
east,active,CLTNCED12.east.lightspeed.net,10.20.153.51,0
northwest,degraded,BOIIDED52.northwest.lightspeed.net,10.70.131.169,0
southeast,degraded,JAXFLAG34.southeast.lightspeed.net,10.40.212.142,0
,active,PHLPART34.northeast.lightspeed.net,10.60.16.222,1
southwest,degraded,PHXAZED69.southwest.lightspeed.net,10.50.22.128,0
east,down,ATLGADS95.east.lightspeed.net,10.20.133.109,0
northwest,active,PORORDS97.northwest.lightspeed.net,10.70.20.99,0
northeast,active,BOSMAAG66.northeast.lightspeed.net,10.60.184.205,0
,active,BOSMAED56.northeast.lightspeed.net,10.60.103.14,1
central,active,OKCOKED59.central.lightspeed.net,10.10.170.100,0
northeast,active,BOSMART53.northeast.lightspeed.net,10.60.47.140,0
west,active,SFOCADS92.west.lightspeed.net,10.30.62.200,0
west,active,SFOCADS44.west.lightspeed.net,10.30.95.114,0
west,retired,LAXCASW63.west.lightspeed.net,10.30.6.76,0
southeast,active,BNATNED46.southeast.lightspeed.net,10.40.71.153,0
west,retired,SEAWAED41.west.lightspeed.net,10.30.177.215,0
central,active,DALTXDS11.central.lightspeed.net,10.10.151.15,0
southwest,active,ABQNMRT54.southwest.lightspeed.net,10.50.253.64,0
east,degraded,CLTNCCO51.east.lightspeed.net,10.20.84.42,0
east,active,ATLGASW32.east.lightspeed.net,10.20.147.217,0
central,active,AUSTXAG19.central.lightspeed.net,10.10.40.61,0
southeast,active,JAXFLAG26.southeast.lightspeed.net,10.40.192.223,0
southwest,active,ABQNMAG11.southwest.lightspeed.net,10.50.10.165,0
northeast,down,NYCNYRT37.northeast.lightspeed.net,10.60.28.65,0
southwest,active,PHXAZSW53.southwest.lightspeed.net,10.50.83.177,0
west,active,LAXCADS39.west.lightspeed.net,10.30.29.142,0
west,active,LAXCADS45.west.lightspeed.net,10.30.153.117,0
east,active,ATLGADS92.east.lightspeed.net,10.20.31.237,0
northwest,active,GEGWART84.northwest.lightspeed.net,10.70.137.161,0
east,degraded,CLTNCRT23.east.lightspeed.net,10.20.163.66,0
,active,NYCNYED77.northeast.lightspeed.net,10.60.97.168,1
northwest,active,GEGWADS50.northwest.lightspeed.net,10.70.205.228,0
northwest,active,GEGWAED84.northwest.lightspeed.net,10.70.47.101,0
northeast,degraded,BOSMADS58.northeast.lightspeed.net,10.60.19.242,0
southwest,active,ABQNMDS13.southwest.lightspeed.net,10.50.24.54,0
northwest,active,BOIIDED06.northwest.lightspeed.net,10.70.141.238,0
west,active,SEAWASW22.west.lightspeed.net,10.30.228.239,0
northeast,active,BOSMASW18.northeast.lightspeed.net,10.60.83.91,0
northwest,active,GEGWADS64.northwest.lightspeed.net,10.70.42.114,0
west,active,LAXCAED06.west.lightspeed.net,10.30.24.125,0
west,active,SFOCAAG31.west.lightspeed.net,10.30.138.190,0
central,degraded,OKCOKCO74.central.lightspeed.net,10.10.82.77,0
northwest,down,GEGWAED04.northwest.lightspeed.net,10.70.43.75,0
southwest,degraded,PHXAZED42.southwest.lightspeed.net,10.50.193.99,0
,active,NYCNYDS11.northeast.lightspeed.net,10.60.187.116,1
northeast,active,PHLPADS99.northeast.lightspeed.net,10.60.242.253,0
northwest,active,GEGWADS36.northwest.lightspeed.net,10.70.126.191,0
central,active,OKCOKAG34.central.lightspeed.net,10.10.197.199,0
northwest,active,BOIIDRT45.northwest.lightspeed.net,10.70.199.235,0
northeast,active,PHLPAED75.northeast.lightspeed.net,10.60.78.42,0
west,active,SFOCADS66.west.lightspeed.net,10.30.12.218,0
northwest,down,GEGWAAG54.northwest.lightspeed.net,10.70.241.158,0
northeast,active,NYCNYED69.northeast.lightspeed.net,10.60.42.170,0
northeast,active,BOSMAED03.northeast.lightspeed.net,10.60.13.100,0
southeast,down,BNATNDS67.southeast.lightspeed.net,10.40.192.34,0
northeast,active,PHLPART23.northeast.lightspeed.net,10.60.5.185,0
northwest,active,GEGWADS47.northwest.lightspeed.net,10.70.0.167,0
southwest,active,ELPTXDS28.southwest.lightspeed.net,10.50.236.19,0
west,down,SFOCAED92.west.lightspeed.net,10.30.242.238,0
northwest,active,BOIIDED90.northwest.lightspeed.net,10.70.194.218,0
east,degraded,ATLGASW77.east.lightspeed.net,10.20.181.243,0
northeast,degraded,PHLPAAG23.northeast.lightspeed.net,10.60.82.131,0
northeast,active,BOSMACO68.northeast.lightspeed.net,10.60.148.156,0
northwest,active,BOIIDRT71.northwest.lightspeed.net,10.70.240.221,0
central,retired,OKCOKED35.central.lightspeed.net,10.10.164.149,0
northwest,degraded,PORORSW88.northwest.lightspeed.net,10.70.166.127,0
northeast,degraded,BOSMADS85.northeast.lightspeed.net,10.60.140.244,0
central,active,DALTXSW59.central.lightspeed.net,10.10.13.235,0
northwest,active,PORORSW33.northwest.lightspeed.net,10.70.112.196,0
northwest,active,PORORSW01.northwest.lightspeed.net,10.70.178.14,0
northeast,active,NYCNYED28.northeast.lightspeed.net,10.60.211.40,0
northwest,active,GEGWART04.northwest.lightspeed.net,10.70.30.12,0
northwest,down,BOIIDSW28.northwest.lightspeed.net,10.70.23.218,0
