obs_ip_address,obs_fqdn,obs_status,ipam_region,missing_in_ipam
10.60.250.214,NYCNYRT41.northeast.lightspeed.net,active,northeast,0
10.20.120.136,CLTNCDS43.east.lightspeed.net,active,east,0
10.30.150.12,LAXCAAG53.west.lightspeed.net,active,west,0
10.40.27.81,JAXFLAG81.southeast.lightspeed.net,active,southeast,0
10.70.9.175,PORORAG17.northwest.lightspeed.net,active,northwest,0
10.70.199.192,GEGWADS18.northwest.lightspeed.net,down,northwest,0
10.40.43.14,MIAFLCO74.southeast.lightspeed.net,degraded,southeast,0
10.30.66.12,SFOCAED09.west.lightspeed.net,active,west,0
10.70.191.232,GEGWADS24.northwest.lightspeed.net,degraded,northwest,0
10.10.80.0,AUSTXDS62.central.lightspeed.net,active,central,0
10.30.122.240,SEAWAED02.west.lightspeed.net,active,west,0
10.10.170.12,AUSTXSW87.central.lightspeed.net,active,central,0
10.70.157.3,BOIIDRT36.northwest.lightspeed.net,active,northwest,0
10.50.62.223,ABQNMSW22.southwest.lightspeed.net,active,southwest,0
10.70.93.168,BOIIDCO09.northwest.lightspeed.net,active,northwest,0
10.20.186.236,CLTNCAG79.east.lightspeed.net,active,east,0
10.10.144.145,AUSTXDS07.central.lightspeed.net,active,central,0
10.60.227.216,PHLPASW55.northeast.lightspeed.net,down,northeast,0
10.60.2.223,BOSMAAG48.northeast.lightspeed.net,down,northeast,0
10.30.206.72,SEAWADS29.west.lightspeed.net,down,west,0
10.70.184.198,PORORDS91.northwest.lightspeed.net,down,northwest,0
10.60.96.194,BOSMASW10.northeast.lightspeed.net,active,northeast,0
10.50.129.167,PHXAZDS30.southwest.lightspeed.net,degraded,southwest,0
10.10.171.175,AUSTXED93.central.lightspeed.net,active,central,0
10.70.16.74,GEGWAED97.northwest.lightspeed.net,active,northwest,0
10.10.54.254,AUSTXDS74.central.lightspeed.net,degraded,central,0
10.70.71.10,GEGWAED56.northwest.lightspeed.net,active,northwest,0
10.70.146.189,PORORSW89.northwest.lightspeed.net,active,northwest,0
10.60.186.205,BOSMADS37.northeast.lightspeed.net,active,northeast,0
10.60.218.161,NYCNYDS06.northeast.lightspeed.net,down,,1
10.30.80.84,LAXCACO39.west.lightspeed.net,down,west,0
10.60.254.72,BOSMAAG51.northeast.lightspeed.net,active,,1
10.20.164.76,PITPASW16.east.lightspeed.net,degraded,east,0
10.70.119.2,PORORAG34.northwest.lightspeed.net,active,northwest,0
10.70.242.145,PORORDS52.northwest.lightspeed.net,active,northwest,0
10.30.15.109,SFOCADS64.west.lightspeed.net,active,west,0
10.20.207.196,CLTNCED84.east.lightspeed.net,retired,east,0
10.30.193.71,SEAWASW36.west.lightspeed.net,degraded,,1
10.60.9.153,PHLPAAG90.northeast.lightspeed.net,active,northeast,0
10.60.228.41,PHLPAED52.northeast.lightspeed.net,down,,1
10.60.33.35,BOSMAED21.northeast.lightspeed.net,active,northeast,0
10.70.16.127,PORORSW63.northwest.lightspeed.net,down,northwest,0
10.30.217.157,SFOCADS75.west.lightspeed.net,active,west,0
10.70.83.72,PORORAG32.northwest.lightspeed.net,degraded,northwest,0
10.50.178.42,ELPTXDS11.southwest.lightspeed.net,active,southwest,0
10.40.250.110,MIAFLDS21.southeast.lightspeed.net,degraded,southeast,0
10.40.130.123,MIAFLSW32.southeast.lightspeed.net,active,southeast,0
10.70.45.73,PORORCO56.northwest.lightspeed.net,active,northwest,0
10.60.4.166,PHLPADS51.northeast.lightspeed.net,active,northeast,0
10.60.112.173,PHLPAED80.northeast.lightspeed.net,active,northeast,0
10.60.125.85,BOSMADS51.northeast.lightspeed.net,active,northeast,0
10.20.200.3,CLTNCED21.east.lightspeed.net,degraded,east,0
10.40.20.163,MIAFLSW26.southeast.lightspeed.net,active,southeast,0
10.10.129.188,DALTXSW04.central.lightspeed.net,down,central,0
10.40.44.186,MIAFLDS62.southeast.lightspeed.net,active,southeast,0
10.60.219.48,NYCNYDS73.northeast.lightspeed.net,active,northeast,0
10.30.68.133,LAXCAED67.west.lightspeed.net,degraded,west,0
10.60.18.49,PHLPAED75.northeast.lightspeed.net,active,northeast,0
10.70.225.176,GEGWACO76.northwest.lightspeed.net,active,northwest,0
10.20.118.8,CLTNCDS45.east.lightspeed.net,active,east,0
10.70.70.210,GEGWART07.northwest.lightspeed.net,active,northwest,0
10.70.193.155,PORORSW26.northwest.lightspeed.net,active,northwest,0
10.30.143.111,LAXCASW66.west.lightspeed.net,active,west,0
10.50.231.115,PHXAZAG78.southwest.lightspeed.net,active,southwest,0
10.20.164.243,CLTNCED50.east.lightspeed.net,degraded,east,0
10.10.208.55,OKCOKDS66.central.lightspeed.net,active,central,0
10.60.55.171,PHLPART37.northeast.lightspeed.net,degraded,northeast,0
10.30.130.185,SFOCAAG53.west.lightspeed.net,active,west,0
10.10.172.71,AUSTXDS85.central.lightspeed.net,active,central,0
10.30.123.51,LAXCAED39.west.lightspeed.net,down,west,0
10.60.71.10,NYCNYSW84.northeast.lightspeed.net,down,northeast,0
10.60.190.252,BOSMAAG61.northeast.lightspeed.net,degraded,northeast,0
10.30.162.159,LAXCADS29.west.lightspeed.net,active,west,0
10.10.87.86,AUSTXSW80.central.lightspeed.net,degraded,central,0
10.70.70.236,PORORAG44.northwest.lightspeed.net,degraded,northwest,0
10.30.162.82,SEAWASW91.west.lightspeed.net,degraded,west,0
10.70.29.117,BOIIDDS51.northwest.lightspeed.net,active,northwest,0
10.20.171.146,PITPASW66.east.lightspeed.net,active,east,0
10.60.65.28,BOSMADS42.northeast.lightspeed.net,active,northeast,0
10.70.141.181,BOIIDED13.northwest.lightspeed.net,active,northwest,0
10.70.151.159,GEGWASW67.northwest.lightspeed.net,down,northwest,0
10.40.99.87,BNATNAG85.southeast.lightspeed.net,active,southeast,0
10.30.34.205,LAXCASW19.west.lightspeed.net,active,west,0
10.40.109.57,BNATNDS78.southeast.lightspeed.net,active,southeast,0
10.30.9.9,SFOCASW03.west.lightspeed.net,down,west,0
10.70.145.10,PORORAG37.northwest.lightspeed.net,down,northwest,0
10.70.208.9,BOIIDDS50.northwest.lightspeed.net,active,northwest,0
10.10.172.242,OKCOKCO75.central.lightspeed.net,active,central,0
10.70.209.55,BOIIDSW99.northwest.lightspeed.net,active,northwest,0
10.60.98.166,NYCNYRT47.northeast.lightspeed.net,degraded,,1
10.70.223.248,PORORAG53.northwest.lightspeed.net,active,northwest,0
10.60.39.255,PHLPADS33.northeast.lightspeed.net,degraded,,1
10.10.105.196,AUSTXDS58.central.lightspeed.net,active,central,0
10.30.244.184,SEAWAED04.west.lightspeed.net,degraded,west,0
10.40.21.25,MIAFLSW44.southeast.lightspeed.net,active,southeast,0
10.70.83.173,PORORRT24.northwest.lightspeed.net,active,northwest,0
10.60.94.198,PHLPASW44.northeast.lightspeed.net,degraded,northeast,0
10.70.11.43,BOIIDED52.northwest.lightspeed.net,active,northwest,0
10.20.232.1,PITPAED88.east.lightspeed.net,active,east,0
10.30.177.22,LAXCACO74.west.lightspeed.net,active,west,0
10.70.16.193,BOIIDCO70.northwest.lightspeed.net,active,northwest,0
10.50.80.212,ELPTXED19.southwest.lightspeed.net,active,southwest,0
10.30.67.126,SEAWART32.west.lightspeed.net,active,west,0
10.40.126.53,JAXFLED03.southeast.lightspeed.net,active,southeast,0
10.20.176.190,ATLGADS87.east.lightspeed.net,active,east,0
10.70.52.250,GEGWAAG29.northwest.lightspeed.net,active,northwest,0
10.60.155.207,NYCNYDS98.northeast.lightspeed.net,active,northeast,0
10.50.8.194,ABQNMAG16.southwest.lightspeed.net,active,southwest,0
10.70.195.106,GEGWADS10.northwest.lightspeed.net,degraded,northwest,0
10.10.54.67,AUSTXSW91.central.lightspeed.net,active,central,0
10.60.179.146,BOSMACO83.northeast.lightspeed.net,active,northeast,0
10.30.117.64,LAXCAED92.west.lightspeed.net,down,west,0
10.60.82.41,PHLPACO16.northeast.lightspeed.net,degraded,northeast,0
10.30.30.117,LAXCAAG82.west.lightspeed.net,active,west,0
10.10.228.20,AUSTXDS32.central.lightspeed.net,active,central,0
10.60.149.39,PHLPAAG21.northeast.lightspeed.net,degraded,,1
10.70.9.255,GEGWART08.northwest.lightspeed.net,down,northwest,0
10.10.90.33,AUSTXDS70.central.lightspeed.net,retired,central,0
10.60.45.105,BOSMAED54.northeast.lightspeed.net,active,northeast,0
10.30.74.227,SFOCASW37.west.lightspeed.net,degraded,west,0
10.60.90.157,NYCNYSW22.northeast.lightspeed.net,active,,1
10.40.240.161,BNATNRT17.southeast.lightspeed.net,active,southeast,0
10.60.150.176,PHLPADS07.northeast.lightspeed.net,active,northeast,0
10.60.42.66,PHLPASW83.northeast.lightspeed.net,down,northeast,0
10.70.73.250,GEGWASW07.northwest.lightspeed.net,active,northwest,0
10.30.54.111,LAXCAED13.west.lightspeed.net,active,west,0
10.70.172.47,GEGWADS69.northwest.lightspeed.net,active,northwest,0
10.70.249.157,GEGWADS31.northwest.lightspeed.net,active,northwest,0
10.70.206.120,BOIIDDS43.northwest.lightspeed.net,active,northwest,0
10.70.178.53,BOIIDDS74.northwest.lightspeed.net,active,northwest,0
10.60.224.21,NYCNYED05.northeast.lightspeed.net,active,northeast,0
10.60.221.72,BOSMAAG01.northeast.lightspeed.net,active,northeast,0
10.30.82.237,SEAWADS67.west.lightspeed.net,active,west,0
10.20.191.154,PITPADS84.east.lightspeed.net,active,east,0
10.10.37.33,AUSTXED19.central.lightspeed.net,active,central,0
10.10.3.33,DALTXDS86.central.lightspeed.net,active,central,0
10.70.149.11,BOIIDED04.northwest.lightspeed.net,degraded,northwest,0
10.10.200.143,OKCOKAG55.central.lightspeed.net,active,central,0
10.30.147.146,SFOCAAG81.west.lightspeed.net,degraded,west,0
10.10.172.34,DALTXDS91.central.lightspeed.net,down,central,0
10.20.73.184,PITPAED58.east.lightspeed.net,down,east,0
10.70.110.97,GEGWAED66.northwest.lightspeed.net,active,northwest,0
10.30.22.253,SFOCADS85.west.lightspeed.net,active,west,0
10.10.91.195,AUSTXED73.central.lightspeed.net,active,central,0
10.30.68.138,SEAWADS07.west.lightspeed.net,active,west,0
10.30.187.186,SFOCAED83.west.lightspeed.net,down,west,0
10.70.43.220,GEGWASW75.northwest.lightspeed.net,active,northwest,0
10.40.32.243,MIAFLDS32.southeast.lightspeed.net,active,southeast,0
10.70.67.250,BOIIDDS09.northwest.lightspeed.net,active,northwest,0
10.60.172.181,BOSMADS80.northeast.lightspeed.net,active,,1
10.30.137.182,LAXCAED36.west.lightspeed.net,active,west,0
10.10.90.64,OKCOKAG27.central.lightspeed.net,active,central,0
10.30.132.97,SFOCADS55.west.lightspeed.net,active,west,0
10.70.254.136,BOIIDDS41.northwest.lightspeed.net,active,northwest,0
10.30.173.126,SEAWASW01.west.lightspeed.net,active,west,0
10.60.213.151,BOSMASW67.northeast.lightspeed.net,active,northeast,0
10.70.177.186,PORORCO83.northwest.lightspeed.net,active,northwest,0
10.30.70.213,SFOCAAG63.west.lightspeed.net,degraded,west,0
10.10.213.134,DALTXDS41.central.lightspeed.net,active,central,0
10.60.144.168,NYCNYDS60.northeast.lightspeed.net,degraded,,1
10.10.44.49,OKCOKED13.central.lightspeed.net,retired,,1
10.20.158.167,ATLGART39.east.lightspeed.net,down,east,0
10.70.250.86,GEGWASW21.northwest.lightspeed.net,active,northwest,0
10.50.227.119,ABQNMED11.southwest.lightspeed.net,degraded,southwest,0
10.50.16.246,PHXAZSW56.southwest.lightspeed.net,active,southwest,0
10.70.215.19,BOIIDRT39.northwest.lightspeed.net,active,northwest,0
10.70.141.14,PORORED89.northwest.lightspeed.net,active,northwest,0
10.70.148.123,GEGWADS97.northwest.lightspeed.net,active,northwest,0
10.50.180.170,ELPTXCO38.southwest.lightspeed.net,degraded,southwest,0
10.60.59.244,NYCNYRT89.northeast.lightspeed.net,degraded,,1
10.30.202.230,LAXCAAG59.west.lightspeed.net,active,west,0
10.60.238.90,NYCNYAG73.northeast.lightspeed.net,active,northeast,0
10.60.17.13,BOSMAED05.northeast.lightspeed.net,active,northeast,0
10.40.197.217,BNATNAG77.southeast.lightspeed.net,active,southeast,0
10.70.239.213,GEGWAED88.northwest.lightspeed.net,down,northwest,0
10.70.204.0,PORORED67.northwest.lightspeed.net,active,northwest,0
10.70.60.226,GEGWAED84.northwest.lightspeed.net,active,northwest,0
10.50.85.234,ELPTXRT42.southwest.lightspeed.net,active,southwest,0
10.10.211.251,OKCOKSW35.central.lightspeed.net,active,central,0
10.20.54.49,PITPASW63.east.lightspeed.net,active,east,0
10.20.99.159,PITPAED20.east.lightspeed.net,active,east,0
10.70.137.250,PORORDS22.northwest.lightspeed.net,active,northwest,0
10.30.165.183,SFOCADS33.west.lightspeed.net,down,west,0
10.60.153.131,PHLPART05.northeast.lightspeed.net,active,northeast,0
10.70.136.109,GEGWAED99.northwest.lightspeed.net,active,northwest,0
10.30.191.95,LAXCADS98.west.lightspeed.net,active,west,0
10.10.53.155,OKCOKSW76.central.lightspeed.net,active,central,0
10.60.124.27,PHLPASW14.northeast.lightspeed.net,active,,1
10.20.228.145,PITPASW11.east.lightspeed.net,active,east,0
10.50.68.110,ELPTXSW34.southwest.lightspeed.net,active,southwest,0
10.20.197.69,CLTNCED48.east.lightspeed.net,active,east,0
10.70.191.130,BOIIDSW74.northwest.lightspeed.net,degraded,northwest,0
10.70.50.252,BOIIDDS42.northwest.lightspeed.net,active,northwest,0
10.30.203.206,SFOCADS63.west.lightspeed.net,active,west,0
10.10.245.85,OKCOKDS91.central.lightspeed.net,active,central,0
10.60.208.117,PHLPAED01.northeast.lightspeed.net,active,northeast,0
10.20.197.181,CLTNCSW08.east.lightspeed.net,active,east,0
10.60.148.104,PHLPAED64.northeast.lightspeed.net,active,,1
10.70.153.241,PORORDS72.northwest.lightspeed.net,retired,northwest,0
10.50.40.81,PHXAZED81.southwest.lightspeed.net,degraded,southwest,0
10.50.39.14,ELPTXDS48.southwest.lightspeed.net,active,southwest,0
10.40.18.198,JAXFLED17.southeast.lightspeed.net,active,southeast,0
10.70.181.193,PORORSW80.northwest.lightspeed.net,degraded,northwest,0
10.20.127.253,CLTNCED35.east.lightspeed.net,active,east,0
10.70.13.14,BOIIDSW71.northwest.lightspeed.net,degraded,northwest,0
10.30.59.111,SEAWART42.west.lightspeed.net,degraded,west,0
10.50.181.233,ABQNMDS38.southwest.lightspeed.net,active,southwest,0
10.10.54.103,DALTXDS74.central.lightspeed.net,degraded,central,0
10.60.180.242,BOSMAED92.northeast.lightspeed.net,down,northeast,0
10.40.5.198,JAXFLDS09.southeast.lightspeed.net,active,southeast,0
10.60.84.83,PHLPADS42.northeast.lightspeed.net,degraded,,1
10.30.184.102,LAXCAAG51.west.lightspeed.net,active,west,0
10.70.9.127,BOIIDDS16.northwest.lightspeed.net,degraded,northwest,0
10.60.106.18,PHLPAAG70.northeast.lightspeed.net,active,northeast,0
10.20.213.218,ATLGASW17.east.lightspeed.net,active,,1
10.60.117.147,BOSMAED72.northeast.lightspeed.net,active,,1
10.30.5.49,SEAWAAG15.west.lightspeed.net,active,west,0
10.60.40.249,BOSMAED50.northeast.lightspeed.net,down,,1
10.60.125.83,BOSMASW94.northeast.lightspeed.net,degraded,,1
10.10.157.75,DALTXAG42.central.lightspeed.net,active,central,0
10.40.190.48,JAXFLDS38.southeast.lightspeed.net,retired,southeast,0
10.60.173.199,BOSMASW08.northeast.lightspeed.net,active,northeast,0
10.20.99.58,CLTNCDS37.east.lightspeed.net,active,east,0
10.60.83.220,BOSMASW82.northeast.lightspeed.net,active,,1
10.50.75.81,ELPTXSW13.southwest.lightspeed.net,active,southwest,0
10.10.140.37,OKCOKDS93.central.lightspeed.net,active,central,0
10.10.15.57,OKCOKED01.central.lightspeed.net,active,central,0
10.40.191.134,MIAFLED50.southeast.lightspeed.net,active,southeast,0
10.20.170.219,ATLGART82.east.lightspeed.net,active,east,0
10.60.213.138,NYCNYDS56.northeast.lightspeed.net,active,northeast,0
10.60.186.81,BOSMART11.northeast.lightspeed.net,degraded,northeast,0
10.10.55.104,DALTXED47.central.lightspeed.net,active,central,0
10.70.87.110,BOIIDSW76.northwest.lightspeed.net,active,northwest,0
10.20.182.155,PITPAED04.east.lightspeed.net,active,east,0
10.60.219.225,PHLPASW87.northeast.lightspeed.net,active,,1
10.60.3.7,NYCNYED67.northeast.lightspeed.net,active,northeast,0
10.30.121.164,LAXCASW57.west.lightspeed.net,degraded,west,0
10.10.104.165,DALTXAG43.central.lightspeed.net,active,central,0
10.70.91.250,BOIIDDS71.northwest.lightspeed.net,active,northwest,0
10.10.116.217,OKCOKED91.central.lightspeed.net,active,central,0
10.70.189.252,PORORED09.northwest.lightspeed.net,active,northwest,0
10.30.202.32,SFOCASW59.west.lightspeed.net,active,west,0
10.30.141.80,LAXCAED42.west.lightspeed.net,active,west,0
10.30.245.193,SFOCADS13.west.lightspeed.net,active,west,0
10.70.65.189,GEGWASW35.northwest.lightspeed.net,degraded,northwest,0
10.20.87.33,ATLGAAG74.east.lightspeed.net,active,east,0
10.30.180.33,SEAWADS47.west.lightspeed.net,active,west,0
10.30.170.109,SEAWASW48.west.lightspeed.net,active,west,0
10.30.68.121,SEAWASW74.west.lightspeed.net,down,west,0
10.30.159.58,LAXCADS72.west.lightspeed.net,active,west,0
10.60.93.109,NYCNYED13.northeast.lightspeed.net,active,,1
10.60.157.130,PHLPAAG23.northeast.lightspeed.net,active,northeast,0
10.30.184.231,SEAWAED47.west.lightspeed.net,active,west,0
10.30.8.181,SEAWASW30.west.lightspeed.net,active,,1
10.70.242.198,BOIIDED05.northwest.lightspeed.net,active,northwest,0
10.40.140.89,BNATNSW83.southeast.lightspeed.net,active,southeast,0
10.60.242.41,PHLPAED54.northeast.lightspeed.net,active,northeast,0
10.60.91.15,NYCNYED10.northeast.lightspeed.net,degraded,,1
10.60.145.80,BOSMAED30.northeast.lightspeed.net,active,northeast,0
10.60.58.95,BOSMASW07.northeast.lightspeed.net,down,northeast,0
10.10.126.84,AUSTXDS18.central.lightspeed.net,active,central,0
10.30.89.130,LAXCACO62.west.lightspeed.net,degraded,west,0
10.70.172.174,GEGWAAG61.northwest.lightspeed.net,active,northwest,0
10.30.250.18,SFOCADS50.west.lightspeed.net,retired,west,0
10.70.251.179,PORORCO08.northwest.lightspeed.net,active,northwest,0
10.60.41.223,PHLPASW29.northeast.lightspeed.net,active,,1
10.60.93.92,BOSMAED18.northeast.lightspeed.net,active,northeast,0
10.30.94.209,SFOCAED27.west.lightspeed.net,active,west,0
10.30.118.189,SFOCASW53.west.lightspeed.net,active,west,0
10.20.49.120,PITPASW85.east.lightspeed.net,degraded,east,0
10.70.207.53,PORORRT78.northwest.lightspeed.net,active,northwest,0
10.70.202.71,GEGWAED02.northwest.lightspeed.net,degraded,northwest,0
10.60.149.163,NYCNYAG75.northeast.lightspeed.net,active,northeast,0
10.70.240.57,GEGWAED38.northwest.lightspeed.net,down,northwest,0
10.60.255.237,NYCNYAG11.northeast.lightspeed.net,active,northeast,0
10.60.121.25,BOSMASW45.northeast.lightspeed.net,active,northeast,0
10.60.250.4,PHLPADS69.northeast.lightspeed.net,down,northeast,0
10.10.217.206,AUSTXED47.central.lightspeed.net,degraded,central,0
10.70.17.96,GEGWADS17.northwest.lightspeed.net,active,northwest,0
10.20.123.228,ATLGADS44.east.lightspeed.net,active,east,0
10.60.94.98,NYCNYCO36.northeast.lightspeed.net,degraded,northeast,0
10.60.173.128,PHLPAED79.northeast.lightspeed.net,degraded,northeast,0
10.10.130.147,DALTXED50.central.lightspeed.net,active,central,0
10.30.122.65,LAXCASW26.west.lightspeed.net,down,west,0
10.60.155.198,BOSMAED74.northeast.lightspeed.net,degraded,northeast,0
10.20.100.179,ATLGAED27.east.lightspeed.net,active,east,0
10.50.204.48,ELPTXDS61.southwest.lightspeed.net,degraded,southwest,0
10.50.206.123,PHXAZAG30.southwest.lightspeed.net,active,southwest,0
10.70.194.190,GEGWAED32.northwest.lightspeed.net,active,northwest,0
10.60.76.203,PHLPADS46.northeast.lightspeed.net,degraded,northeast,0
10.40.187.87,MIAFLCO72.southeast.lightspeed.net,active,southeast,0
10.30.198.85,SEAWAED19.west.lightspeed.net,active,west,0
10.60.24.159,NYCNYAG04.northeast.lightspeed.net,active,northeast,0
10.70.178.207,BOIIDED28.northwest.lightspeed.net,retired,northwest,0
10.70.107.208,PORORSW30.northwest.lightspeed.net,active,northwest,0
10.30.104.137,SEAWASW40.west.lightspeed.net,active,west,0
10.60.201.175,NYCNYRT84.northeast.lightspeed.net,active,northeast,0
10.30.103.193,SFOCASW56.west.lightspeed.net,degraded,west,0
10.10.40.73,AUSTXSW67.central.lightspeed.net,active,central,0
10.70.194.18,BOIIDDS72.northwest.lightspeed.net,active,northwest,0
10.70.64.128,PORORSW76.northwest.lightspeed.net,active,northwest,0
10.70.133.222,PORORRT30.northwest.lightspeed.net,active,northwest,0
10.40.194.139,JAXFLSW67.southeast.lightspeed.net,degraded,southeast,0
