ip_address,hostname,fqdn,region,status,vendor,model,role,missing_in_inventory,missing_in_ipam,site_code,state_code,role_code,parsed_role,parsed_region
10.60.48.164,PHLPADS97,PHLPADS97.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,dist,0,0,PHL,PA,DS,dist,northeast
10.30.247.18,SFOCACO83,SFOCACO83.west.lightspeed.net,west,active,Cisco,NCS540,core,0,0,SFO,CA,CO,core,west
10.70.46.39,GEGWAED86,GEGWAED86.northwest.lightspeed.net,northwest,retired,Juniper,SRX345,edge,1,0,GEG,WA,ED,edge,northwest
10.50.250.238,ELPTXSW71,ELPTXSW71.southwest.lightspeed.net,southwest,active,Cisco,Catalyst9300,sw,0,0,ELP,TX,SW,sw,southwest
10.20.23.136,PITPADS16,PITPADS16.east.lightspeed.net,east,active,ADVA,FSP150,dist,0,0,PIT,PA,DS,dist,east
10.60.49.88,PHLPAAG03,PHLPAAG03.northeast.lightspeed.net,northeast,active,Arista,7280R,agg,0,0,PHL,PA,AG,agg,northeast
10.60.92.82,PHLPART93,PHLPART93.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0,PHL,PA,RT,rtr,northeast
10.60.198.212,NYCNYED89,NYCNYED89.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,1,NYC,NY,ED,edge,northeast
10.70.8.210,GEGWART14,GEGWART14.northwest.lightspeed.net,northwest,retired,Arista,7050X3,rtr,0,0,GEG,WA,RT,rtr,northwest
10.20.224.11,ATLGAED08,ATLGAED08.east.lightspeed.net,east,active,RAD,ETX-2,edge,0,0,ATL,GA,ED,edge,east
10.10.129.188,DALTXDS91,DALTXDS91.central.lightspeed.net,central,active,Juniper,QFX5120,dist,0,0,DAL,TX,DS,dist,central
10.10.113.213,OKCOKAG79,OKCOKAG79.central.lightspeed.net,central,retired,Arista,7280R,agg,0,0,OKC,OK,AG,agg,central
10.50.167.231,ELPTXDS23,ELPTXDS23.southwest.lightspeed.net,southwest,active,ADVA,FSP150,dist,0,0,ELP,TX,DS,dist,southwest
10.60.209.247,NYCNYED29,NYCNYED29.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,1,0,NYC,NY,ED,edge,northeast
10.20.210.173,PITPACO76,PITPACO76.east.lightspeed.net,east,down,Juniper,MX204,core,0,0,PIT,PA,CO,core,east
10.30.189.234,SFOCAED65,SFOCAED65.west.lightspeed.net,west,active,Cisco,ISR4431,edge,0,0,SFO,CA,ED,edge,west
10.60.15.233,NYCNYRT34,NYCNYRT34.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0,NYC,NY,RT,rtr,northeast
10.60.101.206,BOSMADS94,BOSMADS94.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,0,BOS,MA,DS,dist,northeast
10.60.253.129,BOSMADS31,BOSMADS31.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,0,BOS,MA,DS,dist,northeast
10.70.108.158,PORORED50,PORORED50.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,1,0,POR,OR,ED,edge,northwest
10.20.222.145,CLTNCED59,CLTNCED59.east.lightspeed.net,east,degraded,Juniper,SRX345,edge,1,0,CLT,NC,ED,edge,east
10.70.118.59,PORORAG63,PORORAG63.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0,POR,OR,AG,agg,northwest
10.60.164.145,PHLPASW16,PHLPASW16.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0,PHL,PA,SW,sw,northeast
10.60.88.169,NYCNYED31,NYCNYED31.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,1,0,NYC,NY,ED,edge,northeast
10.60.106.79,PHLPACO71,PHLPACO71.northeast.lightspeed.net,northeast,degraded,Juniper,MX204,core,0,0,PHL,PA,CO,core,northeast
10.50.197.82,PHXAZED46,PHXAZED46.southwest.lightspeed.net,southwest,active,RAD,ETX-2,edge,0,0,PHX,AZ,ED,edge,southwest
10.40.216.151,MIAFLDS46,MIAFLDS46.southeast.lightspeed.net,southeast,active,ADVA,FSP150,dist,0,0,MIA,FL,DS,dist,southeast
10.30.168.124,SEAWAED69,SEAWAED69.west.lightspeed.net,west,active,Juniper,SRX345,edge,1,0,SEA,WA,ED,edge,west
10.60.58.166,PHLPASW97,PHLPASW97.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,1,PHL,PA,SW,sw,northeast
10.70.124.41,BOIIDCO71,BOIIDCO71.northwest.lightspeed.net,northwest,active,Juniper,MX204,core,0,0,BOI,ID,CO,core,northwest
10.50.78.250,PHXAZED56,PHXAZED56.southwest.lightspeed.net,southwest,down,RAD,ETX-2,edge,1,0,PHX,AZ,ED,edge,southwest
10.70.197.4,GEGWAED37,GEGWAED37.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0,GEG,WA,ED,edge,northwest
10.20.111.140,ATLGADS89,ATLGADS89.east.lightspeed.net,east,active,Juniper,QFX5120,dist,0,0,ATL,GA,DS,dist,east
10.30.87.191,SEAWACO36,SEAWACO36.west.lightspeed.net,west,active,Cisco,NCS540,core,0,0,SEA,WA,CO,core,west
10.70.59.48,PORORAG62,PORORAG62.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0,POR,OR,AG,agg,northwest
10.60.156.162,BOSMADS57,BOSMADS57.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0,BOS,MA,DS,dist,northeast
10.70.129.104,GEGWACO55,GEGWACO55.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,core,0,0,GEG,WA,CO,core,northwest
10.30.21.155,SEAWAED67,SEAWAED67.west.lightspeed.net,west,active,Cisco,ISR4431,edge,0,0,SEA,WA,ED,edge,west
10.50.63.116,ELPTXED49,ELPTXED49.southwest.lightspeed.net,southwest,active,RAD,ETX-2,edge,1,0,ELP,TX,ED,edge,southwest
10.30.183.33,SEAWACO30,SEAWACO30.west.lightspeed.net,west,active,Cisco,NCS540,core,0,0,SEA,WA,CO,core,west
10.60.178.16,BOSMADS01,BOSMADS01.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,0,BOS,MA,DS,dist,northeast
10.60.54.159,NYCNYDS56,NYCNYDS56.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,0,NYC,NY,DS,dist,northeast
10.60.220.127,PHLPAED18,PHLPAED18.northeast.lightspeed.net,northeast,degraded,Juniper,SRX345,edge,1,0,PHL,PA,ED,edge,northeast
10.50.74.58,ABQNMED64,ABQNMED64.southwest.lightspeed.net,southwest,active,Juniper,SRX345,edge,1,0,ABQ,NM,ED,edge,southwest
10.40.90.209,BNATNDS49,BNATNDS49.southeast.lightspeed.net,southeast,active,ADVA,FSP150,dist,0,0,BNA,TN,DS,dist,southeast
10.30.109.47,SFOCAED57,SFOCAED57.west.lightspeed.net,west,down,RAD,ETX-2,edge,1,0,SFO,CA,ED,edge,west
10.60.59.113,BOSMART75,BOSMART75.northeast.lightspeed.net,northeast,degraded,Arista,7050X3,rtr,0,0,BOS,MA,RT,rtr,northeast
10.30.198.50,SEAWADS07,SEAWADS07.west.lightspeed.net,west,active,Juniper,QFX5120,dist,0,0,SEA,WA,DS,dist,west
10.60.61.207,PHLPAED49,PHLPAED49.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431,edge,1,1,PHL,PA,ED,edge,northeast
10.40.255.175,MIAFLRT15,MIAFLRT15.southeast.lightspeed.net,southeast,active,Arista,7050X3,rtr,0,0,MIA,FL,RT,rtr,southeast
10.70.148.144,BOIIDRT54,BOIIDRT54.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0,BOI,ID,RT,rtr,northwest
10.30.198.44,LAXCADS35,LAXCADS35.west.lightspeed.net,west,active,ADVA,FSP150,dist,0,0,LAX,CA,DS,dist,west
10.10.65.200,AUSTXED65,AUSTXED65.central.lightspeed.net,central,active,RAD,ETX-2,edge,0,0,AUS,TX,ED,edge,central
10.30.181.208,SEAWADS16,SEAWADS16.west.lightspeed.net,west,active,Juniper,QFX5120,dist,0,0,SEA,WA,DS,dist,west
10.30.141.3,SEAWART68,SEAWART68.west.lightspeed.net,west,degraded,Arista,7050X3,rtr,0,0,SEA,WA,RT,rtr,west
10.40.15.29,JAXFLED32,JAXFLED32.southeast.lightspeed.net,southeast,active,Cisco,ISR4431,edge,1,0,JAX,FL,ED,edge,southeast
10.30.183.225,SEAWADS36,SEAWADS36.west.lightspeed.net,west,degraded,Juniper,QFX5120,dist,0,0,SEA,WA,DS,dist,west
10.10.58.15,DALTXAG45,DALTXAG45.central.lightspeed.net,central,active,ADVA,FSP3000,agg,0,0,DAL,TX,AG,agg,central
10.30.105.177,SEAWASW65,SEAWASW65.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0,SEA,WA,SW,sw,west
10.10.106.208,DALTXSW26,DALTXSW26.central.lightspeed.net,central,degraded,Cisco,Catalyst9300,sw,0,0,DAL,TX,SW,sw,central
10.60.99.8,BOSMAED97,BOSMAED97.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,edge,0,1,BOS,MA,ED,edge,northeast
10.60.176.89,BOSMAED60,BOSMAED60.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0,BOS,MA,ED,edge,northeast
10.10.2.76,OKCOKED79,OKCOKED79.central.lightspeed.net,central,active,Cisco,ISR4431,edge,1,0,OKC,OK,ED,edge,central
10.10.188.0,DALTXDS76,DALTXDS76.central.lightspeed.net,central,active,Juniper,QFX5120,dist,0,0,DAL,TX,DS,dist,central
10.60.138.112,NYCNYDS80,NYCNYDS80.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,1,NYC,NY,DS,dist,northeast
10.70.220.54,GEGWAED04,GEGWAED04.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,1,0,GEG,WA,ED,edge,northwest
10.10.48.236,DALTXDS71,DALTXDS71.central.lightspeed.net,central,active,ADVA,FSP150,dist,0,0,DAL,TX,DS,dist,central
10.20.114.127,CLTNCRT21,CLTNCRT21.east.lightspeed.net,east,active,Arista,7050X3,rtr,0,0,CLT,NC,RT,rtr,east
10.30.55.209,SEAWADS84,SEAWADS84.west.lightspeed.net,west,degraded,ADVA,FSP150,dist,0,0,SEA,WA,DS,dist,west
10.60.3.34,PHLPAED97,PHLPAED97.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2,edge,0,0,PHL,PA,ED,edge,northeast
10.30.115.17,LAXCASW39,LAXCASW39.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw,0,0,LAX,CA,SW,sw,west
10.30.49.70,LAXCADS88,LAXCADS88.west.lightspeed.net,west,active,ADVA,FSP150,dist,0,0,LAX,CA,DS,dist,west
10.30.209.178,LAXCACO67,LAXCACO67.west.lightspeed.net,west,active,Cisco,NCS540,core,0,1,LAX,CA,CO,core,west
10.70.231.91,GEGWART36,GEGWART36.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0,GEG,WA,RT,rtr,northwest
10.70.2.225,GEGWART99,GEGWART99.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0,GEG,WA,RT,rtr,northwest
10.60.96.165,NYCNYSW49,NYCNYSW49.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0,NYC,NY,SW,sw,northeast
10.30.211.38,SFOCART06,SFOCART06.west.lightspeed.net,west,active,Arista,7050X3,rtr,0,0,SFO,CA,RT,rtr,west
10.20.46.227,CLTNCCO84,CLTNCCO84.east.lightspeed.net,east,degraded,Juniper,MX204,core,0,0,CLT,NC,CO,core,east
10.30.140.170,SFOCAED28,SFOCAED28.west.lightspeed.net,west,degraded,Juniper,SRX345,edge,1,0,SFO,CA,ED,edge,west
10.20.195.174,PITPADS54,PITPADS54.east.lightspeed.net,east,active,Juniper,QFX5120,dist,0,0,PIT,PA,DS,dist,east
10.70.111.223,GEGWAED50,GEGWAED50.northwest.lightspeed.net,northwest,down,Juniper,SRX345,edge,0,0,GEG,WA,ED,edge,northwest
10.10.232.49,AUSTXAG43,AUSTXAG43.central.lightspeed.net,central,active,ADVA,FSP3000,agg,0,0,AUS,TX,AG,agg,central
10.60.108.153,PHLPAAG90,PHLPAAG90.northeast.lightspeed.net,northeast,active,Arista,7280R,agg,0,0,PHL,PA,AG,agg,northeast
10.30.187.223,LAXCASW13,LAXCASW13.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0,LAX,CA,SW,sw,west
10.70.234.162,BOIIDDS40,BOIIDDS40.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,0,1,BOI,ID,DS,dist,northwest
10.60.138.251,PHLPADS91,PHLPADS91.northeast.lightspeed.net,northeast,retired,ADVA,FSP150,dist,0,0,PHL,PA,DS,dist,northeast
10.30.4.217,SEAWAAG04,SEAWAAG04.west.lightspeed.net,west,active,Arista,7280R,agg,0,0,SEA,WA,AG,agg,west
10.70.165.219,BOIIDSW75,BOIIDSW75.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,BOI,ID,SW,sw,northwest
10.10.2.216,OKCOKED67,OKCOKED67.central.lightspeed.net,central,down,Cisco,ISR4431,edge,1,0,OKC,OK,ED,edge,central
10.50.149.243,PHXAZED66,PHXAZED66.southwest.lightspeed.net,southwest,active,RAD,ETX-2,edge,1,0,PHX,AZ,ED,edge,southwest
10.70.208.38,GEGWAED48,GEGWAED48.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,0,0,GEG,WA,ED,edge,northwest
10.40.68.126,MIAFLAG27,MIAFLAG27.southeast.lightspeed.net,southeast,active,Arista,7280R,agg,0,0,MIA,FL,AG,agg,southeast
10.30.230.13,LAXCASW37,LAXCASW37.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0,LAX,CA,SW,sw,west
10.10.140.50,OKCOKDS53,OKCOKDS53.central.lightspeed.net,central,active,Juniper,QFX5120,dist,0,0,OKC,OK,DS,dist,central
10.70.27.25,GEGWAAG83,GEGWAAG83.northwest.lightspeed.net,northwest,retired,ADVA,FSP3000,agg,0,0,GEG,WA,AG,agg,northwest
10.20.177.86,CLTNCDS45,CLTNCDS45.east.lightspeed.net,east,degraded,Juniper,QFX5120,dist,0,0,CLT,NC,DS,dist,east
10.70.109.98,PORORRT28,PORORRT28.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0,POR,OR,RT,rtr,northwest
10.20.141.64,PITPAAG91,PITPAAG91.east.lightspeed.net,east,active,ADVA,FSP3000,agg,0,0,PIT,PA,AG,agg,east
10.60.244.173,BOSMAAG70,BOSMAAG70.northeast.lightspeed.net,northeast,active,Arista,7280R,agg,0,0,BOS,MA,AG,agg,northeast
10.60.158.34,PHLPASW07,PHLPASW07.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0,PHL,PA,SW,sw,northeast
10.20.186.161,PITPAED48,PITPAED48.east.lightspeed.net,east,down,Cisco,ISR4431,edge,1,0,PIT,PA,ED,edge,east
10.70.80.238,GEGWADS43,GEGWADS43.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,0,0,GEG,WA,DS,dist,northwest
10.50.134.16,ABQNMAG06,ABQNMAG06.southwest.lightspeed.net,southwest,active,ADVA,FSP3000,agg,0,0,ABQ,NM,AG,agg,southwest
10.30.55.163,SEAWAED33,SEAWAED33.west.lightspeed.net,west,active,Cisco,ISR4431,edge,1,1,SEA,WA,ED,edge,west
10.40.216.209,BNATNED31,BNATNED31.southeast.lightspeed.net,southeast,active,Juniper,SRX345,edge,0,0,BNA,TN,ED,edge,southeast
10.30.242.219,SFOCADS15,SFOCADS15.west.lightspeed.net,west,active,Juniper,QFX5120,dist,0,1,SFO,CA,DS,dist,west
10.60.179.128,PHLPAED57,PHLPAED57.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0,PHL,PA,ED,edge,northeast
10.30.143.206,SFOCASW61,SFOCASW61.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0,SFO,CA,SW,sw,west
10.10.40.177,AUSTXSW51,AUSTXSW51.central.lightspeed.net,central,degraded,Cisco,Catalyst9300,sw,0,0,AUS,TX,SW,sw,central
10.50.214.49,ELPTXED88,ELPTXED88.southwest.lightspeed.net,southwest,active,RAD,ETX-2,edge,0,0,ELP,TX,ED,edge,southwest
10.20.135.215,ATLGASW71,ATLGASW71.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0,ATL,GA,SW,sw,east
10.10.113.172,AUSTXCO03,AUSTXCO03.central.lightspeed.net,central,active,Juniper,MX204,core,0,0,AUS,TX,CO,core,central
10.70.189.104,BOIIDED04,BOIIDED04.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,1,0,BOI,ID,ED,edge,northwest
10.40.143.245,BNATNED87,BNATNED87.southeast.lightspeed.net,southeast,active,Juniper,SRX345,edge,1,0,BNA,TN,ED,edge,southeast
10.70.78.152,BOIIDSW54,BOIIDSW54.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw,0,0,BOI,ID,SW,sw,northwest
10.30.95.199,SEAWADS14,SEAWADS14.west.lightspeed.net,west,active,Juniper,QFX5120,dist,0,1,SEA,WA,DS,dist,west
10.50.5.74,ABQNMDS80,ABQNMDS80.southwest.lightspeed.net,southwest,down,ADVA,FSP150,dist,0,0,ABQ,NM,DS,dist,southwest
10.70.11.213,PORORED38,PORORED38.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,1,0,POR,OR,ED,edge,northwest
10.30.200.243,LAXCAED20,LAXCAED20.west.lightspeed.net,west,degraded,RAD,ETX-2,edge,1,0,LAX,CA,ED,edge,west
10.60.74.36,PHLPAED06,PHLPAED06.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431,edge,0,0,PHL,PA,ED,edge,northeast
10.10.221.158,AUSTXSW84,AUSTXSW84.central.lightspeed.net,central,down,Cisco,Catalyst9300,sw,0,0,AUS,TX,SW,sw,central
10.70.173.196,PORORSW77,PORORSW77.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,POR,OR,SW,sw,northwest
10.20.134.81,ATLGAED89,ATLGAED89.east.lightspeed.net,east,active,RAD,ETX-2,edge,0,0,ATL,GA,ED,edge,east
10.60.101.15,PHLPADS11,PHLPADS11.northeast.lightspeed.net,northeast,degraded,Juniper,QFX5120,dist,0,0,PHL,PA,DS,dist,northeast
10.60.30.165,NYCNYAG28,NYCNYAG28.northeast.lightspeed.net,northeast,active,Arista,7280R,agg,0,0,NYC,NY,AG,agg,northeast
10.30.15.200,SEAWART04,SEAWART04.west.lightspeed.net,west,active,Arista,7050X3,rtr,0,0,SEA,WA,RT,rtr,west
10.40.89.51,MIAFLDS34,MIAFLDS34.southeast.lightspeed.net,southeast,active,Juniper,QFX5120,dist,0,0,MIA,FL,DS,dist,southeast
10.60.37.68,PHLPADS71,PHLPADS71.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,1,PHL,PA,DS,dist,northeast
10.70.245.69,BOIIDDS15,BOIIDDS15.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,0,0,BOI,ID,DS,dist,northwest
10.70.118.137,BOIIDED40,BOIIDED40.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0,BOI,ID,ED,edge,northwest
10.70.7.181,GEGWASW39,GEGWASW39.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,GEG,WA,SW,sw,northwest
10.30.222.154,SFOCADS67,SFOCADS67.west.lightspeed.net,west,down,ADVA,FSP150,dist,0,0,SFO,CA,DS,dist,west
10.10.146.171,AUSTXSW66,AUSTXSW66.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0,AUS,TX,SW,sw,central
10.50.255.52,ABQNMDS54,ABQNMDS54.southwest.lightspeed.net,southwest,active,Juniper,QFX5120,dist,0,0,ABQ,NM,DS,dist,southwest
10.60.247.101,PHLPAED40,PHLPAED40.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,1,1,PHL,PA,ED,edge,northeast
10.60.136.77,BOSMASW01,BOSMASW01.northeast.lightspeed.net,northeast,degraded,Cisco,Catalyst9300,sw,0,0,BOS,MA,SW,sw,northeast
10.70.40.13,PORORDS69,PORORDS69.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,0,0,POR,OR,DS,dist,northwest
10.30.29.17,SFOCAAG58,SFOCAAG58.west.lightspeed.net,west,active,ADVA,FSP3000,agg,0,0,SFO,CA,AG,agg,west
10.70.92.39,GEGWADS69,GEGWADS69.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,1,0,GEG,WA,DS,dist,northwest
10.40.28.179,BNATNED21,BNATNED21.southeast.lightspeed.net,southeast,degraded,Cisco,ISR4431,edge,0,0,BNA,TN,ED,edge,southeast
10.60.163.110,PHLPADS69,PHLPADS69.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0,PHL,PA,DS,dist,northeast
10.70.114.61,PORORED57,PORORED57.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,edge,0,0,POR,OR,ED,edge,northwest
