ip_address,hostname,fqdn,region,status,vendor,model
10.30.204.54,SFORT04,SFORT04.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.20.83.1,CLTED66,CLTED66.east.lightspeed.net,east,retired,Juniper,MX204
10.30.190.194,SFOED03,SFOED03.west.lightspeed.net,west,degraded,Arista,7280R
10.60.64.149,BOSSW14,BOSSW14.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.60.42.233,NYCDS99,NYCDS99.northeast.lightspeed.net,northeast,active,Cisco,NCS540
10.10.111.146,DALRT57,DALRT57.central.lightspeed.net,central,active,Cisco,ISR4431
10.30.160.91,LAXRT22,LAXRT22.west.lightspeed.net,west,active,ADVA,FSP3000
10.10.56.13,AUSAG56,AUSAG56.central.lightspeed.net,central,active,Cisco,ISR4431
10.30.251.93,SFOED26,SFOED26.west.lightspeed.net,west,active,Arista,7280R
10.60.45.23,PHLAG33,PHLAG33.northeast.lightspeed.net,northeast,active,Cisco,ISR4431
10.70.120.136,PORED02,PORED02.northwest.lightspeed.net,northwest,active,Arista,7280R
10.10.177.33,DALRT04,DALRT04.central.lightspeed.net,central,active,Nokia,7750 SR-1
10.30.198.57,SEAAG61,SEAAG61.west.lightspeed.net,west,active,Arista,7280R
10.70.141.18,PORRT59,PORRT59.northwest.lightspeed.net,northwest,degraded,Cisco,ISR4431
10.70.13.12,GEGSW99,GEGSW99.northwest.lightspeed.net,northwest,down,Arista,7280R
10.70.178.31,BOICO36,BOICO36.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.60.115.134,BOSED73,BOSED73.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1
10.10.8.156,AUSSW36,AUSSW36.central.lightspeed.net,central,active,Cisco,ISR4431
10.70.160.202,PORRT73,PORRT73.northwest.lightspeed.net,northwest,down,RAD,ETX-2
10.50.251.189,PHXRT58,PHXRT58.southwest.lightspeed.net,southwest,active,RAD,ETX-2
10.30.37.9,SFODS20,SFODS20.west.lightspeed.net,west,active,RAD,ETX-2
10.70.173.178,BOIED78,BOIED78.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.50.144.1,ABQDS22,ABQDS22.southwest.lightspeed.net,southwest,active,RAD,ETX-2
10.60.225.95,NYCRT07,NYCRT07.northeast.lightspeed.net,northeast,active,Juniper,MX204
10.10.236.67,AUSSW05,AUSSW05.central.lightspeed.net,central,degraded,Arista,7280R
10.40.199.7,BNACO12,BNACO12.southeast.lightspeed.net,southeast,active,Juniper,MX204
10.20.18.211,CLTRT26,CLTRT26.east.lightspeed.net,east,degraded,RAD,ETX-2
10.70.235.47,PORAG11,PORAG11.northwest.lightspeed.net,northwest,active,Arista,7280R
10.30.159.164,LAXDS09,LAXDS09.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.30.10.175,SFOAG43,SFOAG43.west.lightspeed.net,west,active,Arista,7280R
10.40.236.95,MIADS12,MIADS12.southeast.lightspeed.net,southeast,active,RAD,ETX-2
10.70.131.180,GEGED45,GEGED45.northwest.lightspeed.net,northwest,active,ADVA,FSP3000
10.20.206.241,ATLED93,ATLED93.east.lightspeed.net,east,active,Juniper,MX204
10.70.250.64,PORED08,PORED08.northwest.lightspeed.net,northwest,down,Arista,7280R
10.60.136.57,BOSDS76,BOSDS76.northeast.lightspeed.net,northeast,down,Arista,7280R
10.60.236.40,PHLRT09,PHLRT09.northeast.lightspeed.net,northeast,degraded,Juniper,MX204
10.50.236.126,PHXRT85,PHXRT85.southwest.lightspeed.net,southwest,active,ADVA,FSP3000
10.60.6.71,NYCED75,NYCED75.northeast.lightspeed.net,northeast,degraded,Arista,7280R
10.40.57.188,BNART84,BNART84.southeast.lightspeed.net,southeast,degraded,Cisco,ISR4431
10.70.84.104,GEGRT11,GEGRT11.northwest.lightspeed.net,northwest,active,ADVA,FSP150
10.10.233.103,AUSCO62,AUSCO62.central.lightspeed.net,central,degraded,Nokia,7750 SR-1
10.10.18.181,OKCCO02,OKCCO02.central.lightspeed.net,central,active,Juniper,MX204
10.60.26.110,PHLSW86,PHLSW86.northeast.lightspeed.net,northeast,active,Arista,7280R
10.30.136.78,LAXDS90,LAXDS90.west.lightspeed.net,west,active,ADVA,FSP3000
10.70.201.50,BOIAG02,BOIAG02.northwest.lightspeed.net,northwest,active,Cisco,NCS540
10.40.177.226,JAXDS44,JAXDS44.southeast.lightspeed.net,southeast,down,ADVA,FSP150
10.70.250.180,GEGED94,GEGED94.northwest.lightspeed.net,northwest,active,Arista,7280R
10.10.92.129,OKCAG16,OKCAG16.central.lightspeed.net,central,retired,Arista,7280R
10.30.42.102,SEART25,SEART25.west.lightspeed.net,west,active,Cisco,NCS540
10.70.211.104,GEGSW51,GEGSW51.northwest.lightspeed.net,northwest,active,Arista,7280R
10.70.148.167,BOISW09,BOISW09.northwest.lightspeed.net,northwest,degraded,Nokia,7750 SR-1
10.10.191.69,OKCCO50,OKCCO50.central.lightspeed.net,central,active,Arista,7280R
10.70.124.82,BOIDS45,BOIDS45.northwest.lightspeed.net,northwest,active,ADVA,FSP150
10.60.89.29,NYCED29,NYCED29.northeast.lightspeed.net,northeast,active,ADVA,FSP150
10.60.133.60,PHLRT37,PHLRT37.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.60.158.6,PHLRT43,PHLRT43.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150
10.20.112.70,PITED24,PITED24.east.lightspeed.net,east,degraded,Juniper,MX204
10.30.145.163,LAXDS13,LAXDS13.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.60.59.63,BOSSW89,BOSSW89.northeast.lightspeed.net,northeast,degraded,Cisco,NCS540
10.60.36.132,NYCED30,NYCED30.northeast.lightspeed.net,northeast,active,Cisco,NCS540
10.30.205.7,SFORT23,SFORT23.west.lightspeed.net,west,degraded,Juniper,MX204
10.10.171.54,AUSAG59,AUSAG59.central.lightspeed.net,central,active,ADVA,FSP3000
10.30.80.225,SFODS31,SFODS31.west.lightspeed.net,west,down,Cisco,ISR4431
10.30.237.141,LAXAG60,LAXAG60.west.lightspeed.net,west,degraded,Arista,7280R
10.70.4.29,BOIAG76,BOIAG76.northwest.lightspeed.net,northwest,degraded,Arista,7280R
10.20.195.191,PITAG64,PITAG64.east.lightspeed.net,east,active,Arista,7280R
10.10.61.0,DALRT89,DALRT89.central.lightspeed.net,central,down,Arista,7280R
10.30.92.55,SEADS01,SEADS01.west.lightspeed.net,west,active,Cisco,ISR4431
10.30.211.102,LAXED07,LAXED07.west.lightspeed.net,west,active,ADVA,FSP3000
10.30.232.114,SFOSW88,SFOSW88.west.lightspeed.net,west,active,Juniper,MX204
10.30.241.143,SFOAG07,SFOAG07.west.lightspeed.net,west,down,RAD,ETX-2
10.70.160.211,PORRT91,PORRT91.northwest.lightspeed.net,northwest,retired,Cisco,ISR4431
10.60.218.125,BOSRT55,BOSRT55.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150
10.30.63.9,SEASW04,SEASW04.west.lightspeed.net,west,active,ADVA,FSP3000
10.30.40.221,SFOAG82,SFOAG82.west.lightspeed.net,west,down,RAD,ETX-2
10.70.7.94,BOIAG93,BOIAG93.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.60.124.141,PHLSW19,PHLSW19.northeast.lightspeed.net,northeast,active,Arista,7280R
10.50.111.116,PHXAG74,PHXAG74.southwest.lightspeed.net,southwest,down,RAD,ETX-2
10.60.58.92,BOSED54,BOSED54.northeast.lightspeed.net,northeast,degraded,Arista,7280R
10.50.163.216,PHXSW81,PHXSW81.southwest.lightspeed.net,southwest,active,Nokia,7750 SR-1
10.30.78.247,LAXCO37,LAXCO37.west.lightspeed.net,west,degraded,Nokia,7750 SR-1
10.10.210.59,AUSSW78,AUSSW78.central.lightspeed.net,central,active,Juniper,MX204
10.70.233.221,BOISW28,BOISW28.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.70.189.12,BOIRT41,BOIRT41.northwest.lightspeed.net,northwest,active,Arista,7280R
10.10.179.150,AUSAG16,AUSAG16.central.lightspeed.net,central,active,Cisco,NCS540
10.10.217.230,AUSED84,AUSED84.central.lightspeed.net,central,active,Juniper,MX204
10.70.130.180,PORED52,PORED52.northwest.lightspeed.net,northwest,down,Cisco,ISR4431
10.60.89.113,PHLCO52,PHLCO52.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.10.225.54,OKCDS13,OKCDS13.central.lightspeed.net,central,active,Nokia,7750 SR-1
10.20.176.18,PITED27,PITED27.east.lightspeed.net,east,active,ADVA,FSP150
10.70.75.64,PORED82,PORED82.northwest.lightspeed.net,northwest,active,ADVA,FSP150
10.60.82.124,PHLRT80,PHLRT80.northeast.lightspeed.net,northeast,retired,Arista,7280R
10.20.52.44,PITED66,PITED66.east.lightspeed.net,east,active,Cisco,ISR4431
10.60.11.14,PHLSW08,PHLSW08.northeast.lightspeed.net,northeast,retired,ADVA,FSP150
10.30.124.99,LAXDS92,LAXDS92.west.lightspeed.net,west,active,Cisco,NCS540
10.30.13.46,SFODS10,SFODS10.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.20.164.218,PITAG40,PITAG40.east.lightspeed.net,east,active,Cisco,ISR4431
10.30.68.36,SFOSW57,SFOSW57.west.lightspeed.net,west,active,RAD,ETX-2
10.30.7.3,SFODS69,SFODS69.west.lightspeed.net,west,degraded,ADVA,FSP150
10.20.77.182,PITDS31,PITDS31.east.lightspeed.net,east,active,RAD,ETX-2
10.60.151.98,NYCED23,NYCED23.northeast.lightspeed.net,northeast,active,Arista,7280R
10.60.201.63,NYCSW57,NYCSW57.northeast.lightspeed.net,northeast,active,Arista,7280R
10.20.216.32,ATLED60,ATLED60.east.lightspeed.net,east,active,Cisco,ISR4431
10.60.21.220,NYCAG01,NYCAG01.northeast.lightspeed.net,northeast,active,Cisco,ISR4431
10.30.247.8,SEAED01,SEAED01.west.lightspeed.net,west,active,Juniper,MX204
10.70.215.213,PORED97,PORED97.northwest.lightspeed.net,northwest,active,ADVA,FSP3000
10.70.197.34,PORCO91,PORCO91.northwest.lightspeed.net,northwest,active,Juniper,MX204
10.20.63.78,ATLSW62,ATLSW62.east.lightspeed.net,east,active,Cisco,NCS540
10.30.47.109,SEAAG77,SEAAG77.west.lightspeed.net,west,down,Juniper,MX204
10.30.6.123,SEART02,SEART02.west.lightspeed.net,west,active,Arista,7280R
10.60.47.204,NYCAG12,NYCAG12.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.20.46.239,ATLDS83,ATLDS83.east.lightspeed.net,east,active,ADVA,FSP150
10.60.176.159,PHLAG55,PHLAG55.northeast.lightspeed.net,northeast,active,Cisco,NCS540
10.30.231.167,SEADS79,SEADS79.west.lightspeed.net,west,active,Juniper,MX204
10.10.51.44,DALSW74,DALSW74.central.lightspeed.net,central,degraded,ADVA,FSP3000
10.70.58.67,PORSW75,PORSW75.northwest.lightspeed.net,northwest,active,ADVA,FSP3000
10.20.33.171,CLTAG07,CLTAG07.east.lightspeed.net,east,active,Arista,7280R
10.70.99.223,BOIRT22,BOIRT22.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.30.100.83,SFOCO94,SFOCO94.west.lightspeed.net,west,degraded,Cisco,NCS540
10.70.24.22,GEGSW58,GEGSW58.northwest.lightspeed.net,northwest,active,Juniper,QFX5120
10.70.208.28,BOICO24,BOICO24.northwest.lightspeed.net,northwest,active,Cisco,NCS540
10.70.43.0,GEGDS07,GEGDS07.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.70.139.130,GEGCO52,GEGCO52.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2
10.10.5.79,DALCO07,DALCO07.central.lightspeed.net,central,active,Juniper,MX204
10.70.229.87,BOIED46,BOIED46.northwest.lightspeed.net,northwest,active,Arista,7280R
10.70.89.91,BOIED61,BOIED61.northwest.lightspeed.net,northwest,active,Cisco,NCS540
10.60.243.96,BOSED48,BOSED48.northeast.lightspeed.net,northeast,active,Arista,7280R
10.30.137.97,SEAAG51,SEAAG51.west.lightspeed.net,west,down,Nokia,7750 SR-1
10.60.79.67,PHLRT82,PHLRT82.northeast.lightspeed.net,northeast,retired,Nokia,7750 SR-1
10.70.234.30,GEGAG72,GEGAG72.northwest.lightspeed.net,northwest,active,Arista,7280R
10.70.223.145,GEGED48,GEGED48.northwest.lightspeed.net,northwest,active,Arista,7280R
10.10.60.41,DALSW83,DALSW83.central.lightspeed.net,central,active,ADVA,FSP150
10.30.37.101,SEACO14,SEACO14.west.lightspeed.net,west,degraded,Cisco,ISR4431
10.30.76.104,SEAAG95,SEAAG95.west.lightspeed.net,west,active,Arista,7280R
10.60.178.133,PHLRT95,PHLRT95.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150
10.30.167.226,LAXDS66,LAXDS66.west.lightspeed.net,west,degraded,Juniper,MX204
10.20.10.116,ATLDS42,ATLDS42.east.lightspeed.net,east,active,RAD,ETX-2
10.30.80.235,LAXED68,LAXED68.west.lightspeed.net,west,active,Juniper,MX204
10.70.60.131,PORDS64,PORDS64.northwest.lightspeed.net,northwest,degraded,Juniper,MX204
10.30.150.194,SEART12,SEART12.west.lightspeed.net,west,active,Cisco,ISR4431
10.70.37.226,GEGSW84,GEGSW84.northwest.lightspeed.net,northwest,active,Juniper,QFX5120
10.30.101.92,LAXSW77,LAXSW77.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.10.239.71,AUSDS26,AUSDS26.central.lightspeed.net,central,down,Arista,7280R
10.70.233.104,BOIED98,BOIED98.northwest.lightspeed.net,northwest,degraded,Nokia,7750 SR-1
10.70.61.157,PORCO17,PORCO17.northwest.lightspeed.net,northwest,degraded,Juniper,MX204
10.70.210.198,PORCO21,PORCO21.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.10.49.254,DALAG57,DALAG57.central.lightspeed.net,central,degraded,ADVA,FSP150
10.30.216.99,SFORT25,SFORT25.west.lightspeed.net,west,active,Cisco,ISR4431
10.70.214.210,GEGAG40,GEGAG40.northwest.lightspeed.net,northwest,retired,Arista,7280R
10.30.255.164,SFODS68,SFODS68.west.lightspeed.net,west,active,RAD,ETX-2
10.70.21.250,BOICO97,BOICO97.northwest.lightspeed.net,northwest,active,Cisco,ISR4431
10.70.51.60,GEGSW28,GEGSW28.northwest.lightspeed.net,northwest,active,ADVA,FSP150
10.60.201.5,NYCED53,NYCED53.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150
10.60.155.179,NYCAG79,NYCAG79.northeast.lightspeed.net,northeast,degraded,Juniper,QFX5120
10.30.43.1,SFORT27,SFORT27.west.lightspeed.net,west,degraded,RAD,ETX-2
10.50.40.133,PHXAG56,PHXAG56.southwest.lightspeed.net,southwest,active,RAD,ETX-2
10.50.217.10,ELPCO27,ELPCO27.southwest.lightspeed.net,southwest,degraded,Cisco,NCS540
10.70.221.44,PORAG16,PORAG16.northwest.lightspeed.net,northwest,active,ADVA,FSP150
10.30.174.211,SFOCO39,SFOCO39.west.lightspeed.net,west,down,Nokia,7750 SR-1
10.40.92.167,JAXAG82,JAXAG82.southeast.lightspeed.net,southeast,active,Cisco,ISR4431
10.60.184.88,PHLCO54,PHLCO54.northeast.lightspeed.net,northeast,active,ADVA,FSP150
10.20.14.13,CLTSW18,CLTSW18.east.lightspeed.net,east,degraded,RAD,ETX-2
10.10.183.1,AUSDS38,AUSDS38.central.lightspeed.net,central,active,Juniper,QFX5120
10.70.187.82,BOIED27,BOIED27.northwest.lightspeed.net,northwest,active,Cisco,NCS540
10.20.135.154,PITED57,PITED57.east.lightspeed.net,east,active,Arista,7280R
10.10.6.220,DALAG96,DALAG96.central.lightspeed.net,central,degraded,Nokia,7750 SR-1
10.30.72.240,SFOSW84,SFOSW84.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.60.121.185,NYCCO41,NYCCO41.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1
10.10.233.241,AUSRT01,AUSRT01.central.lightspeed.net,central,degraded,Nokia,7750 SR-1
10.30.162.130,SFOSW70,SFOSW70.west.lightspeed.net,west,active,Arista,7280R
10.30.48.20,SFOCO41,SFOCO41.west.lightspeed.net,west,active,ADVA,FSP150
10.60.158.168,PHLRT87,PHLRT87.northeast.lightspeed.net,northeast,active,Arista,7280R
10.20.114.200,ATLED70,ATLED70.east.lightspeed.net,east,active,Cisco,ISR4431
10.30.229.205,LAXED80,LAXED80.west.lightspeed.net,west,retired,Cisco,NCS540
10.20.215.44,PITSW63,PITSW63.east.lightspeed.net,east,active,Nokia,7750 SR-1
10.50.145.151,PHXDS57,PHXDS57.southwest.lightspeed.net,southwest,active,Juniper,MX204
10.70.187.16,GEGAG03,GEGAG03.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.20.146.177,ATLAG37,ATLAG37.east.lightspeed.net,east,degraded,Juniper,MX204
10.60.30.107,BOSAG34,BOSAG34.northeast.lightspeed.net,northeast,active,Juniper,MX204
10.40.47.150,MIAAG39,MIAAG39.southeast.lightspeed.net,southeast,active,Nokia,7750 SR-1
10.30.241.242,LAXDS48,LAXDS48.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.30.58.165,SFOED12,SFOED12.west.lightspeed.net,west,degraded,Juniper,MX204
10.60.224.105,PHLED06,PHLED06.northeast.lightspeed.net,northeast,degraded,Juniper,QFX5120
10.60.252.81,PHLRT97,PHLRT97.northeast.lightspeed.net,northeast,active,Juniper,MX204
10.60.93.39,PHLDS50,PHLDS50.northeast.lightspeed.net,northeast,degraded,Cisco,NCS540
10.10.241.65,OKCSW16,OKCSW16.central.lightspeed.net,central,down,Arista,7280R
10.10.139.125,AUSCO72,AUSCO72.central.lightspeed.net,central,active,ADVA,FSP150
10.10.126.48,DALAG89,DALAG89.central.lightspeed.net,central,degraded,Arista,7280R
10.20.51.121,PITED79,PITED79.east.lightspeed.net,east,active,Juniper,MX204
10.70.75.175,PORED28,PORED28.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.70.162.201,BOIED68,BOIED68.northwest.lightspeed.net,northwest,active,Arista,7280R
10.20.106.113,ATLDS06,ATLDS06.east.lightspeed.net,east,down,Cisco,ISR4431
10.60.167.210,BOSAG72,BOSAG72.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2
