ip_address,hostname,fqdn,region,status,vendor,model,present_in_ipam,present_in_inventory
10.70.130.65,BOIIDCO19,BOIIDCO19.northwest.lightspeed.net,northwest,retired,Cisco,ISR4431,1,1
10.60.220.57,PHLPAED74,PHLPAED74.northeast.lightspeed.net,northeast,degraded,Juniper,MX204,1,1
10.70.150.123,PORORED64,PORORED64.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.60.15.185,NYCNYCO16,NYCNYCO16.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,0,1
10.70.0.182,BOIIDAG98,BOIIDAG98.northwest.lightspeed.net,northwest,down,Juniper,QFX5120,1,1
10.70.126.161,GEGWADS09,GEGWADS09.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,1
10.50.75.118,ABQNMRT61,ABQNMRT61.southwest.lightspeed.net,southwest,active,RAD,ETX-2,1,1
10.50.251.208,PHXAZAG34,PHXAZAG34.southwest.lightspeed.net,southwest,active,ADVA,FSP150,1,1
10.60.243.48,BOSMAAG12,BOSMAAG12.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,0,1
10.20.188.67,CLTNCRT93,CLTNCRT93.east.lightspeed.net,east,degraded,Juniper,QFX5120,1,1
10.30.18.167,SEAWAAG47,SEAWAAG47.west.lightspeed.net,west,degraded,ADVA,FSP3000,1,1
10.30.239.247,SEAWASW63,SEAWASW63.west.lightspeed.net,west,active,Juniper,MX204,1,1
10.70.44.225,PORORRT34,PORORRT34.northwest.lightspeed.net,northwest,active,ADVA,FSP150,1,1
10.60.96.137,BOSMART83,BOSMART83.northeast.lightspeed.net,northeast,active,Cisco,NCS540,1,0
10.40.121.119,JAXFLED63,JAXFLED63.southeast.lightspeed.net,southeast,active,Arista,7280R,1,1
10.60.153.43,BOSMAAG72,BOSMAAG72.northeast.lightspeed.net,northeast,active,ADVA,FSP3000,0,1
10.20.164.25,CLTNCSW65,CLTNCSW65.east.lightspeed.net,east,degraded,RAD,ETX-2,1,1
10.70.78.193,GEGWACO56,GEGWACO56.northwest.lightspeed.net,northwest,active,Arista,7280R,0,1
10.10.150.215,AUSTXRT90,AUSTXRT90.central.lightspeed.net,central,active,Nokia,7750 SR-1,1,1
10.50.44.172,ELPTXSW25,ELPTXSW25.southwest.lightspeed.net,southwest,active,Arista,7280R,1,1
10.50.201.115,ELPTXED83,ELPTXED83.southwest.lightspeed.net,southwest,active,ADVA,FSP3000,1,1
10.60.0.84,PHLPAAG92,PHLPAAG92.northeast.lightspeed.net,northeast,active,Arista,7280R,0,1
10.70.51.127,GEGWAAG04,GEGWAAG04.northwest.lightspeed.net,northwest,degraded,Juniper,MX204,1,1
10.60.144.195,NYCNYRT20,NYCNYRT20.northeast.lightspeed.net,northeast,down,Arista,7280R,1,1
10.70.168.61,BOIIDDS26,BOIIDDS26.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,1,1
10.30.165.151,SFOCAED34,SFOCAED34.west.lightspeed.net,west,active,Juniper,MX204,1,1
10.30.237.168,LAXCART61,LAXCART61.west.lightspeed.net,west,retired,Arista,7280R,1,1
10.20.95.204,CLTNCRT81,CLTNCRT81.east.lightspeed.net,east,active,Nokia,7750 SR-1,1,1
10.10.207.206,DALTXCO63,DALTXCO63.central.lightspeed.net,central,active,Nokia,7750 SR-1,1,1
10.70.23.206,GEGWAED20,GEGWAED20.northwest.lightspeed.net,northwest,active,Arista,7280R,1,1
10.70.23.207,PORORDS71,PORORDS71.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.60.39.119,PHLPART45,PHLPART45.northeast.lightspeed.net,northeast,active,Arista,7280R,1,1
10.30.12.138,SFOCADS76,SFOCADS76.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.30.175.19,SFOCADS55,SFOCADS55.west.lightspeed.net,west,active,Juniper,QFX5120,1,1
10.30.233.28,SEAWAAG81,SEAWAAG81.west.lightspeed.net,west,active,RAD,ETX-2,0,1
10.30.248.117,LAXCACO85,LAXCACO85.west.lightspeed.net,west,active,Arista,7280R,1,1
10.40.86.219,JAXFLRT17,JAXFLRT17.southeast.lightspeed.net,southeast,active,ADVA,FSP150,1,1
10.70.236.20,PORORAG97,PORORAG97.northwest.lightspeed.net,northwest,degraded,Nokia,7750 SR-1,1,1
10.10.136.80,DALTXCO25,DALTXCO25.central.lightspeed.net,central,active,RAD,ETX-2,1,1
10.60.128.14,BOSMAED55,BOSMAED55.northeast.lightspeed.net,northeast,active,RAD,ETX-2,1,1
10.60.100.106,PHLPASW35,PHLPASW35.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,1,1
10.20.64.206,ATLGACO60,ATLGACO60.east.lightspeed.net,east,active,Nokia,7750 SR-1,1,1
10.30.129.146,SFOCACO18,SFOCACO18.west.lightspeed.net,west,down,RAD,ETX-2,1,1
10.30.67.103,SFOCADS02,SFOCADS02.west.lightspeed.net,west,degraded,RAD,ETX-2,0,1
10.70.160.162,BOIIDCO09,BOIIDCO09.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,1
10.30.22.134,LAXCACO29,LAXCACO29.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.70.12.77,GEGWAAG41,GEGWAAG41.northwest.lightspeed.net,northwest,down,Nokia,7750 SR-1,1,1
10.30.78.191,LAXCASW37,LAXCASW37.west.lightspeed.net,west,active,Juniper,MX204,1,1
10.60.183.146,NYCNYED97,NYCNYED97.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431,1,1
10.60.62.193,NYCNYCO66,NYCNYCO66.northeast.lightspeed.net,northeast,active,ADVA,FSP3000,0,1
10.70.227.211,GEGWAAG43,GEGWAAG43.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,1,1
10.70.44.45,GEGWAAG90,GEGWAAG90.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,1,0
10.50.97.171,ABQNMRT78,ABQNMRT78.southwest.lightspeed.net,southwest,retired,ADVA,FSP3000,1,1
10.60.171.94,PHLPAED73,PHLPAED73.northeast.lightspeed.net,northeast,active,Juniper,MX204,1,1
10.70.48.73,BOIIDAG43,BOIIDAG43.northwest.lightspeed.net,northwest,active,Arista,7280R,1,1
10.60.5.12,NYCNYRT40,NYCNYRT40.northeast.lightspeed.net,northeast,retired,ADVA,FSP150,0,1
10.10.207.86,OKCOKCO80,OKCOKCO80.central.lightspeed.net,central,degraded,RAD,ETX-2,1,1
10.60.78.206,BOSMAAG59,BOSMAAG59.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,0,0
10.40.123.253,BNATNED84,BNATNED84.southeast.lightspeed.net,southeast,degraded,RAD,ETX-2,1,1
10.30.53.57,SEAWAED55,SEAWAED55.west.lightspeed.net,west,active,RAD,ETX-2,1,1
10.10.205.54,DALTXCO60,DALTXCO60.central.lightspeed.net,central,down,RAD,ETX-2,1,1
10.60.112.87,NYCNYRT69,NYCNYRT69.northeast.lightspeed.net,northeast,active,RAD,ETX-2,0,1
10.70.145.29,GEGWASW90,GEGWASW90.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,1,1
10.10.118.220,OKCOKED03,OKCOKED03.central.lightspeed.net,central,active,ADVA,FSP3000,1,1
10.20.161.158,PITPASW55,PITPASW55.east.lightspeed.net,east,active,RAD,ETX-2,1,1
10.70.40.132,BOIIDAG68,BOIIDAG68.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,1
10.60.246.71,PHLPADS59,PHLPADS59.northeast.lightspeed.net,northeast,active,ADVA,FSP150,1,1
10.70.109.69,PORORSW96,PORORSW96.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,1
10.70.252.221,GEGWACO24,GEGWACO24.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,1,1
10.70.7.220,PORORED99,PORORED99.northwest.lightspeed.net,northwest,down,RAD,ETX-2,1,1
10.30.157.202,SEAWACO23,SEAWACO23.west.lightspeed.net,west,active,RAD,ETX-2,0,1
10.70.116.92,BOIIDED90,BOIIDED90.northwest.lightspeed.net,northwest,active,Cisco,NCS540,1,0
10.30.70.204,LAXCAED30,LAXCAED30.west.lightspeed.net,west,active,Arista,7280R,1,1
10.70.153.46,BOIIDSW67,BOIIDSW67.northwest.lightspeed.net,northwest,degraded,ADVA,FSP3000,1,1
10.30.223.146,SFOCACO46,SFOCACO46.west.lightspeed.net,west,active,ADVA,FSP150,1,1
10.20.209.127,ATLGART08,ATLGART08.east.lightspeed.net,east,active,Juniper,MX204,1,1
10.30.137.90,LAXCADS08,LAXCADS08.west.lightspeed.net,west,down,Arista,7280R,1,1
10.70.107.51,BOIIDCO04,BOIIDCO04.northwest.lightspeed.net,northwest,degraded,Cisco,ISR4431,1,1
10.60.254.73,NYCNYAG89,NYCNYAG89.northeast.lightspeed.net,northeast,active,ADVA,FSP150,0,1
10.70.14.46,BOIIDSW24,BOIIDSW24.northwest.lightspeed.net,northwest,degraded,ADVA,FSP3000,1,0
10.60.49.57,BOSMASW21,BOSMASW21.northeast.lightspeed.net,northeast,active,Arista,7280R,1,1
10.70.88.235,GEGWASW56,GEGWASW56.northwest.lightspeed.net,northwest,degraded,Arista,7280R,1,1
10.50.233.124,ELPTXED93,ELPTXED93.southwest.lightspeed.net,southwest,active,Cisco,ISR4431,1,1
10.10.48.1,OKCOKSW04,OKCOKSW04.central.lightspeed.net,central,degraded,Arista,7280R,1,1
10.70.158.216,GEGWAED35,GEGWAED35.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,1
10.30.146.207,SFOCADS50,SFOCADS50.west.lightspeed.net,west,active,Cisco,NCS540,1,0
10.70.192.11,BOIIDCO54,BOIIDCO54.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,0
10.60.103.52,BOSMAAG60,BOSMAAG60.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,1,1
10.60.126.213,PHLPADS10,PHLPADS10.northeast.lightspeed.net,northeast,active,Juniper,MX204,1,0
10.60.166.89,PHLPADS57,PHLPADS57.northeast.lightspeed.net,northeast,active,Juniper,MX204,0,1
10.30.171.26,LAXCART22,LAXCART22.west.lightspeed.net,west,active,Arista,7280R,1,1
10.30.80.128,LAXCACO26,LAXCACO26.west.lightspeed.net,west,degraded,Juniper,MX204,0,1
10.70.227.184,GEGWAAG60,GEGWAAG60.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,1,1
10.60.19.108,BOSMASW90,BOSMASW90.northeast.lightspeed.net,northeast,active,RAD,ETX-2,1,0
10.40.181.204,JAXFLDS95,JAXFLDS95.southeast.lightspeed.net,southeast,down,Arista,7280R,1,1
10.20.38.203,PITPADS75,PITPADS75.east.lightspeed.net,east,degraded,Nokia,7750 SR-1,1,1
10.70.176.182,PORORAG28,PORORAG28.northwest.lightspeed.net,northwest,active,Arista,7280R,1,1
10.10.47.223,DALTXSW96,DALTXSW96.central.lightspeed.net,central,active,Cisco,NCS540,1,0
10.20.89.196,PITPACO36,PITPACO36.east.lightspeed.net,east,active,RAD,ETX-2,1,1
10.60.2.55,NYCNYAG55,NYCNYAG55.northeast.lightspeed.net,northeast,degraded,Juniper,MX204,1,1
10.30.250.251,SFOCART28,SFOCART28.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.60.121.136,PHLPAAG68,PHLPAAG68.northeast.lightspeed.net,northeast,active,RAD,ETX-2,1,1
10.60.23.174,NYCNYRT31,NYCNYRT31.northeast.lightspeed.net,northeast,degraded,Arista,7280R,0,1
10.30.144.4,SFOCAED20,SFOCAED20.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.60.15.255,NYCNYDS19,NYCNYDS19.northeast.lightspeed.net,northeast,down,Arista,7280R,1,1
10.70.214.54,BOIIDDS74,BOIIDDS74.northwest.lightspeed.net,northwest,active,Arista,7280R,1,1
10.30.239.145,LAXCAED07,LAXCAED07.west.lightspeed.net,west,active,ADVA,FSP150,1,1
10.70.105.90,PORORRT08,PORORRT08.northwest.lightspeed.net,northwest,degraded,Nokia,7750 SR-1,1,1
10.30.144.18,SFOCART99,SFOCART99.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.70.233.115,BOIIDSW29,BOIIDSW29.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,1,1
10.10.62.74,AUSTXRT73,AUSTXRT73.central.lightspeed.net,central,retired,Cisco,NCS540,1,0
10.60.72.99,BOSMADS12,BOSMADS12.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2,1,1
10.60.134.53,NYCNYDS38,NYCNYDS38.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,1,1
10.10.33.20,AUSTXRT49,AUSTXRT49.central.lightspeed.net,central,active,RAD,ETX-2,1,1
10.30.73.139,LAXCASW35,LAXCASW35.west.lightspeed.net,west,active,Arista,7280R,1,1
10.20.2.168,ATLGASW78,ATLGASW78.east.lightspeed.net,east,active,Cisco,ISR4431,1,1
10.20.60.224,PITPAED90,PITPAED90.east.lightspeed.net,east,active,Cisco,ISR4431,1,1
10.20.190.164,PITPADS99,PITPADS99.east.lightspeed.net,east,active,Arista,7280R,1,1
10.70.100.142,PORORED62,PORORED62.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,1,1
10.30.251.78,SFOCAAG47,SFOCAAG47.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.70.186.51,BOIIDED39,BOIIDED39.northwest.lightspeed.net,northwest,degraded,Arista,7280R,1,1
10.60.24.7,PHLPART67,PHLPART67.northeast.lightspeed.net,northeast,retired,Cisco,ISR4431,0,1
10.40.61.11,MIAFLAG52,MIAFLAG52.southeast.lightspeed.net,southeast,active,RAD,ETX-2,1,1
10.60.185.252,BOSMAED48,BOSMAED48.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,0,1
10.50.157.98,ELPTXRT22,ELPTXRT22.southwest.lightspeed.net,southwest,active,Nokia,7750 SR-1,1,1
10.70.16.13,PORORED47,PORORED47.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,1
10.60.65.235,NYCNYSW19,NYCNYSW19.northeast.lightspeed.net,northeast,active,ADVA,FSP150,0,1
10.10.23.43,OKCOKED82,OKCOKED82.central.lightspeed.net,central,retired,Juniper,MX204,1,1
10.70.109.247,BOIIDDS61,BOIIDDS61.northwest.lightspeed.net,northwest,retired,RAD,ETX-2,1,0
10.20.50.96,ATLGAAG49,ATLGAAG49.east.lightspeed.net,east,degraded,Arista,7280R,1,1
10.30.182.191,SEAWASW83,SEAWASW83.west.lightspeed.net,west,active,Arista,7280R,1,1
10.30.182.27,SFOCAED37,SFOCAED37.west.lightspeed.net,west,retired,ADVA,FSP150,1,0
10.20.75.152,CLTNCDS16,CLTNCDS16.east.lightspeed.net,east,active,Arista,7280R,1,1
10.70.170.230,PORORCO81,PORORCO81.northwest.lightspeed.net,northwest,down,RAD,ETX-2,1,1
10.10.157.123,OKCOKRT69,OKCOKRT69.central.lightspeed.net,central,active,Arista,7280R,1,1
10.30.126.249,LAXCAAG65,LAXCAAG65.west.lightspeed.net,west,active,Arista,7280R,1,1
10.40.183.175,BNATNSW39,BNATNSW39.southeast.lightspeed.net,southeast,degraded,RAD,ETX-2,1,1
10.40.102.187,JAXFLDS88,JAXFLDS88.southeast.lightspeed.net,southeast,active,Cisco,ISR4431,1,1
10.30.230.95,SEAWACO56,SEAWACO56.west.lightspeed.net,west,active,Juniper,MX204,1,1
10.50.156.191,PHXAZED16,PHXAZED16.southwest.lightspeed.net,southwest,active,RAD,ETX-2,1,1
10.30.159.91,SEAWASW07,SEAWASW07.west.lightspeed.net,west,active,Juniper,MX204,1,1
10.30.100.153,LAXCAAG92,LAXCAAG92.west.lightspeed.net,west,active,Arista,7280R,1,1
10.10.57.76,AUSTXRT67,AUSTXRT67.central.lightspeed.net,central,active,ADVA,FSP150,1,0
10.70.48.164,GEGWASW80,GEGWASW80.northwest.lightspeed.net,northwest,degraded,Cisco,NCS540,1,0
10.30.169.108,SEAWAED10,SEAWAED10.west.lightspeed.net,west,active,Arista,7280R,1,1
10.70.58.151,PORORAG39,PORORAG39.northwest.lightspeed.net,northwest,active,ADVA,FSP150,1,0
10.40.68.171,BNATNDS79,BNATNDS79.southeast.lightspeed.net,southeast,active,RAD,ETX-2,1,1
10.60.120.103,NYCNYED88,NYCNYED88.northeast.lightspeed.net,northeast,active,ADVA,FSP150,0,0
10.10.14.25,DALTXED87,DALTXED87.central.lightspeed.net,central,active,RAD,ETX-2,1,1
10.50.10.171,PHXAZCO99,PHXAZCO99.southwest.lightspeed.net,southwest,active,Nokia,7750 SR-1,1,1
10.20.4.81,PITPAED88,PITPAED88.east.lightspeed.net,east,degraded,RAD,ETX-2,1,0
10.70.17.228,BOIIDRT67,BOIIDRT67.northwest.lightspeed.net,northwest,down,ADVA,FSP150,1,0
10.30.125.239,LAXCAED95,LAXCAED95.west.lightspeed.net,west,active,Juniper,MX204,0,1
10.70.241.223,GEGWASW20,GEGWASW20.northwest.lightspeed.net,northwest,degraded,ADVA,FSP3000,1,0
10.70.189.197,BOIIDDS02,BOIIDDS02.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120,1,1
10.30.68.76,LAXCADS34,LAXCADS34.west.lightspeed.net,west,active,RAD,ETX-2,1,1
10.60.99.117,BOSMACO60,BOSMACO60.northeast.lightspeed.net,northeast,degraded,Nokia,7750 SR-1,1,1
10.20.96.89,ATLGASW99,ATLGASW99.east.lightspeed.net,east,degraded,RAD,ETX-2,1,1
10.70.104.174,GEGWADS45,GEGWADS45.northwest.lightspeed.net,northwest,degraded,Nokia,7750 SR-1,1,1
10.30.195.199,SFOCASW83,SFOCASW83.west.lightspeed.net,west,active,RAD,ETX-2,1,1
10.70.71.50,GEGWART01,GEGWART01.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1,1,1
10.70.152.4,PORORRT12,PORORRT12.northwest.lightspeed.net,northwest,down,Arista,7280R,1,1
10.30.194.129,LAXCASW61,LAXCASW61.west.lightspeed.net,west,active,RAD,ETX-2,1,0
10.10.171.188,DALTXDS64,DALTXDS64.central.lightspeed.net,central,active,ADVA,FSP150,1,1
10.60.120.56,NYCNYRT67,NYCNYRT67.northeast.lightspeed.net,northeast,degraded,ADVA,FSP3000,1,0
10.70.96.131,GEGWAAG19,GEGWAAG19.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,1
10.10.180.104,OKCOKDS22,OKCOKDS22.central.lightspeed.net,central,degraded,ADVA,FSP3000,1,1
10.70.92.12,BOIIDSW63,BOIIDSW63.northwest.lightspeed.net,northwest,degraded,ADVA,FSP150,1,0
10.10.47.35,AUSTXRT72,AUSTXRT72.central.lightspeed.net,central,active,Nokia,7750 SR-1,1,1
10.70.142.119,PORORRT37,PORORRT37.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,1,1
10.70.33.201,BOIIDED84,BOIIDED84.northwest.lightspeed.net,northwest,active,Cisco,NCS540,1,0
10.30.77.148,SFOCADS94,SFOCADS94.west.lightspeed.net,west,degraded,ADVA,FSP150,1,1
10.60.215.201,PHLPAAG60,PHLPAAG60.northeast.lightspeed.net,northeast,retired,RAD,ETX-2,1,1
10.60.66.207,NYCNYRT81,NYCNYRT81.northeast.lightspeed.net,northeast,down,ADVA,FSP3000,1,1
10.50.39.18,PHXAZDS26,PHXAZDS26.southwest.lightspeed.net,southwest,degraded,Nokia,7750 SR-1,1,1
10.60.109.205,BOSMAAG79,BOSMAAG79.northeast.lightspeed.net,northeast,active,Juniper,MX204,1,1
10.70.158.125,GEGWAAG70,GEGWAAG70.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,0
10.60.32.35,NYCNYRT48,NYCNYRT48.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,0,1
10.70.255.86,PORORED90,PORORED90.northwest.lightspeed.net,northwest,active,ADVA,FSP150,1,1
10.30.236.75,LAXCASW85,LAXCASW85.west.lightspeed.net,west,active,Nokia,7750 SR-1,1,1
10.10.67.228,AUSTXAG48,AUSTXAG48.central.lightspeed.net,central,active,Cisco,ISR4431,1,1
10.70.187.157,PORORED10,PORORED10.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.10.116.186,DALTXRT63,DALTXRT63.central.lightspeed.net,central,active,RAD,ETX-2,1,1
10.30.181.176,SFOCAED21,SFOCAED21.west.lightspeed.net,west,down,Nokia,7750 SR-1,1,1
10.30.149.141,SFOCASW82,SFOCASW82.west.lightspeed.net,west,degraded,Nokia,7750 SR-1,1,1
10.60.106.140,BOSMACO77,BOSMACO77.northeast.lightspeed.net,northeast,active,RAD,ETX-2,0,1
10.50.117.13,PHXAZSW81,PHXAZSW81.southwest.lightspeed.net,southwest,down,Juniper,MX204,1,1
10.70.114.225,PORORSW35,PORORSW35.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.20.200.206,ATLGAED41,ATLGAED41.east.lightspeed.net,east,degraded,Arista,7280R,1,1
10.30.249.198,SEAWASW42,SEAWASW42.west.lightspeed.net,west,active,RAD,ETX-2,0,1
10.20.195.199,PITPAAG05,PITPAAG05.east.lightspeed.net,east,degraded,ADVA,FSP3000,1,1
10.70.212.202,BOIIDDS58,BOIIDDS58.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.60.224.143,BOSMAAG93,BOSMAAG93.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,0,1
10.70.246.132,BOIIDAG28,BOIIDAG28.northwest.lightspeed.net,northwest,active,ADVA,FSP150,1,0
10.20.180.168,PITPACO63,PITPACO63.east.lightspeed.net,east,active,ADVA,FSP3000,1,1
10.40.66.219,MIAFLSW84,MIAFLSW84.southeast.lightspeed.net,southeast,active,RAD,ETX-2,1,1
10.20.60.173,ATLGAED54,ATLGAED54.east.lightspeed.net,east,active,Cisco,NCS540,1,0
