obs_ip_address,obs_hostname,obs_status,inv_vendor,inv_model,missing_in_inventory
10.10.79.237,OKCOKDS81,active,Juniper,QFX5120,0
10.70.149.19,GEGWAED49,active,,,1
10.60.250.214,NYCNYRT41,active,Arista,7050X3,0
10.20.120.136,CLTNCDS43,active,ADVA,FSP150,0
10.30.150.12,LAXCAAG53,active,Arista,7280R,0
10.40.27.81,JAXFLAG81,active,ADVA,FSP3000,0
10.70.9.175,PORORAG17,active,ADVA,FSP3000,0
10.70.199.192,GEGWADS18,down,Juniper,QFX5120,0
10.40.43.14,MIAFLCO74,degraded,Juniper,MX204,0
10.30.66.12,SFOCAED09,active,,,1
10.70.191.232,GEGWADS24,degraded,Juniper,QFX5120,0
10.10.80.0,AUSTXDS62,active,Juniper,QFX5120,0
10.30.122.240,SEAWAED02,active,,,1
10.10.170.12,AUSTXSW87,active,Cisco,Catalyst9300,0
10.70.157.3,BOIIDRT36,active,Arista,7050X3,0
10.50.62.223,ABQNMSW22,active,Cisco,Catalyst9300,0
10.70.93.168,BOIIDCO09,active,Cisco,NCS540,0
10.20.186.236,CLTNCAG79,active,Arista,7280R,0
10.10.144.145,AUSTXDS07,active,ADVA,FSP150,0
10.60.227.216,PHLPASW55,down,Cisco,Catalyst9300,0
10.60.2.223,BOSMAAG48,down,ADVA,FSP3000,0
10.30.206.72,SEAWADS29,down,Juniper,QFX5120,0
10.70.184.198,PORORDS91,down,ADVA,FSP150,0
10.60.96.194,BOSMASW10,active,Cisco,Catalyst9300,0
10.50.129.167,PHXAZDS30,degraded,ADVA,FSP150,0
10.10.171.175,AUSTXED93,active,,,1
10.70.16.74,GEGWAED97,active,,,1
10.10.54.254,AUSTXDS74,degraded,ADVA,FSP150,0
10.70.71.10,GEGWAED56,active,,,1
10.70.146.189,PORORSW89,active,Cisco,Catalyst9300,0
10.60.186.205,BOSMADS37,active,ADVA,FSP150,0
10.60.218.161,NYCNYDS06,down,Juniper,QFX5120,0
10.30.80.84,LAXCACO39,down,Juniper,MX204,0
10.60.254.72,BOSMAAG51,active,Arista,7280R,0
10.20.164.76,PITPASW16,degraded,Cisco,Catalyst9300,0
10.70.119.2,PORORAG34,active,ADVA,FSP3000,0
10.70.242.145,PORORDS52,active,ADVA,FSP150,0
10.30.15.109,SFOCADS64,active,Juniper,QFX5120,0
10.20.207.196,CLTNCED84,retired,,,1
10.30.193.71,SEAWASW36,degraded,Cisco,Catalyst9300,0
10.60.9.153,PHLPAAG90,active,Arista,7280R,0
10.60.228.41,PHLPAED52,down,RAD,ETX-2,0
10.60.33.35,BOSMAED21,active,,,1
10.70.16.127,PORORSW63,down,Cisco,Catalyst9300,0
10.30.217.157,SFOCADS75,active,ADVA,FSP150,0
10.70.83.72,PORORAG32,degraded,ADVA,FSP3000,0
10.50.178.42,ELPTXDS11,active,ADVA,FSP150,0
10.40.250.110,MIAFLDS21,degraded,ADVA,FSP150,0
10.40.130.123,MIAFLSW32,active,Cisco,Catalyst9300,0
10.70.45.73,PORORCO56,active,Nokia,7750 SR-1,0
10.60.4.166,PHLPADS51,active,ADVA,FSP150,0
10.60.112.173,PHLPAED80,active,,,1
10.60.125.85,BOSMADS51,active,Juniper,QFX5120,0
10.20.200.3,CLTNCED21,degraded,Cisco,ISR4431,0
10.40.20.163,MIAFLSW26,active,Cisco,Catalyst9300,0
10.10.129.188,DALTXSW04,down,Cisco,Catalyst9300,0
10.40.44.186,MIAFLDS62,active,,,1
10.60.219.48,NYCNYDS73,active,ADVA,FSP150,0
10.30.68.133,LAXCAED67,degraded,,,1
10.60.18.49,PHLPAED75,active,,,1
10.70.225.176,GEGWACO76,active,Juniper,MX204,0
10.20.118.8,CLTNCDS45,active,ADVA,FSP150,0
10.70.70.210,GEGWART07,active,Arista,7050X3,0
10.70.193.155,PORORSW26,active,Cisco,Catalyst9300,0
10.30.143.111,LAXCASW66,active,Cisco,Catalyst9300,0
10.50.231.115,PHXAZAG78,active,ADVA,FSP3000,0
10.20.164.243,CLTNCED50,degraded,Juniper,SRX345,0
10.10.208.55,OKCOKDS66,active,ADVA,FSP150,0
10.60.55.171,PHLPART37,degraded,Arista,7050X3,0
10.30.130.185,SFOCAAG53,active,Arista,7280R,0
10.10.172.71,AUSTXDS85,active,Juniper,QFX5120,0
10.30.123.51,LAXCAED39,down,,,1
10.60.71.10,NYCNYSW84,down,Cisco,Catalyst9300,0
10.60.190.252,BOSMAAG61,degraded,ADVA,FSP3000,0
10.30.162.159,LAXCADS29,active,ADVA,FSP150,0
10.10.87.86,AUSTXSW80,degraded,Cisco,Catalyst9300,0
10.70.70.236,PORORAG44,degraded,Arista,7280R,0
10.30.162.82,SEAWASW91,degraded,,,1
10.70.29.117,BOIIDDS51,active,ADVA,FSP150,0
10.20.171.146,PITPASW66,active,Cisco,Catalyst9300,0
10.60.65.28,BOSMADS42,active,ADVA,FSP150,0
10.70.141.181,BOIIDED13,active,,,1
10.70.151.159,GEGWASW67,down,Cisco,Catalyst9300,0
10.40.99.87,BNATNAG85,active,Arista,7280R,0
10.30.34.205,LAXCASW19,active,Cisco,Catalyst9300,0
10.40.109.57,BNATNDS78,active,,,1
10.30.9.9,SFOCASW03,down,Cisco,Catalyst9300,0
10.70.145.10,PORORAG37,down,Arista,7280R,0
10.70.208.9,BOIIDDS50,active,Juniper,QFX5120,0
10.10.172.242,OKCOKCO75,active,Cisco,NCS540,0
10.70.209.55,BOIIDSW99,active,Cisco,Catalyst9300,0
10.60.98.166,NYCNYRT47,degraded,Arista,7050X3,0
10.70.223.248,PORORAG53,active,Arista,7280R,0
10.60.39.255,PHLPADS33,degraded,ADVA,FSP150,0
10.10.105.196,AUSTXDS58,active,ADVA,FSP150,0
10.30.244.184,SEAWAED04,degraded,Cisco,ISR4431,0
10.40.21.25,MIAFLSW44,active,Cisco,Catalyst9300,0
10.70.83.173,PORORRT24,active,Arista,7050X3,0
10.60.94.198,PHLPASW44,degraded,Cisco,Catalyst9300,0
10.70.11.43,BOIIDED52,active,,,1
10.20.232.1,PITPAED88,active,Cisco,ISR4431,0
10.30.177.22,LAXCACO74,active,Juniper,MX204,0
10.70.16.193,BOIIDCO70,active,Nokia,7750 SR-1,0
10.50.80.212,ELPTXED19,active,Juniper,SRX345,0
10.30.67.126,SEAWART32,active,Arista,7050X3,0
10.40.126.53,JAXFLED03,active,Cisco,ISR4431,0
10.20.176.190,ATLGADS87,active,Juniper,QFX5120,0
10.70.52.250,GEGWAAG29,active,ADVA,FSP3000,0
10.60.155.207,NYCNYDS98,active,ADVA,FSP150,0
10.50.8.194,ABQNMAG16,active,Arista,7280R,0
10.70.195.106,GEGWADS10,degraded,ADVA,FSP150,0
10.10.54.67,AUSTXSW91,active,Cisco,Catalyst9300,0
10.60.179.146,BOSMACO83,active,Nokia,7750 SR-1,0
10.30.117.64,LAXCAED92,down,,,1
10.60.82.41,PHLPACO16,degraded,Juniper,MX204,0
10.30.30.117,LAXCAAG82,active,Arista,7280R,0
10.10.228.20,AUSTXDS32,active,Juniper,QFX5120,0
10.60.149.39,PHLPAAG21,degraded,Arista,7280R,0
10.70.9.255,GEGWART08,down,Arista,7050X3,0
10.10.90.33,AUSTXDS70,retired,Juniper,QFX5120,0
10.60.45.105,BOSMAED54,active,,,1
10.30.74.227,SFOCASW37,degraded,Cisco,Catalyst9300,0
10.60.90.157,NYCNYSW22,active,Cisco,Catalyst9300,0
10.40.240.161,BNATNRT17,active,Arista,7050X3,0
10.60.150.176,PHLPADS07,active,Juniper,QFX5120,0
10.60.42.66,PHLPASW83,down,Cisco,Catalyst9300,0
10.70.73.250,GEGWASW07,active,Cisco,Catalyst9300,0
10.30.54.111,LAXCAED13,active,,,1
10.70.172.47,GEGWADS69,active,ADVA,FSP150,0
10.70.249.157,GEGWADS31,active,ADVA,FSP150,0
10.70.206.120,BOIIDDS43,active,Juniper,QFX5120,0
10.70.178.53,BOIIDDS74,active,ADVA,FSP150,0
10.60.224.21,NYCNYED05,active,,,1
10.60.221.72,BOSMAAG01,active,Arista,7280R,0
10.30.82.237,SEAWADS67,active,ADVA,FSP150,0
10.20.191.154,PITPADS84,active,,,1
10.10.37.33,AUSTXED19,active,Cisco,ISR4431,0
10.10.3.33,DALTXDS86,active,ADVA,FSP150,0
10.70.149.11,BOIIDED04,degraded,,,1
10.10.200.143,OKCOKAG55,active,ADVA,FSP3000,0
10.30.147.146,SFOCAAG81,degraded,ADVA,FSP3000,0
10.10.172.34,DALTXDS91,down,ADVA,FSP150,0
10.20.73.184,PITPAED58,down,,,1
10.70.110.97,GEGWAED66,active,,,1
10.30.22.253,SFOCADS85,active,ADVA,FSP150,0
10.10.91.195,AUSTXED73,active,Juniper,SRX345,0
10.30.68.138,SEAWADS07,active,Juniper,QFX5120,0
10.30.187.186,SFOCAED83,down,,,1
10.70.43.220,GEGWASW75,active,Cisco,Catalyst9300,0
10.40.32.243,MIAFLDS32,active,Juniper,QFX5120,0
10.70.67.250,BOIIDDS09,active,ADVA,FSP150,0
10.60.172.181,BOSMADS80,active,,,1
10.30.137.182,LAXCAED36,active,,,1
10.10.90.64,OKCOKAG27,active,ADVA,FSP3000,0
10.30.132.97,SFOCADS55,active,Juniper,QFX5120,0
10.70.254.136,BOIIDDS41,active,Juniper,QFX5120,0
10.30.173.126,SEAWASW01,active,Cisco,Catalyst9300,0
10.60.213.151,BOSMASW67,active,Cisco,Catalyst9300,0
10.70.177.186,PORORCO83,active,Cisco,NCS540,0
10.30.70.213,SFOCAAG63,degraded,Arista,7280R,0
10.10.213.134,DALTXDS41,active,ADVA,FSP150,0
10.60.144.168,NYCNYDS60,degraded,Juniper,QFX5120,0
10.10.44.49,OKCOKED13,retired,,,1
10.20.158.167,ATLGART39,down,Arista,7050X3,0
10.70.250.86,GEGWASW21,active,Cisco,Catalyst9300,0
10.50.227.119,ABQNMED11,degraded,,,1
10.50.16.246,PHXAZSW56,active,Cisco,Catalyst9300,0
10.70.215.19,BOIIDRT39,active,Arista,7050X3,0
10.70.141.14,PORORED89,active,,,1
10.70.148.123,GEGWADS97,active,Juniper,QFX5120,0
10.50.180.170,ELPTXCO38,degraded,Juniper,MX204,0
10.60.59.244,NYCNYRT89,degraded,Arista,7050X3,0
10.30.202.230,LAXCAAG59,active,ADVA,FSP3000,0
10.60.238.90,NYCNYAG73,active,Arista,7280R,0
10.60.17.13,BOSMAED05,active,RAD,ETX-2,0
10.40.197.217,BNATNAG77,active,Arista,7280R,0
10.70.239.213,GEGWAED88,down,Juniper,SRX345,0
10.70.204.0,PORORED67,active,Cisco,ISR4431,0
10.70.60.226,GEGWAED84,active,RAD,ETX-2,0
10.50.85.234,ELPTXRT42,active,Arista,7050X3,0
10.10.211.251,OKCOKSW35,active,Cisco,Catalyst9300,0
10.20.54.49,PITPASW63,active,Cisco,Catalyst9300,0
10.20.99.159,PITPAED20,active,RAD,ETX-2,0
10.70.137.250,PORORDS22,active,Juniper,QFX5120,0
10.30.165.183,SFOCADS33,down,Juniper,QFX5120,0
10.60.153.131,PHLPART05,active,Arista,7050X3,0
10.70.136.109,GEGWAED99,active,,,1
10.30.191.95,LAXCADS98,active,Juniper,QFX5120,0
10.10.53.155,OKCOKSW76,active,Cisco,Catalyst9300,0
10.60.124.27,PHLPASW14,active,Cisco,Catalyst9300,0
10.20.228.145,PITPASW11,active,Cisco,Catalyst9300,0
10.50.68.110,ELPTXSW34,active,Cisco,Catalyst9300,0
10.20.197.69,CLTNCED48,active,,,1
10.70.191.130,BOIIDSW74,degraded,Cisco,Catalyst9300,0
10.70.50.252,BOIIDDS42,active,ADVA,FSP150,0
10.30.203.206,SFOCADS63,active,Juniper,QFX5120,0
10.10.245.85,OKCOKDS91,active,Juniper,QFX5120,0
10.60.208.117,PHLPAED01,active,,,1
10.20.197.181,CLTNCSW08,active,Cisco,Catalyst9300,0
10.60.148.104,PHLPAED64,active,RAD,ETX-2,0
10.70.153.241,PORORDS72,retired,ADVA,FSP150,0
10.50.40.81,PHXAZED81,degraded,,,1
10.50.39.14,ELPTXDS48,active,ADVA,FSP150,0
10.40.18.198,JAXFLED17,active,RAD,ETX-2,0
10.70.181.193,PORORSW80,degraded,Cisco,Catalyst9300,0
10.20.127.253,CLTNCED35,active,,,1
10.70.13.14,BOIIDSW71,degraded,,,1
10.30.59.111,SEAWART42,degraded,Arista,7050X3,0
10.50.181.233,ABQNMDS38,active,ADVA,FSP150,0
10.10.54.103,DALTXDS74,degraded,ADVA,FSP150,0
10.60.180.242,BOSMAED92,down,,,1
10.40.5.198,JAXFLDS09,active,ADVA,FSP150,0
10.60.84.83,PHLPADS42,degraded,ADVA,FSP150,0
10.30.184.102,LAXCAAG51,active,ADVA,FSP3000,0
10.70.9.127,BOIIDDS16,degraded,ADVA,FSP150,0
10.60.106.18,PHLPAAG70,active,ADVA,FSP3000,0
10.20.213.218,ATLGASW17,active,Cisco,Catalyst9300,0
10.60.117.147,BOSMAED72,active,Juniper,SRX345,0
10.30.5.49,SEAWAAG15,active,ADVA,FSP3000,0
10.60.40.249,BOSMAED50,down,RAD,ETX-2,0
10.60.125.83,BOSMASW94,degraded,Cisco,Catalyst9300,0
10.10.157.75,DALTXAG42,active,ADVA,FSP3000,0
10.40.190.48,JAXFLDS38,retired,Juniper,QFX5120,0
10.60.173.199,BOSMASW08,active,Cisco,Catalyst9300,0
10.20.99.58,CLTNCDS37,active,ADVA,FSP150,0
10.60.83.220,BOSMASW82,active,Cisco,Catalyst9300,0
10.50.75.81,ELPTXSW13,active,Cisco,Catalyst9300,0
10.10.140.37,OKCOKDS93,active,ADVA,FSP150,0
10.10.15.57,OKCOKED01,active,RAD,ETX-2,0
10.40.191.134,MIAFLED50,active,Juniper,SRX345,0
10.20.170.219,ATLGART82,active,Arista,7050X3,0
10.60.213.138,NYCNYDS56,active,ADVA,FSP150,0
10.60.186.81,BOSMART11,degraded,Arista,7050X3,0
10.10.55.104,DALTXED47,active,,,1
10.70.87.110,BOIIDSW76,active,Cisco,Catalyst9300,0
10.20.182.155,PITPAED04,active,Cisco,ISR4431,0
10.60.219.225,PHLPASW87,active,Cisco,Catalyst9300,0
10.60.3.7,NYCNYED67,active,Juniper,SRX345,0
10.30.121.164,LAXCASW57,degraded,Cisco,Catalyst9300,0
10.10.104.165,DALTXAG43,active,ADVA,FSP3000,0
10.70.91.250,BOIIDDS71,active,ADVA,FSP150,0
10.10.116.217,OKCOKED91,active,,,1
10.70.189.252,PORORED09,active,Cisco,ISR4431,0
10.30.202.32,SFOCASW59,active,,,1
10.30.141.80,LAXCAED42,active,Juniper,SRX345,0
10.30.245.193,SFOCADS13,active,ADVA,FSP150,0
10.70.65.189,GEGWASW35,degraded,Cisco,Catalyst9300,0
10.20.87.33,ATLGAAG74,active,Arista,7280R,0
10.30.180.33,SEAWADS47,active,Juniper,QFX5120,0
10.30.170.109,SEAWASW48,active,Cisco,Catalyst9300,0
10.30.68.121,SEAWASW74,down,Cisco,Catalyst9300,0
10.30.159.58,LAXCADS72,active,ADVA,FSP150,0
10.60.93.109,NYCNYED13,active,,,1
10.60.157.130,PHLPAAG23,active,,,1
10.30.184.231,SEAWAED47,active,,,1
10.30.8.181,SEAWASW30,active,Cisco,Catalyst9300,0
10.70.242.198,BOIIDED05,active,,,1
10.40.140.89,BNATNSW83,active,,,1
10.60.242.41,PHLPAED54,active,Juniper,SRX345,0
10.60.91.15,NYCNYED10,degraded,RAD,ETX-2,0
10.60.145.80,BOSMAED30,active,,,1
10.60.58.95,BOSMASW07,down,Cisco,Catalyst9300,0
10.10.126.84,AUSTXDS18,active,,,1
10.30.89.130,LAXCACO62,degraded,Nokia,7750 SR-1,0
10.70.172.174,GEGWAAG61,active,Arista,7280R,0
10.30.250.18,SFOCADS50,retired,Juniper,QFX5120,0
10.70.251.179,PORORCO08,active,Juniper,MX204,0
10.60.41.223,PHLPASW29,active,Cisco,Catalyst9300,0
10.60.93.92,BOSMAED18,active,,,1
10.30.94.209,SFOCAED27,active,,,1
10.30.118.189,SFOCASW53,active,Cisco,Catalyst9300,0
10.20.49.120,PITPASW85,degraded,Cisco,Catalyst9300,0
10.70.207.53,PORORRT78,active,Arista,7050X3,0
10.70.202.71,GEGWAED02,degraded,,,1
10.60.149.163,NYCNYAG75,active,Arista,7280R,0
10.70.240.57,GEGWAED38,down,,,1
10.60.255.237,NYCNYAG11,active,ADVA,FSP3000,0
10.60.121.25,BOSMASW45,active,Cisco,Catalyst9300,0
10.60.250.4,PHLPADS69,down,Juniper,QFX5120,0
10.10.217.206,AUSTXED47,degraded,,,1
10.70.17.96,GEGWADS17,active,Juniper,QFX5120,0
10.20.123.228,ATLGADS44,active,Juniper,QFX5120,0
10.60.94.98,NYCNYCO36,degraded,Cisco,NCS540,0
10.60.173.128,PHLPAED79,degraded,Cisco,ISR4431,0
10.10.130.147,DALTXED50,active,,,1
10.30.122.65,LAXCASW26,down,Cisco,Catalyst9300,0
10.60.155.198,BOSMAED74,degraded,,,1
10.20.100.179,ATLGAED27,active,,,1
10.50.204.48,ELPTXDS61,degraded,ADVA,FSP150,0
10.50.206.123,PHXAZAG30,active,ADVA,FSP3000,0
10.70.194.190,GEGWAED32,active,,,1
10.60.76.203,PHLPADS46,degraded,ADVA,FSP150,0
10.40.187.87,MIAFLCO72,active,Cisco,NCS540,0
10.30.198.85,SEAWAED19,active,,,1
10.60.24.159,NYCNYAG04,active,Arista,7280R,0
10.70.178.207,BOIIDED28,retired,Juniper,SRX345,0
10.70.107.208,PORORSW30,active,Cisco,Catalyst9300,0
10.30.104.137,SEAWASW40,active,Cisco,Catalyst9300,0
10.60.201.175,NYCNYRT84,active,Arista,7050X3,0
10.30.103.193,SFOCASW56,degraded,Cisco,Catalyst9300,0
10.10.40.73,AUSTXSW67,active,Cisco,Catalyst9300,0
10.70.194.18,BOIIDDS72,active,ADVA,FSP150,0
10.70.64.128,PORORSW76,active,Cisco,Catalyst9300,0
10.70.133.222,PORORRT30,active,Arista,7050X3,0
10.40.194.139,JAXFLSW67,degraded,Cisco,Catalyst9300,0
10.60.233.84,BOSMADS50,active,,,1
10.60.217.158,NYCNYAG32,active,Arista,7280R,0
10.30.106.152,SFOCADS31,active,Juniper,QFX5120,0
10.70.252.50,PORORSW37,active,Cisco,Catalyst9300,0
10.70.234.32,GEGWASW85,active,Cisco,Catalyst9300,0
10.60.71.215,PHLPACO61,down,Cisco,NCS540,0
10.30.20.76,SFOCADS76,active,ADVA,FSP150,0
10.60.237.194,NYCNYSW48,active,Cisco,Catalyst9300,0
10.30.152.185,SEAWASW17,degraded,Cisco,Catalyst9300,0
10.60.155.130,BOSMAED57,active,,,1
10.30.89.150,SFOCADS67,retired,Juniper,QFX5120,0
10.60.220.127,PHLPAED35,active,,,1
10.60.41.20,PHLPAED22,active,RAD,ETX-2,0
10.70.148.34,PORORED22,active,,,1
10.10.254.75,OKCOKED37,active,RAD,ETX-2,0
10.10.126.206,AUSTXSW60,active,Cisco,Catalyst9300,0
10.60.132.152,PHLPADS78,active,Juniper,QFX5120,0
10.10.191.184,OKCOKED92,degraded,RAD,ETX-2,0
10.70.201.11,PORORDS87,active,Juniper,QFX5120,0
10.20.209.173,CLTNCDS19,degraded,ADVA,FSP150,0
10.60.55.231,NYCNYED11,active,,,1
10.30.134.224,SEAWAED94,active,Cisco,ISR4431,0
10.60.164.62,NYCNYED55,active,Cisco,ISR4431,0
10.10.109.139,DALTXDS10,active,Juniper,QFX5120,0
10.60.138.182,BOSMART63,active,Arista,7050X3,0
10.60.36.210,NYCNYAG08,active,Arista,7280R,0
10.50.234.58,PHXAZRT65,active,Arista,7050X3,0
10.30.32.131,SFOCADS51,active,Juniper,QFX5120,0
10.30.127.122,SEAWASW02,active,Cisco,Catalyst9300,0
10.50.141.146,ELPTXRT23,active,Arista,7050X3,0
10.70.148.186,BOIIDED22,active,,,1
10.70.237.170,BOIIDED53,active,Cisco,ISR4431,0
10.30.187.157,SEAWAED37,active,Juniper,SRX345,0
10.60.86.41,PHLPAED02,active,Cisco,ISR4431,0
10.10.116.92,AUSTXED96,active,,,1
10.60.29.97,NYCNYDS42,degraded,Juniper,QFX5120,0
10.70.23.134,GEGWADS82,down,Juniper,QFX5120,0
10.40.232.168,MIAFLED27,active,,,1
10.70.216.211,BOIIDAG65,degraded,ADVA,FSP3000,0
10.60.204.202,NYCNYDS45,active,,,1
10.30.89.1,SEAWAED67,active,Cisco,ISR4431,0
10.70.254.247,PORORED76,active,,,1
10.20.250.251,ATLGASW95,active,Cisco,Catalyst9300,0
10.60.0.72,BOSMASW58,active,Cisco,Catalyst9300,0
10.60.80.47,NYCNYRT10,degraded,Arista,7050X3,0
10.70.112.198,BOIIDED49,degraded,,,1
10.30.73.255,SFOCART38,active,Arista,7050X3,0
10.70.129.28,PORORDS48,active,Juniper,QFX5120,0
10.60.115.164,PHLPAED63,down,Juniper,SRX345,0
10.60.246.202,NYCNYSW14,active,Cisco,Catalyst9300,0
10.10.43.147,AUSTXDS13,degraded,Juniper,QFX5120,0
10.10.113.239,OKCOKSW60,down,Cisco,Catalyst9300,0
10.30.247.68,SEAWAED46,active,Cisco,ISR4431,0
10.70.103.116,BOIIDSW58,retired,Cisco,Catalyst9300,0
10.60.53.8,NYCNYED19,active,,,1
10.50.190.106,PHXAZED87,active,,,1
10.30.236.128,SEAWASW67,degraded,Cisco,Catalyst9300,0
10.70.232.93,BOIIDSW61,active,Cisco,Catalyst9300,0
10.10.12.176,AUSTXDS51,active,,,1
10.60.153.66,PHLPASW57,down,Cisco,Catalyst9300,0
10.70.168.0,PORORED82,active,,,1
10.70.212.20,BOIIDRT56,active,Arista,7050X3,0
10.30.106.198,SFOCAED16,active,,,1
10.50.93.23,ELPTXCO24,active,Nokia,7750 SR-1,0
10.60.139.218,NYCNYCO14,active,Juniper,MX204,0
10.60.148.128,BOSMADS56,active,Juniper,QFX5120,0
10.60.155.80,BOSMASW48,active,Cisco,Catalyst9300,0
10.60.174.168,PHLPAAG39,active,ADVA,FSP3000,0
10.60.139.48,BOSMART09,active,Arista,7050X3,0
10.60.36.3,NYCNYSW26,retired,Cisco,Catalyst9300,0
