ipam_asset_id,ipam_ip_address,ipam_fqdn,ipam_region
59,10.60.15.233,NYCNYRT34.northeast.lightspeed.net,northeast
60,10.60.101.206,BOSMADS94.northeast.lightspeed.net,northeast
61,10.60.253.129,BOSMADS31.northeast.lightspeed.net,northeast
62,10.70.108.158,PORORED50.northwest.lightspeed.net,northwest
63,10.20.222.145,CLTNCED59.east.lightspeed.net,east
64,10.70.118.59,PORORAG63.northwest.lightspeed.net,northwest
65,10.60.164.145,PHLPASW16.northeast.lightspeed.net,northeast
66,10.60.88.169,NYCNYED31.northeast.lightspeed.net,northeast
67,10.60.106.79,PHLPACO71.northeast.lightspeed.net,northeast
68,10.50.197.82,PHXAZED46.southwest.lightspeed.net,southwest
69,10.40.216.151,MIAFLDS46.southeast.lightspeed.net,southeast
70,10.30.168.124,SEAWAED69.west.lightspeed.net,west
71,10.70.124.41,BOIIDCO71.northwest.lightspeed.net,northwest
72,10.50.78.250,PHXAZED56.southwest.lightspeed.net,southwest
73,10.70.197.4,GEGWAED37.northwest.lightspeed.net,northwest
74,10.20.111.140,ATLGADS89.east.lightspeed.net,east
75,10.30.87.191,SEAWACO36.west.lightspeed.net,west
76,10.70.59.48,PORORAG62.northwest.lightspeed.net,northwest
77,10.60.156.162,BOSMADS57.northeast.lightspeed.net,northeast
78,10.70.129.104,GEGWACO55.northwest.lightspeed.net,northwest
79,10.30.21.155,SEAWAED67.west.lightspeed.net,west
80,10.50.63.116,ELPTXED49.southwest.lightspeed.net,southwest
81,10.30.183.33,SEAWACO30.west.lightspeed.net,west
82,10.60.178.16,BOSMADS01.northeast.lightspeed.net,northeast
83,10.60.54.159,NYCNYDS56.northeast.lightspeed.net,northeast
84,10.60.220.127,PHLPAED18.northeast.lightspeed.net,northeast
85,10.50.74.58,ABQNMED64.southwest.lightspeed.net,southwest
86,10.40.90.209,BNATNDS49.southeast.lightspeed.net,southeast
87,10.30.109.47,SFOCAED57.west.lightspeed.net,west
88,10.60.59.113,BOSMART75.northeast.lightspeed.net,northeast
89,10.30.198.50,SEAWADS07.west.lightspeed.net,west
90,10.40.255.175,MIAFLRT15.southeast.lightspeed.net,southeast
91,10.70.148.144,BOIIDRT54.northwest.lightspeed.net,northwest
92,10.30.198.44,LAXCADS35.west.lightspeed.net,west
93,10.10.65.200,AUSTXED65.central.lightspeed.net,central
94,10.30.181.208,SEAWADS16.west.lightspeed.net,west
95,10.30.141.3,SEAWART68.west.lightspeed.net,west
96,10.40.15.29,JAXFLED32.southeast.lightspeed.net,southeast
97,10.30.183.225,SEAWADS36.west.lightspeed.net,west
98,10.10.58.15,DALTXAG45.central.lightspeed.net,central
99,10.30.105.177,SEAWASW65.west.lightspeed.net,west
100,10.10.106.208,DALTXSW26.central.lightspeed.net,central
101,10.60.176.89,BOSMAED60.northeast.lightspeed.net,northeast
102,10.10.2.76,OKCOKED79.central.lightspeed.net,central
103,10.10.188.0,DALTXDS76.central.lightspeed.net,central
104,10.70.220.54,GEGWAED04.northwest.lightspeed.net,northwest
105,10.10.48.236,DALTXDS71.central.lightspeed.net,central
106,10.20.114.127,CLTNCRT21.east.lightspeed.net,east
107,10.30.55.209,SEAWADS84.west.lightspeed.net,west
108,10.60.3.34,PHLPAED97.northeast.lightspeed.net,northeast
109,10.30.115.17,LAXCASW39.west.lightspeed.net,west
110,10.30.49.70,LAXCADS88.west.lightspeed.net,west
111,10.70.231.91,GEGWART36.northwest.lightspeed.net,northwest
112,10.70.2.225,GEGWART99.northwest.lightspeed.net,northwest
113,10.60.96.165,NYCNYSW49.northeast.lightspeed.net,northeast
114,10.30.211.38,SFOCART06.west.lightspeed.net,west
115,10.20.46.227,CLTNCCO84.east.lightspeed.net,east
116,10.30.140.170,SFOCAED28.west.lightspeed.net,west
117,10.20.195.174,PITPADS54.east.lightspeed.net,east
118,10.70.111.223,GEGWAED50.northwest.lightspeed.net,northwest
119,10.10.232.49,AUSTXAG43.central.lightspeed.net,central
120,10.60.108.153,PHLPAAG90.northeast.lightspeed.net,northeast
121,10.30.187.223,LAXCASW13.west.lightspeed.net,west
122,10.60.138.251,PHLPADS91.northeast.lightspeed.net,northeast
123,10.30.4.217,SEAWAAG04.west.lightspeed.net,west
124,10.70.165.219,BOIIDSW75.northwest.lightspeed.net,northwest
125,10.10.2.216,OKCOKED67.central.lightspeed.net,central
126,10.50.149.243,PHXAZED66.southwest.lightspeed.net,southwest
127,10.70.208.38,GEGWAED48.northwest.lightspeed.net,northwest
128,10.40.68.126,MIAFLAG27.southeast.lightspeed.net,southeast
129,10.30.230.13,LAXCASW37.west.lightspeed.net,west
130,10.10.140.50,OKCOKDS53.central.lightspeed.net,central
131,10.70.27.25,GEGWAAG83.northwest.lightspeed.net,northwest
132,10.20.177.86,CLTNCDS45.east.lightspeed.net,east
133,10.70.109.98,PORORRT28.northwest.lightspeed.net,northwest
134,10.20.141.64,PITPAAG91.east.lightspeed.net,east
135,10.60.244.173,BOSMAAG70.northeast.lightspeed.net,northeast
136,10.60.158.34,PHLPASW07.northeast.lightspeed.net,northeast
137,10.20.186.161,PITPAED48.east.lightspeed.net,east
138,10.70.80.238,GEGWADS43.northwest.lightspeed.net,northwest
139,10.50.134.16,ABQNMAG06.southwest.lightspeed.net,southwest
140,10.40.216.209,BNATNED31.southeast.lightspeed.net,southeast
141,10.60.179.128,PHLPAED57.northeast.lightspeed.net,northeast
142,10.30.143.206,SFOCASW61.west.lightspeed.net,west
143,10.10.40.177,AUSTXSW51.central.lightspeed.net,central
144,10.50.214.49,ELPTXED88.southwest.lightspeed.net,southwest
145,10.20.135.215,ATLGASW71.east.lightspeed.net,east
146,10.10.113.172,AUSTXCO03.central.lightspeed.net,central
147,10.70.189.104,BOIIDED04.northwest.lightspeed.net,northwest
148,10.40.143.245,BNATNED87.southeast.lightspeed.net,southeast
149,10.70.78.152,BOIIDSW54.northwest.lightspeed.net,northwest
150,10.50.5.74,ABQNMDS80.southwest.lightspeed.net,southwest
151,10.70.11.213,PORORED38.northwest.lightspeed.net,northwest
152,10.30.200.243,LAXCAED20.west.lightspeed.net,west
153,10.60.74.36,PHLPAED06.northeast.lightspeed.net,northeast
154,10.10.221.158,AUSTXSW84.central.lightspeed.net,central
155,10.70.173.196,PORORSW77.northwest.lightspeed.net,northwest
156,10.20.134.81,ATLGAED89.east.lightspeed.net,east
157,10.60.101.15,PHLPADS11.northeast.lightspeed.net,northeast
158,10.60.30.165,NYCNYAG28.northeast.lightspeed.net,northeast
159,10.30.15.200,SEAWART04.west.lightspeed.net,west
160,10.40.89.51,MIAFLDS34.southeast.lightspeed.net,southeast
161,10.70.245.69,BOIIDDS15.northwest.lightspeed.net,northwest
162,10.70.118.137,BOIIDED40.northwest.lightspeed.net,northwest
163,10.70.7.181,GEGWASW39.northwest.lightspeed.net,northwest
164,10.30.222.154,SFOCADS67.west.lightspeed.net,west
165,10.10.146.171,AUSTXSW66.central.lightspeed.net,central
166,10.50.255.52,ABQNMDS54.southwest.lightspeed.net,southwest
167,10.60.136.77,BOSMASW01.northeast.lightspeed.net,northeast
168,10.70.40.13,PORORDS69.northwest.lightspeed.net,northwest
169,10.30.29.17,SFOCAAG58.west.lightspeed.net,west
170,10.70.92.39,GEGWADS69.northwest.lightspeed.net,northwest
171,10.40.28.179,BNATNED21.southeast.lightspeed.net,southeast
172,10.60.163.110,PHLPADS69.northeast.lightspeed.net,northeast
173,10.70.114.61,PORORED57.northwest.lightspeed.net,northwest
174,10.30.27.27,SEAWAED43.west.lightspeed.net,west
175,10.10.28.117,AUSTXDS24.central.lightspeed.net,central
176,10.60.36.222,PHLPADS73.northeast.lightspeed.net,northeast
177,10.50.90.226,ABQNMAG89.southwest.lightspeed.net,southwest
178,10.30.31.74,SEAWAED12.west.lightspeed.net,west
179,10.70.244.99,GEGWADS91.northwest.lightspeed.net,northwest
180,10.10.37.156,OKCOKCO92.central.lightspeed.net,central
181,10.40.74.153,BNATNED66.southeast.lightspeed.net,southeast
182,10.10.156.33,OKCOKAG20.central.lightspeed.net,central
183,10.30.254.112,LAXCADS61.west.lightspeed.net,west
184,10.60.94.243,PHLPASW02.northeast.lightspeed.net,northeast
185,10.70.255.226,GEGWAAG52.northwest.lightspeed.net,northwest
186,10.20.240.251,PITPAED72.east.lightspeed.net,east
187,10.70.27.6,PORORDS29.northwest.lightspeed.net,northwest
188,10.70.7.133,BOIIDCO55.northwest.lightspeed.net,northwest
189,10.40.207.53,JAXFLSW32.southeast.lightspeed.net,southeast
190,10.60.52.169,PHLPAED44.northeast.lightspeed.net,northeast
191,10.30.194.194,SEAWART82.west.lightspeed.net,west
192,10.70.31.149,PORORSW39.northwest.lightspeed.net,northwest
193,10.70.86.209,BOIIDED87.northwest.lightspeed.net,northwest
194,10.70.173.182,BOIIDSW33.northwest.lightspeed.net,northwest
195,10.70.116.28,PORORDS73.northwest.lightspeed.net,northwest
196,10.20.94.113,PITPACO69.east.lightspeed.net,east
197,10.30.234.190,SFOCADS27.west.lightspeed.net,west
198,10.20.231.69,ATLGADS20.east.lightspeed.net,east
199,10.70.141.99,PORORAG44.northwest.lightspeed.net,northwest
200,10.60.28.75,BOSMAAG12.northeast.lightspeed.net,northeast
201,10.60.127.4,BOSMART90.northeast.lightspeed.net,northeast
202,10.60.210.142,BOSMACO86.northeast.lightspeed.net,northeast
203,10.30.129.224,LAXCAED16.west.lightspeed.net,west
204,10.30.172.192,LAXCASW51.west.lightspeed.net,west
205,10.50.110.35,ELPTXDS87.southwest.lightspeed.net,southwest
206,10.60.223.173,BOSMAAG73.northeast.lightspeed.net,northeast
207,10.10.161.38,OKCOKDS07.central.lightspeed.net,central
208,10.30.148.97,SEAWAED25.west.lightspeed.net,west
209,10.40.246.242,JAXFLCO38.southeast.lightspeed.net,southeast
210,10.10.248.27,AUSTXSW71.central.lightspeed.net,central
211,10.30.220.14,SEAWAAG68.west.lightspeed.net,west
212,10.70.205.109,GEGWAED69.northwest.lightspeed.net,northwest
213,10.20.155.60,CLTNCSW77.east.lightspeed.net,east
214,10.30.138.73,SFOCAED64.west.lightspeed.net,west
215,10.30.207.114,SEAWAAG06.west.lightspeed.net,west
216,10.10.87.203,DALTXAG12.central.lightspeed.net,central
217,10.60.138.224,PHLPAED48.northeast.lightspeed.net,northeast
218,10.20.60.178,PITPART30.east.lightspeed.net,east
219,10.40.129.139,MIAFLDS68.southeast.lightspeed.net,southeast
220,10.10.207.244,DALTXAG31.central.lightspeed.net,central
221,10.10.211.1,AUSTXED18.central.lightspeed.net,central
222,10.30.62.108,SEAWAAG73.west.lightspeed.net,west
223,10.30.122.235,SEAWADS77.west.lightspeed.net,west
224,10.30.163.217,SEAWADS57.west.lightspeed.net,west
225,10.10.176.215,OKCOKRT11.central.lightspeed.net,central
226,10.20.244.4,CLTNCED57.east.lightspeed.net,east
227,10.70.62.142,BOIIDAG96.northwest.lightspeed.net,northwest
228,10.10.109.56,OKCOKED82.central.lightspeed.net,central
229,10.70.137.90,PORORED03.northwest.lightspeed.net,northwest
230,10.60.12.223,PHLPART13.northeast.lightspeed.net,northeast
231,10.50.105.47,ELPTXED78.southwest.lightspeed.net,southwest
232,10.30.176.102,LAXCAED29.west.lightspeed.net,west
233,10.70.133.244,GEGWART23.northwest.lightspeed.net,northwest
234,10.70.30.143,PORORED43.northwest.lightspeed.net,northwest
235,10.30.220.150,LAXCART04.west.lightspeed.net,west
236,10.60.230.7,PHLPAAG06.northeast.lightspeed.net,northeast
237,10.70.150.179,PORORDS23.northwest.lightspeed.net,northwest
238,10.40.18.131,JAXFLED81.southeast.lightspeed.net,southeast
239,10.30.173.202,SEAWAED27.west.lightspeed.net,west
240,10.10.37.43,OKCOKCO16.central.lightspeed.net,central
241,10.70.208.85,GEGWASW32.northwest.lightspeed.net,northwest
242,10.20.79.150,CLTNCSW72.east.lightspeed.net,east
243,10.60.169.105,PHLPART20.northeast.lightspeed.net,northeast
244,10.20.30.194,CLTNCDS49.east.lightspeed.net,east
245,10.70.210.125,BOIIDDS78.northwest.lightspeed.net,northwest
246,10.40.87.171,BNATNDS45.southeast.lightspeed.net,southeast
247,10.70.104.18,GEGWAED03.northwest.lightspeed.net,northwest
248,10.20.13.252,CLTNCDS63.east.lightspeed.net,east
249,10.70.217.238,GEGWADS39.northwest.lightspeed.net,northwest
250,10.70.75.53,PORORSW48.northwest.lightspeed.net,northwest
251,10.30.243.132,LAXCADS45.west.lightspeed.net,west
252,10.40.226.126,BNATNDS05.southeast.lightspeed.net,southeast
253,10.30.226.177,SEAWASW50.west.lightspeed.net,west
254,10.50.31.25,PHXAZDS26.southwest.lightspeed.net,southwest
255,10.60.69.156,NYCNYED57.northeast.lightspeed.net,northeast
256,10.20.89.142,ATLGAED11.east.lightspeed.net,east
257,10.30.139.111,SFOCAED36.west.lightspeed.net,west
258,10.10.130.118,DALTXRT55.central.lightspeed.net,central
259,10.30.117.148,SEAWADS94.west.lightspeed.net,west
260,10.60.151.162,BOSMAAG49.northeast.lightspeed.net,northeast
261,10.10.12.196,DALTXED40.central.lightspeed.net,central
262,10.70.149.137,BOIIDED83.northwest.lightspeed.net,northwest
263,10.70.91.206,PORORRT42.northwest.lightspeed.net,northwest
264,10.20.74.93,ATLGASW81.east.lightspeed.net,east
265,10.10.7.47,AUSTXED29.central.lightspeed.net,central
266,10.30.96.248,SFOCACO54.west.lightspeed.net,west
267,10.70.39.15,GEGWASW81.northwest.lightspeed.net,northwest
268,10.40.50.30,JAXFLAG84.southeast.lightspeed.net,southeast
269,10.60.55.39,BOSMAAG62.northeast.lightspeed.net,northeast
270,10.10.12.45,OKCOKSW70.central.lightspeed.net,central
271,10.70.50.187,BOIIDRT17.northwest.lightspeed.net,northwest
272,10.70.8.208,BOIIDRT77.northwest.lightspeed.net,northwest
273,10.70.107.74,BOIIDRT71.northwest.lightspeed.net,northwest
274,10.60.206.63,PHLPADS77.northeast.lightspeed.net,northeast
275,10.50.4.170,ABQNMSW39.southwest.lightspeed.net,southwest
276,10.50.209.98,ABQNMED61.southwest.lightspeed.net,southwest
277,10.10.60.43,DALTXRT43.central.lightspeed.net,central
278,10.20.243.224,CLTNCED46.east.lightspeed.net,east
279,10.60.223.189,PHLPAED60.northeast.lightspeed.net,northeast
280,10.70.22.59,PORORSW71.northwest.lightspeed.net,northwest
281,10.70.6.54,BOIIDAG12.northwest.lightspeed.net,northwest
282,10.10.206.233,OKCOKED78.central.lightspeed.net,central
283,10.30.43.66,SFOCASW94.west.lightspeed.net,west
284,10.70.27.142,PORORDS52.northwest.lightspeed.net,northwest
285,10.20.163.173,ATLGADS07.east.lightspeed.net,east
286,10.70.231.248,BOIIDDS56.northwest.lightspeed.net,northwest
287,10.10.37.124,OKCOKED92.central.lightspeed.net,central
288,10.20.233.75,CLTNCDS20.east.lightspeed.net,east
289,10.10.96.182,OKCOKSW90.central.lightspeed.net,central
290,10.60.234.130,PHLPAED82.northeast.lightspeed.net,northeast
291,10.10.62.103,DALTXDS22.central.lightspeed.net,central
292,10.60.159.43,NYCNYAG78.northeast.lightspeed.net,northeast
293,10.30.13.102,SEAWADS20.west.lightspeed.net,west
294,10.30.146.39,SFOCADS43.west.lightspeed.net,west
295,10.70.233.97,BOIIDRT07.northwest.lightspeed.net,northwest
296,10.70.160.247,BOIIDED64.northwest.lightspeed.net,northwest
297,10.60.130.29,PHLPAED43.northeast.lightspeed.net,northeast
298,10.20.128.181,ATLGAAG58.east.lightspeed.net,east
299,10.70.4.71,BOIIDSW58.northwest.lightspeed.net,northwest
300,10.30.166.53,SEAWASW52.west.lightspeed.net,west
301,10.10.164.250,OKCOKAG65.central.lightspeed.net,central
302,10.30.91.45,LAXCAAG67.west.lightspeed.net,west
303,10.10.220.198,OKCOKSW71.central.lightspeed.net,central
304,10.70.84.58,BOIIDDS81.northwest.lightspeed.net,northwest
305,10.40.14.255,MIAFLED67.southeast.lightspeed.net,southeast
306,10.70.228.78,BOIIDED72.northwest.lightspeed.net,northwest
307,10.10.47.110,AUSTXED59.central.lightspeed.net,central
308,10.20.60.218,CLTNCED80.east.lightspeed.net,east
309,10.70.134.155,GEGWASW07.northwest.lightspeed.net,northwest
310,10.40.121.161,BNATNED30.southeast.lightspeed.net,southeast
311,10.30.47.248,LAXCADS13.west.lightspeed.net,west
312,10.70.157.222,BOIIDSW81.northwest.lightspeed.net,northwest
313,10.30.5.16,SEAWASW42.west.lightspeed.net,west
314,10.30.199.209,SFOCAED17.west.lightspeed.net,west
315,10.60.215.48,BOSMAED77.northeast.lightspeed.net,northeast
316,10.70.84.129,GEGWADS20.northwest.lightspeed.net,northwest
317,10.50.184.40,ELPTXED75.southwest.lightspeed.net,southwest
318,10.10.244.133,DALTXDS39.central.lightspeed.net,central
319,10.70.175.128,GEGWART76.northwest.lightspeed.net,northwest
320,10.50.165.88,ELPTXED61.southwest.lightspeed.net,southwest
321,10.50.151.57,ELPTXSW39.southwest.lightspeed.net,southwest
322,10.30.205.118,SFOCASW32.west.lightspeed.net,west
323,10.20.254.49,PITPADS69.east.lightspeed.net,east
324,10.20.126.97,PITPAED77.east.lightspeed.net,east
325,10.70.196.49,BOIIDED25.northwest.lightspeed.net,northwest
326,10.70.215.143,BOIIDDS99.northwest.lightspeed.net,northwest
327,10.60.128.16,NYCNYED70.northeast.lightspeed.net,northeast
328,10.30.223.42,SEAWASW24.west.lightspeed.net,west
329,10.30.220.238,SEAWADS40.west.lightspeed.net,west
330,10.70.132.83,GEGWADS59.northwest.lightspeed.net,northwest
331,10.20.20.32,PITPART63.east.lightspeed.net,east
332,10.30.22.229,SEAWAED68.west.lightspeed.net,west
333,10.30.248.118,LAXCASW82.west.lightspeed.net,west
334,10.10.95.205,AUSTXED64.central.lightspeed.net,central
335,10.30.176.98,SEAWART40.west.lightspeed.net,west
336,10.50.62.171,ELPTXSW66.southwest.lightspeed.net,southwest
337,10.30.15.30,SFOCACO90.west.lightspeed.net,west
338,10.70.178.98,BOIIDAG43.northwest.lightspeed.net,northwest
339,10.50.207.155,ELPTXED10.southwest.lightspeed.net,southwest
340,10.50.112.119,ELPTXCO76.southwest.lightspeed.net,southwest
341,10.60.200.36,NYCNYCO11.northeast.lightspeed.net,northeast
342,10.20.123.91,ATLGASW11.east.lightspeed.net,east
343,10.30.3.15,SFOCADS46.west.lightspeed.net,west
344,10.60.163.174,NYCNYED60.northeast.lightspeed.net,northeast
345,10.40.100.107,JAXFLSW45.southeast.lightspeed.net,southeast
346,10.70.234.229,BOIIDED60.northwest.lightspeed.net,northwest
347,10.70.110.168,GEGWAED55.northwest.lightspeed.net,northwest
348,10.70.221.96,BOIIDSW78.northwest.lightspeed.net,northwest
349,10.60.43.168,NYCNYED17.northeast.lightspeed.net,northeast
350,10.70.25.41,BOIIDSW56.northwest.lightspeed.net,northwest
351,10.50.20.210,ELPTXCO35.southwest.lightspeed.net,southwest
352,10.50.184.99,ABQNMSW12.southwest.lightspeed.net,southwest
353,10.30.202.0,SFOCACO52.west.lightspeed.net,west
354,10.30.16.237,LAXCACO53.west.lightspeed.net,west
355,10.60.119.157,NYCNYSW01.northeast.lightspeed.net,northeast
356,10.20.203.203,CLTNCED33.east.lightspeed.net,east
357,10.30.11.230,SFOCART03.west.lightspeed.net,west
358,10.10.9.52,AUSTXAG09.central.lightspeed.net,central
359,10.20.5.212,PITPAED78.east.lightspeed.net,east
360,10.30.237.201,SEAWART14.west.lightspeed.net,west
361,10.70.185.115,GEGWART21.northwest.lightspeed.net,northwest
362,10.30.243.194,SEAWAED38.west.lightspeed.net,west
363,10.40.192.86,JAXFLSW51.southeast.lightspeed.net,southeast
364,10.20.79.195,ATLGADS72.east.lightspeed.net,east
365,10.70.122.226,PORORDS90.northwest.lightspeed.net,northwest
366,10.60.41.56,NYCNYED82.northeast.lightspeed.net,northeast
367,10.50.121.30,ELPTXDS08.southwest.lightspeed.net,southwest
368,10.10.47.132,DALTXRT17.central.lightspeed.net,central
369,10.30.241.203,SEAWADS81.west.lightspeed.net,west
370,10.30.26.29,SFOCASW74.west.lightspeed.net,west
371,10.70.118.29,GEGWAED05.northwest.lightspeed.net,northwest
372,10.60.188.123,NYCNYDS16.northeast.lightspeed.net,northeast
373,10.30.94.222,LAXCAED51.west.lightspeed.net,west
374,10.60.131.197,PHLPAED93.northeast.lightspeed.net,northeast
375,10.20.166.124,ATLGAED97.east.lightspeed.net,east
376,10.60.145.150,NYCNYDS06.northeast.lightspeed.net,northeast
377,10.70.80.144,BOIIDED80.northwest.lightspeed.net,northwest
378,10.20.101.38,ATLGAED44.east.lightspeed.net,east
379,10.30.181.75,SFOCAED26.west.lightspeed.net,west
380,10.70.183.254,BOIIDDS37.northwest.lightspeed.net,northwest
381,10.60.50.234,PHLPADS07.northeast.lightspeed.net,northeast
382,10.60.96.240,PHLPAAG63.northeast.lightspeed.net,northeast
383,10.70.73.229,PORORDS58.northwest.lightspeed.net,northwest
384,10.50.49.179,PHXAZDS83.southwest.lightspeed.net,southwest
385,10.60.148.188,NYCNYDS49.northeast.lightspeed.net,northeast
386,10.60.212.139,BOSMASW49.northeast.lightspeed.net,northeast
387,10.60.12.100,BOSMAED44.northeast.lightspeed.net,northeast
388,10.70.22.75,GEGWADS28.northwest.lightspeed.net,northwest
389,10.70.172.30,GEGWASW95.northwest.lightspeed.net,northwest
390,10.60.12.115,PHLPAED89.northeast.lightspeed.net,northeast
391,10.10.78.249,OKCOKED21.central.lightspeed.net,central
392,10.20.130.161,PITPAED29.east.lightspeed.net,east
393,10.70.38.51,PORORAG31.northwest.lightspeed.net,northwest
394,10.20.18.27,PITPADS25.east.lightspeed.net,east
395,10.70.176.105,BOIIDED23.northwest.lightspeed.net,northwest
396,10.70.86.72,GEGWADS18.northwest.lightspeed.net,northwest
397,10.70.76.4,GEGWAED66.northwest.lightspeed.net,northwest
398,10.40.220.107,MIAFLED04.southeast.lightspeed.net,southeast
399,10.70.75.149,PORORAG47.northwest.lightspeed.net,northwest
400,10.60.62.168,BOSMADS16.northeast.lightspeed.net,northeast
401,10.40.26.63,BNATNED15.southeast.lightspeed.net,southeast
402,10.20.133.188,ATLGAED99.east.lightspeed.net,east
403,10.60.248.82,PHLPADS27.northeast.lightspeed.net,northeast
404,10.70.22.19,BOIIDED29.northwest.lightspeed.net,northwest
405,10.50.83.56,PHXAZED99.southwest.lightspeed.net,southwest
406,10.70.25.179,PORORCO61.northwest.lightspeed.net,northwest
407,10.10.98.40,DALTXDS44.central.lightspeed.net,central
408,10.30.111.33,SEAWASW22.west.lightspeed.net,west
409,10.30.79.222,SEAWASW74.west.lightspeed.net,west
410,10.30.121.96,LAXCAED52.west.lightspeed.net,west
411,10.10.251.144,OKCOKED19.central.lightspeed.net,central
412,10.50.183.239,ABQNMED69.southwest.lightspeed.net,southwest
413,10.10.107.91,OKCOKSW62.central.lightspeed.net,central
414,10.70.187.83,PORORDS32.northwest.lightspeed.net,northwest
415,10.70.41.144,BOIIDDS66.northwest.lightspeed.net,northwest
416,10.10.3.171,AUSTXRT93.central.lightspeed.net,central
417,10.40.129.231,BNATNSW03.southeast.lightspeed.net,southeast
418,10.30.118.180,LAXCART50.west.lightspeed.net,west
419,10.20.122.224,CLTNCSW07.east.lightspeed.net,east
420,10.30.149.84,SEAWAED58.west.lightspeed.net,west
421,10.70.237.110,BOIIDSW06.northwest.lightspeed.net,northwest
422,10.30.151.176,SFOCADS35.west.lightspeed.net,west
423,10.70.163.11,BOIIDDS65.northwest.lightspeed.net,northwest
424,10.30.230.146,SEAWAAG44.west.lightspeed.net,west
425,10.70.115.242,BOIIDSW80.northwest.lightspeed.net,northwest
426,10.60.57.69,NYCNYSW65.northeast.lightspeed.net,northeast
427,10.70.169.226,PORORAG49.northwest.lightspeed.net,northwest
428,10.20.27.160,ATLGAED45.east.lightspeed.net,east
429,10.30.9.176,SFOCADS01.west.lightspeed.net,west
430,10.70.151.40,BOIIDED74.northwest.lightspeed.net,northwest
