ip_address,hostname,fqdn,vendor,model,region,missing_in_inventory,missing_in_ipam
56.218.112.184,DALTXdist-xebztfnnky,DALTXdist-xebztfnnky.DAL.lightspeed.net,Juniper,QFX5120,DAL,0,0
158.191.38.244,PITPAcore-dnxsmerdyq,PITPAcore-dnxsmerdyq.PIT.lightspeed.net,Cisco,NCS540,PIT,0,0
150.208.35.167,NYCNYagg-pberskvcvs,NYCNYagg-pberskvcvs.NYC.lightspeed.net,Arista,7280R,NYC,0,0
158.120.243.113,ATLGAedge-oycejcupjk,ATLGAedge-oycejcupjk.ATL.lightspeed.net,Cisco,ISR4431,ATL,0,0
134.36.157.208,CLTNCdist-jkcarvecum,CLTNCdist-jkcarvecum.CLT.lightspeed.net,Juniper,QFX5120,CLT,0,0
53.20.205.217,BOSMAdist-kvqoctsiae,BOSMAdist-kvqoctsiae.BOS.lightspeed.net,Juniper,QFX5120,BOS,0,0
20.216.221.243,BOSMAsw-vslbtgjgoa,BOSMAsw-vslbtgjgoa.BOS.lightspeed.net,Cisco,Catalyst9300,BOS,0,0
58.149.221.82,AUSTXrtr-ixfelepths,AUSTXrtr-ixfelepths.AUS.lightspeed.net,Arista,7050X3,AUS,0,0
14.23.87.144,DALTXdist-lujenfwjkx,DALTXdist-lujenfwjkx.DAL.lightspeed.net,ADVA,FSP150,DAL,0,0
108.254.26.215,ABQNMrtr-piyeorghpy,ABQNMrtr-piyeorghpy.ABQ.lightspeed.net,Arista,7050X3,ABQ,0,0
21.136.231.142,PHLPAsw-bklbjkvzjf,PHLPAsw-bklbjkvzjf.PHL.lightspeed.net,Cisco,Catalyst9300,PHL,0,0
189.67.148.103,PITPAcore-fubyxfnrkf,PITPAcore-fubyxfnrkf.PIT.lightspeed.net,Cisco,NCS540,PIT,0,0
20.123.176.55,BNATNedge-suprqaqdnw,BNATNedge-suprqaqdnw.BNA.lightspeed.net,Juniper,SRX345,BNA,1,0
17.79.71.98,BOIIDrtr-qbarsqxubf,BOIIDrtr-qbarsqxubf.BOI.lightspeed.net,Arista,7050X3,BOI,0,0
159.52.16.132,SEAWAdist-hqukncvfmy,SEAWAdist-hqukncvfmy.SEA.lightspeed.net,Juniper,QFX5120,SEA,0,0
201.197.196.149,PHLPAcore-qskxpzulqu,PHLPAcore-qskxpzulqu.PHL.lightspeed.net,Nokia,7750 SR-1,PHL,0,0
190.64.159.121,JAXFLedge-twqvskojrv,JAXFLedge-twqvskojrv.JAX.lightspeed.net,Cisco,ISR4431,JAX,1,0
107.233.204.55,ELPTXcore-jyywkorywa,ELPTXcore-jyywkorywa.ELP.lightspeed.net,Juniper,MX204,ELP,0,0
176.119.217.98,PHLPAcore-ydnkyrvdvq,PHLPAcore-ydnkyrvdvq.PHL.lightspeed.net,Cisco,NCS540,PHL,0,0
94.48.209.176,LAXCAsw-lszclsslmw,LAXCAsw-lszclsslmw.LAX.lightspeed.net,Cisco,Catalyst9300,LAX,0,0
184.62.46.234,SEAWAdist-kjsahegtoy,SEAWAdist-kjsahegtoy.SEA.lightspeed.net,ADVA,FSP150,SEA,0,0
220.248.148.182,CLTNCcore-stzvyztsko,CLTNCcore-stzvyztsko.CLT.lightspeed.net,Juniper,MX204,CLT,0,0
205.61.160.27,BOSMAagg-wbixujjxwg,BOSMAagg-wbixujjxwg.BOS.lightspeed.net,ADVA,FSP3000,BOS,0,0
124.11.208.225,PITPAedge-dgorbraaod,PITPAedge-dgorbraaod.PIT.lightspeed.net,RAD,ETX-2,PIT,0,0
18.111.196.90,JAXFLcore-wzoulnzzol,JAXFLcore-wzoulnzzol.JAX.lightspeed.net,Juniper,MX204,JAX,0,0
5.101.233.147,PITPAsw-plkvxfyfkx,PITPAsw-plkvxfyfkx.PIT.lightspeed.net,Cisco,Catalyst9300,PIT,0,0
46.6.165.14,BOIIDedge-qyzdoggklj,BOIIDedge-qyzdoggklj.BOI.lightspeed.net,Cisco,ISR4431,BOI,1,0
60.236.110.232,SFOCAcore-pyuytuaewc,SFOCAcore-pyuytuaewc.SFO.lightspeed.net,Nokia,7750 SR-1,SFO,0,0
138.147.43.57,MIAFLdist-vkktqxnmti,MIAFLdist-vkktqxnmti.MIA.lightspeed.net,Juniper,QFX5120,MIA,0,0
75.64.61.135,PORORcore-gsnnowmvxc,PORORcore-gsnnowmvxc.POR.lightspeed.net,Juniper,MX204,POR,0,0
36.64.156.219,SFOCAcore-lnbibmfwtk,SFOCAcore-lnbibmfwtk.SFO.lightspeed.net,Cisco,NCS540,SFO,0,0
194.35.98.10,CLTNCdist-ijmqcksyzw,CLTNCdist-ijmqcksyzw.CLT.lightspeed.net,Juniper,QFX5120,CLT,0,0
208.54.105.70,AUSTXagg-wzkkzblifq,AUSTXagg-wzkkzblifq.AUS.lightspeed.net,Arista,7280R,AUS,0,0
22.161.125.22,LAXCAsw-uzcwbhpcgr,LAXCAsw-uzcwbhpcgr.LAX.lightspeed.net,Cisco,Catalyst9300,LAX,0,0
198.88.32.117,PITPAedge-lagscuspnz,PITPAedge-lagscuspnz.PIT.lightspeed.net,RAD,ETX-2,PIT,0,0
148.186.113.198,LAXCAedge-uqzqevlgrj,LAXCAedge-uqzqevlgrj.LAX.lightspeed.net,RAD,ETX-2,LAX,0,0
150.239.60.8,PHXAZedge-xumhchhkyb,PHXAZedge-xumhchhkyb.PHX.lightspeed.net,Cisco,ISR4431,PHX,0,0
111.12.229.87,GEGWAdist-imwnlkvlkt,GEGWAdist-imwnlkvlkt.GEG.lightspeed.net,Juniper,QFX5120,GEG,0,0
10.100.35.239,JAXFLdist-rxwwgewrcp,JAXFLdist-rxwwgewrcp.JAX.lightspeed.net,ADVA,FSP150,JAX,0,0
18.0.233.162,BOIIDsw-mvxnyqzjco,BOIIDsw-mvxnyqzjco.BOI.lightspeed.net,Cisco,Catalyst9300,BOI,0,0
47.53.27.52,BOIIDdist-kfgrnpfmni,BOIIDdist-kfgrnpfmni.BOI.lightspeed.net,ADVA,FSP150,BOI,0,0
177.216.239.58,OKCOKagg-eoqlgwgtaf,OKCOKagg-eoqlgwgtaf.OKC.lightspeed.net,Arista,7280R,OKC,0,0
109.116.165.28,SEAWArtr-dkzksxoirs,SEAWArtr-dkzksxoirs.SEA.lightspeed.net,Arista,7050X3,SEA,0,0
168.157.80.20,OKCOKdist-zmfcudwjyi,OKCOKdist-zmfcudwjyi.OKC.lightspeed.net,ADVA,FSP150,OKC,0,0
83.146.40.24,PORORedge-lbrjyohpmq,PORORedge-lbrjyohpmq.POR.lightspeed.net,Cisco,ISR4431,POR,1,0
148.18.40.68,NYCNYagg-dilhxosqws,NYCNYagg-dilhxosqws.NYC.lightspeed.net,Arista,7280R,NYC,0,0
50.255.38.200,SEAWAagg-myfqocmnnf,SEAWAagg-myfqocmnnf.SEA.lightspeed.net,ADVA,FSP3000,SEA,0,0
128.194.23.230,DALTXdist-korykiajay,DALTXdist-korykiajay.DAL.lightspeed.net,Juniper,QFX5120,DAL,0,0
123.112.221.246,PORORrtr-xefjanhrwm,PORORrtr-xefjanhrwm.POR.lightspeed.net,Arista,7050X3,POR,0,0
72.7.207.19,PHLPAcore-eylvvhfmck,PHLPAcore-eylvvhfmck.PHL.lightspeed.net,Juniper,MX204,PHL,0,0
191.96.245.242,PHXAZedge-otpnyrwons,PHXAZedge-otpnyrwons.PHX.lightspeed.net,Juniper,SRX345,PHX,1,0
103.10.162.161,PORORcore-liobqayzqy,PORORcore-liobqayzqy.POR.lightspeed.net,Cisco,NCS540,POR,0,0
107.249.242.100,SFOCAagg-kwbaycrpnu,SFOCAagg-kwbaycrpnu.SFO.lightspeed.net,ADVA,FSP3000,SFO,0,0
135.199.26.138,PORORrtr-zvayfbecod,PORORrtr-zvayfbecod.POR.lightspeed.net,Arista,7050X3,POR,0,0
6.231.191.65,SEAWArtr-vbtqxecznb,SEAWArtr-vbtqxecznb.SEA.lightspeed.net,Arista,7050X3,SEA,0,0
37.68.120.9,PHLPAsw-ioqcmubudx,PHLPAsw-ioqcmubudx.PHL.lightspeed.net,Cisco,Catalyst9300,PHL,0,0
220.131.102.194,ABQNMsw-wqlurrjiuq,ABQNMsw-wqlurrjiuq.ABQ.lightspeed.net,Cisco,Catalyst9300,ABQ,0,0
89.253.236.241,SEAWAcore-mqeonpgiwp,SEAWAcore-mqeonpgiwp.SEA.lightspeed.net,Nokia,7750 SR-1,SEA,0,0
105.86.144.129,MIAFLcore-vxrwwlasum,MIAFLcore-vxrwwlasum.MIA.lightspeed.net,Nokia,7750 SR-1,MIA,0,0
175.229.198.187,LAXCAdist-bbctkigsgo,LAXCAdist-bbctkigsgo.LAX.lightspeed.net,Juniper,QFX5120,LAX,0,0
210.230.239.243,PHLPArtr-uysioavlrb,PHLPArtr-uysioavlrb.PHL.lightspeed.net,Arista,7050X3,PHL,0,0
142.206.183.128,SFOCAagg-dbdyapjwus,SFOCAagg-dbdyapjwus.SFO.lightspeed.net,ADVA,FSP3000,SFO,0,0
22.246.3.26,OKCOKedge-brxttqrhbi,OKCOKedge-brxttqrhbi.OKC.lightspeed.net,Juniper,SRX345,OKC,0,0
47.99.133.65,ELPTXrtr-ktgysjzefg,ELPTXrtr-ktgysjzefg.ELP.lightspeed.net,Arista,7050X3,ELP,0,0
78.211.72.55,BOIIDagg-vtpbqisbgc,BOIIDagg-vtpbqisbgc.BOI.lightspeed.net,Arista,7280R,BOI,0,0
6.191.99.162,ELPTXdist-bqtibglhgu,ELPTXdist-bqtibglhgu.ELP.lightspeed.net,ADVA,FSP150,ELP,0,0
211.194.227.136,OKCOKsw-xyafyxwyte,OKCOKsw-xyafyxwyte.OKC.lightspeed.net,Cisco,Catalyst9300,OKC,0,0
145.76.214.12,JAXFLagg-pozegthpyl,JAXFLagg-pozegthpyl.JAX.lightspeed.net,Arista,7280R,JAX,0,0
148.242.115.230,SFOCAedge-vyktfzoxcq,SFOCAedge-vyktfzoxcq.SFO.lightspeed.net,Cisco,ISR4431,SFO,1,0
85.92.44.167,NYCNYdist-ovjmjburvu,NYCNYdist-ovjmjburvu.NYC.lightspeed.net,Juniper,QFX5120,NYC,0,0
37.140.56.178,ELPTXdist-ecwdcpcvin,ELPTXdist-ecwdcpcvin.ELP.lightspeed.net,ADVA,FSP150,ELP,0,0
112.60.163.169,MIAFLsw-iogpunotbg,MIAFLsw-iogpunotbg.MIA.lightspeed.net,Cisco,Catalyst9300,MIA,0,0
1.53.100.232,SEAWAedge-sstwxeeood,SEAWAedge-sstwxeeood.SEA.lightspeed.net,RAD,ETX-2,SEA,1,0
144.35.76.74,PHXAZdist-ypvnazkfhu,PHXAZdist-ypvnazkfhu.PHX.lightspeed.net,ADVA,FSP150,PHX,0,0
186.170.55.244,JAXFLagg-apnotleskl,JAXFLagg-apnotleskl.JAX.lightspeed.net,Arista,7280R,JAX,0,0
158.228.77.24,PITPArtr-fnvudpnpzc,PITPArtr-fnvudpnpzc.PIT.lightspeed.net,Arista,7050X3,PIT,0,0
48.211.56.89,CLTNCdist-vflkngamta,CLTNCdist-vflkngamta.CLT.lightspeed.net,ADVA,FSP150,CLT,0,0
64.75.3.120,GEGWAedge-yvdwwiqwlg,GEGWAedge-yvdwwiqwlg.GEG.lightspeed.net,Cisco,ISR4431,GEG,1,0
142.210.225.20,DALTXagg-hwpnsrlkyo,DALTXagg-hwpnsrlkyo.DAL.lightspeed.net,ADVA,FSP3000,DAL,0,0
159.228.31.47,ELPTXdist-zlewwqfmeh,ELPTXdist-zlewwqfmeh.ELP.lightspeed.net,Juniper,QFX5120,ELP,0,0
14.117.137.253,BOSMAedge-fgogsfxzxx,BOSMAedge-fgogsfxzxx.BOS.lightspeed.net,Juniper,SRX345,BOS,1,0
83.43.209.130,JAXFLrtr-qmbxvzbpzr,JAXFLrtr-qmbxvzbpzr.JAX.lightspeed.net,Arista,7050X3,JAX,0,0
198.131.149.95,CLTNCsw-nnmmtfutns,CLTNCsw-nnmmtfutns.CLT.lightspeed.net,Cisco,Catalyst9300,CLT,0,0
141.89.199.35,JAXFLdist-iwwhhhtzxg,JAXFLdist-iwwhhhtzxg.JAX.lightspeed.net,Juniper,QFX5120,JAX,0,0
3.228.165.26,NYCNYcore-eijydtndll,NYCNYcore-eijydtndll.NYC.lightspeed.net,Juniper,MX204,NYC,0,0
191.26.168.251,ELPTXedge-swntyruyep,ELPTXedge-swntyruyep.ELP.lightspeed.net,Cisco,ISR4431,ELP,1,0
158.194.133.97,OKCOKagg-irhehmhlyw,OKCOKagg-irhehmhlyw.OKC.lightspeed.net,ADVA,FSP3000,OKC,0,0
107.87.93.25,PHXAZagg-jnhxysqrze,PHXAZagg-jnhxysqrze.PHX.lightspeed.net,ADVA,FSP3000,PHX,0,0
126.193.176.15,SEAWAsw-vurvdyhxew,SEAWAsw-vurvdyhxew.SEA.lightspeed.net,Cisco,Catalyst9300,SEA,0,0
132.49.215.46,SEAWAagg-fzpwwqteqg,SEAWAagg-fzpwwqteqg.SEA.lightspeed.net,ADVA,FSP3000,SEA,0,0
196.56.31.74,PHLPAcore-erfqubjxkc,PHLPAcore-erfqubjxkc.PHL.lightspeed.net,Juniper,MX204,PHL,0,0
75.99.149.185,PORORsw-nsjqnhfaqw,PORORsw-nsjqnhfaqw.POR.lightspeed.net,Cisco,Catalyst9300,POR,0,0
78.99.19.183,SEAWAdist-xgotgputpr,SEAWAdist-xgotgputpr.SEA.lightspeed.net,ADVA,FSP150,SEA,0,0
135.49.224.180,DALTXdist-nilinanlwt,DALTXdist-nilinanlwt.DAL.lightspeed.net,ADVA,FSP150,DAL,0,0
194.87.154.3,JAXFLdist-wlevqpcgez,JAXFLdist-wlevqpcgez.JAX.lightspeed.net,ADVA,FSP150,JAX,0,0
100.30.75.2,ABQNMcore-cmifyksfdx,ABQNMcore-cmifyksfdx.ABQ.lightspeed.net,Nokia,7750 SR-1,ABQ,0,0
181.219.34.68,SFOCAedge-fojvhlikrn,SFOCAedge-fojvhlikrn.SFO.lightspeed.net,Cisco,ISR4431,SFO,0,0
139.135.163.149,BOSMAsw-skisyahhkf,BOSMAsw-skisyahhkf.BOS.lightspeed.net,Cisco,Catalyst9300,BOS,0,0
189.234.116.91,AUSTXrtr-hqwidrsugu,AUSTXrtr-hqwidrsugu.AUS.lightspeed.net,Arista,7050X3,AUS,0,0
67.59.221.206,BOIIDedge-thieuoqsik,BOIIDedge-thieuoqsik.BOI.lightspeed.net,Juniper,SRX345,BOI,1,0
30.32.46.229,MIAFLsw-fydljbttyv,MIAFLsw-fydljbttyv.MIA.lightspeed.net,Cisco,Catalyst9300,MIA,0,0
154.174.153.185,JAXFLcore-qtynbbxrzk,JAXFLcore-qtynbbxrzk.JAX.lightspeed.net,Cisco,NCS540,JAX,0,0
143.29.87.193,MIAFLagg-kwezzjilps,MIAFLagg-kwezzjilps.MIA.lightspeed.net,Arista,7280R,MIA,0,0
205.105.30.5,PHLPArtr-emtxdfzgdr,PHLPArtr-emtxdfzgdr.PHL.lightspeed.net,Arista,7050X3,PHL,0,0
107.184.32.139,CLTNCagg-kkmchfkart,CLTNCagg-kkmchfkart.CLT.lightspeed.net,Arista,7280R,CLT,0,0
139.118.211.172,ABQNMagg-hjzfavggwt,ABQNMagg-hjzfavggwt.ABQ.lightspeed.net,ADVA,FSP3000,ABQ,0,0
129.218.219.173,BNATNedge-iuwveebmom,BNATNedge-iuwveebmom.BNA.lightspeed.net,Juniper,SRX345,BNA,1,0
96.67.10.10,PITPAsw-rrwbcpmhej,PITPAsw-rrwbcpmhej.PIT.lightspeed.net,Cisco,Catalyst9300,PIT,0,0
214.13.249.111,PHXAZsw-cawtuekwxq,PHXAZsw-cawtuekwxq.PHX.lightspeed.net,Cisco,Catalyst9300,PHX,0,0
55.107.175.59,CLTNCrtr-mizeoagkfb,CLTNCrtr-mizeoagkfb.CLT.lightspeed.net,Arista,7050X3,CLT,0,0
184.143.137.218,BOSMAdist-ytonnxxcnr,BOSMAdist-ytonnxxcnr.BOS.lightspeed.net,Juniper,QFX5120,BOS,0,0
94.152.173.29,ATLGArtr-kfdqzqyzqw,ATLGArtr-kfdqzqyzqw.ATL.lightspeed.net,Arista,7050X3,ATL,0,0
156.71.148.196,PHLPArtr-dcmlzgfjpu,PHLPArtr-dcmlzgfjpu.PHL.lightspeed.net,Arista,7050X3,PHL,0,0
200.221.208.219,PHXAZcore-kzmncyurfy,PHXAZcore-kzmncyurfy.PHX.lightspeed.net,Cisco,NCS540,PHX,0,0
129.160.214.88,NYCNYedge-kqntmqknyg,NYCNYedge-kqntmqknyg.NYC.lightspeed.net,Juniper,SRX345,NYC,1,0
28.255.190.177,ATLGAedge-zpxxehblza,ATLGAedge-zpxxehblza.ATL.lightspeed.net,RAD,ETX-2,ATL,1,0
115.213.47.52,BOIIDagg-hzviibcpng,BOIIDagg-hzviibcpng.BOI.lightspeed.net,Arista,7280R,BOI,0,0
214.158.54.255,SFOCAsw-phplprywqx,SFOCAsw-phplprywqx.SFO.lightspeed.net,Cisco,Catalyst9300,SFO,0,0
27.147.13.42,ELPTXcore-aqpuvokvsa,ELPTXcore-aqpuvokvsa.ELP.lightspeed.net,Cisco,NCS540,ELP,0,0
164.207.227.49,PORORsw-rhazdjfiaw,PORORsw-rhazdjfiaw.POR.lightspeed.net,Cisco,Catalyst9300,POR,0,0
137.20.190.183,MIAFLrtr-okbpdyclqb,MIAFLrtr-okbpdyclqb.MIA.lightspeed.net,Arista,7050X3,MIA,0,0
193.180.75.195,PHXAZdist-lthjxnwpio,PHXAZdist-lthjxnwpio.PHX.lightspeed.net,Juniper,QFX5120,PHX,0,0
58.59.169.211,ATLGAcore-mgdshtpvuc,ATLGAcore-mgdshtpvuc.ATL.lightspeed.net,Nokia,7750 SR-1,ATL,0,0
65.137.186.69,JAXFLrtr-mmnerwlxbl,JAXFLrtr-mmnerwlxbl.JAX.lightspeed.net,Arista,7050X3,JAX,0,0
56.248.248.24,AUSTXedge-suaphqhvqe,AUSTXedge-suaphqhvqe.AUS.lightspeed.net,Juniper,SRX345,AUS,1,0
137.103.113.112,LAXCAdist-nqfdtrvfxz,LAXCAdist-nqfdtrvfxz.LAX.lightspeed.net,Juniper,QFX5120,LAX,0,0
170.134.102.156,SFOCAedge-mtairxbgdw,SFOCAedge-mtairxbgdw.SFO.lightspeed.net,Juniper,SRX345,SFO,1,0
59.86.89.88,BNATNedge-bmvwtvihcm,BNATNedge-bmvwtvihcm.BNA.lightspeed.net,Juniper,SRX345,BNA,1,0
93.116.5.64,GEGWAagg-bixsmzzmzw,GEGWAagg-bixsmzzmzw.GEG.lightspeed.net,ADVA,FSP3000,GEG,0,0
223.205.143.122,DALTXdist-sqgvwomfki,DALTXdist-sqgvwomfki.DAL.lightspeed.net,ADVA,FSP150,DAL,0,0
148.222.135.18,BNATNsw-lqlapjgbzj,BNATNsw-lqlapjgbzj.BNA.lightspeed.net,Cisco,Catalyst9300,BNA,0,0
133.114.119.70,OKCOKdist-yezezohmgz,OKCOKdist-yezezohmgz.OKC.lightspeed.net,ADVA,FSP150,OKC,0,0
84.10.96.101,BNATNdist-vcbfilvpcs,BNATNdist-vcbfilvpcs.BNA.lightspeed.net,Juniper,QFX5120,BNA,0,0
200.176.187.81,ATLGAsw-dunzkjsbps,ATLGAsw-dunzkjsbps.ATL.lightspeed.net,Cisco,Catalyst9300,ATL,0,0
188.77.114.50,ELPTXrtr-wymwfuydix,ELPTXrtr-wymwfuydix.ELP.lightspeed.net,Arista,7050X3,ELP,0,0
175.83.211.1,MIAFLagg-ajmdlyezgn,MIAFLagg-ajmdlyezgn.MIA.lightspeed.net,Arista,7280R,MIA,0,0
134.231.82.90,SEAWArtr-mwppzrgmfr,SEAWArtr-mwppzrgmfr.SEA.lightspeed.net,Arista,7050X3,SEA,0,0
215.162.105.141,PHXAZagg-nutglskxmr,PHXAZagg-nutglskxmr.PHX.lightspeed.net,Arista,7280R,PHX,0,0
