inv_asset_id,inv_ip_address,inv_hostname,inv_vendor,inv_model
64,10.30.87.191,SEAWACO36,Cisco,NCS540
65,10.70.59.48,PORORAG62,ADVA,FSP3000
66,10.60.156.162,BOSMADS57,Juniper,QFX5120
67,10.70.129.104,GEGWACO55,Nokia,7750 SR-1
68,10.30.21.155,SEAWAED67,Cisco,ISR4431
69,10.30.183.33,SEAWACO30,Cisco,NCS540
70,10.60.178.16,BOSMADS01,ADVA,FSP150
71,10.60.54.159,NYCNYDS56,ADVA,FSP150
72,10.40.90.209,BNATNDS49,ADVA,FSP150
73,10.60.59.113,BOSMART75,Arista,7050X3
74,10.30.198.50,SEAWADS07,Juniper,QFX5120
75,10.40.255.175,MIAFLRT15,Arista,7050X3
76,10.70.148.144,BOIIDRT54,Arista,7050X3
77,10.30.198.44,LAXCADS35,ADVA,FSP150
78,10.10.65.200,AUSTXED65,RAD,ETX-2
79,10.30.181.208,SEAWADS16,Juniper,QFX5120
80,10.30.141.3,SEAWART68,Arista,7050X3
81,10.30.183.225,SEAWADS36,Juniper,QFX5120
82,10.10.58.15,DALTXAG45,ADVA,FSP3000
83,10.30.105.177,SEAWASW65,Cisco,Catalyst9300
84,10.10.106.208,DALTXSW26,Cisco,Catalyst9300
85,10.60.99.8,BOSMAED97,Cisco,ISR4431
86,10.60.176.89,BOSMAED60,RAD,ETX-2
87,10.10.188.0,DALTXDS76,Juniper,QFX5120
88,10.60.138.112,NYCNYDS80,ADVA,FSP150
89,10.10.48.236,DALTXDS71,ADVA,FSP150
90,10.20.114.127,CLTNCRT21,Arista,7050X3
91,10.30.55.209,SEAWADS84,ADVA,FSP150
92,10.60.3.34,PHLPAED97,RAD,ETX-2
93,10.30.115.17,LAXCASW39,Cisco,Catalyst9300
94,10.30.49.70,LAXCADS88,ADVA,FSP150
95,10.30.209.178,LAXCACO67,Cisco,NCS540
96,10.70.231.91,GEGWART36,Arista,7050X3
97,10.70.2.225,GEGWART99,Arista,7050X3
98,10.60.96.165,NYCNYSW49,Cisco,Catalyst9300
99,10.30.211.38,SFOCART06,Arista,7050X3
100,10.20.46.227,CLTNCCO84,Juniper,MX204
101,10.20.195.174,PITPADS54,Juniper,QFX5120
102,10.70.111.223,GEGWAED50,Juniper,SRX345
103,10.10.232.49,AUSTXAG43,ADVA,FSP3000
104,10.60.108.153,PHLPAAG90,Arista,7280R
105,10.30.187.223,LAXCASW13,Cisco,Catalyst9300
106,10.70.234.162,BOIIDDS40,ADVA,FSP150
107,10.60.138.251,PHLPADS91,ADVA,FSP150
108,10.30.4.217,SEAWAAG04,Arista,7280R
109,10.70.165.219,BOIIDSW75,Cisco,Catalyst9300
110,10.70.208.38,GEGWAED48,Juniper,SRX345
111,10.40.68.126,MIAFLAG27,Arista,7280R
112,10.30.230.13,LAXCASW37,Cisco,Catalyst9300
113,10.10.140.50,OKCOKDS53,Juniper,QFX5120
114,10.70.27.25,GEGWAAG83,ADVA,FSP3000
115,10.20.177.86,CLTNCDS45,Juniper,QFX5120
116,10.70.109.98,PORORRT28,Arista,7050X3
117,10.20.141.64,PITPAAG91,ADVA,FSP3000
118,10.60.244.173,BOSMAAG70,Arista,7280R
119,10.60.158.34,PHLPASW07,Cisco,Catalyst9300
120,10.70.80.238,GEGWADS43,ADVA,FSP150
121,10.50.134.16,ABQNMAG06,ADVA,FSP3000
122,10.40.216.209,BNATNED31,Juniper,SRX345
123,10.30.242.219,SFOCADS15,Juniper,QFX5120
124,10.60.179.128,PHLPAED57,RAD,ETX-2
125,10.30.143.206,SFOCASW61,Cisco,Catalyst9300
126,10.10.40.177,AUSTXSW51,Cisco,Catalyst9300
127,10.50.214.49,ELPTXED88,RAD,ETX-2
128,10.20.135.215,ATLGASW71,Cisco,Catalyst9300
129,10.10.113.172,AUSTXCO03,Juniper,MX204
130,10.70.78.152,BOIIDSW54,Cisco,Catalyst9300
131,10.30.95.199,SEAWADS14,Juniper,QFX5120
132,10.50.5.74,ABQNMDS80,ADVA,FSP150
133,10.60.74.36,PHLPAED06,Cisco,ISR4431
134,10.10.221.158,AUSTXSW84,Cisco,Catalyst9300
135,10.70.173.196,PORORSW77,Cisco,Catalyst9300
136,10.20.134.81,ATLGAED89,RAD,ETX-2
137,10.60.101.15,PHLPADS11,Juniper,QFX5120
138,10.60.30.165,NYCNYAG28,Arista,7280R
139,10.30.15.200,SEAWART04,Arista,7050X3
140,10.40.89.51,MIAFLDS34,Juniper,QFX5120
141,10.60.37.68,PHLPADS71,ADVA,FSP150
142,10.70.245.69,BOIIDDS15,Juniper,QFX5120
143,10.70.118.137,BOIIDED40,RAD,ETX-2
144,10.70.7.181,GEGWASW39,Cisco,Catalyst9300
145,10.30.222.154,SFOCADS67,ADVA,FSP150
146,10.10.146.171,AUSTXSW66,Cisco,Catalyst9300
147,10.50.255.52,ABQNMDS54,Juniper,QFX5120
148,10.60.136.77,BOSMASW01,Cisco,Catalyst9300
149,10.70.40.13,PORORDS69,Juniper,QFX5120
150,10.30.29.17,SFOCAAG58,ADVA,FSP3000
151,10.40.28.179,BNATNED21,Cisco,ISR4431
152,10.60.163.110,PHLPADS69,Juniper,QFX5120
153,10.70.114.61,PORORED57,RAD,ETX-2
154,10.10.28.117,AUSTXDS24,ADVA,FSP150
155,10.60.36.222,PHLPADS73,ADVA,FSP150
156,10.50.90.226,ABQNMAG89,Arista,7280R
157,10.10.37.156,OKCOKCO92,Juniper,MX204
158,10.40.74.153,BNATNED66,Juniper,SRX345
159,10.10.156.33,OKCOKAG20,ADVA,FSP3000
160,10.30.254.112,LAXCADS61,ADVA,FSP150
161,10.60.94.243,PHLPASW02,Cisco,Catalyst9300
162,10.70.255.226,GEGWAAG52,Arista,7280R
163,10.20.240.251,PITPAED72,Cisco,ISR4431
164,10.70.27.6,PORORDS29,ADVA,FSP150
165,10.70.7.133,BOIIDCO55,Juniper,MX204
166,10.40.207.53,JAXFLSW32,Cisco,Catalyst9300
167,10.30.194.194,SEAWART82,Arista,7050X3
168,10.70.31.149,PORORSW39,Cisco,Catalyst9300
169,10.70.173.182,BOIIDSW33,Cisco,Catalyst9300
170,10.70.116.28,PORORDS73,ADVA,FSP150
171,10.20.94.113,PITPACO69,Juniper,MX204
172,10.30.234.190,SFOCADS27,Juniper,QFX5120
173,10.20.231.69,ATLGADS20,Juniper,QFX5120
174,10.60.49.68,NYCNYDS46,Juniper,QFX5120
175,10.70.141.99,PORORAG44,Arista,7280R
176,10.60.28.75,BOSMAAG12,Arista,7280R
177,10.60.127.4,BOSMART90,Arista,7050X3
178,10.60.210.142,BOSMACO86,Juniper,MX204
179,10.30.172.192,LAXCASW51,Cisco,Catalyst9300
180,10.50.110.35,ELPTXDS87,Juniper,QFX5120
181,10.60.223.173,BOSMAAG73,ADVA,FSP3000
182,10.10.161.38,OKCOKDS07,ADVA,FSP150
183,10.30.148.97,SEAWAED25,RAD,ETX-2
184,10.40.246.242,JAXFLCO38,Nokia,7750 SR-1
185,10.10.248.27,AUSTXSW71,Cisco,Catalyst9300
186,10.30.220.14,SEAWAAG68,Arista,7280R
187,10.60.34.242,NYCNYAG71,Arista,7280R
188,10.70.205.109,GEGWAED69,Juniper,SRX345
189,10.20.155.60,CLTNCSW77,Cisco,Catalyst9300
190,10.30.207.114,SEAWAAG06,ADVA,FSP3000
191,10.10.87.203,DALTXAG12,ADVA,FSP3000
192,10.20.60.178,PITPART30,Arista,7050X3
193,10.40.129.139,MIAFLDS68,Juniper,QFX5120
194,10.10.207.244,DALTXAG31,ADVA,FSP3000
195,10.30.62.108,SEAWAAG73,ADVA,FSP3000
196,10.30.122.235,SEAWADS77,Juniper,QFX5120
197,10.60.212.17,PHLPAED79,RAD,ETX-2
198,10.10.176.215,OKCOKRT11,Arista,7050X3
199,10.20.244.4,CLTNCED57,Cisco,ISR4431
200,10.70.62.142,BOIIDAG96,ADVA,FSP3000
201,10.10.109.56,OKCOKED82,Cisco,ISR4431
202,10.60.12.223,PHLPART13,Arista,7050X3
203,10.50.105.47,ELPTXED78,RAD,ETX-2
204,10.70.133.244,GEGWART23,Arista,7050X3
205,10.30.220.150,LAXCART04,Arista,7050X3
206,10.60.230.7,PHLPAAG06,Arista,7280R
207,10.70.150.179,PORORDS23,ADVA,FSP150
208,10.40.18.131,JAXFLED81,Juniper,SRX345
209,10.10.37.43,OKCOKCO16,Nokia,7750 SR-1
210,10.70.208.85,GEGWASW32,Cisco,Catalyst9300
211,10.20.79.150,CLTNCSW72,Cisco,Catalyst9300
212,10.60.169.105,PHLPART20,Arista,7050X3
213,10.20.30.194,CLTNCDS49,ADVA,FSP150
214,10.40.87.171,BNATNDS45,ADVA,FSP150
215,10.20.13.252,CLTNCDS63,Juniper,QFX5120
216,10.70.217.238,GEGWADS39,Juniper,QFX5120
217,10.70.75.53,PORORSW48,Cisco,Catalyst9300
218,10.30.243.132,LAXCADS45,Juniper,QFX5120
219,10.40.226.126,BNATNDS05,Juniper,QFX5120
220,10.30.226.177,SEAWASW50,Cisco,Catalyst9300
221,10.50.31.25,PHXAZDS26,ADVA,FSP150
222,10.60.58.78,BOSMASW87,Cisco,Catalyst9300
223,10.10.130.118,DALTXRT55,Arista,7050X3
224,10.30.117.148,SEAWADS94,Juniper,QFX5120
225,10.60.151.162,BOSMAAG49,ADVA,FSP3000
226,10.60.67.210,BOSMAED70,RAD,ETX-2
227,10.70.91.206,PORORRT42,Arista,7050X3
228,10.20.74.93,ATLGASW81,Cisco,Catalyst9300
229,10.10.7.47,AUSTXED29,RAD,ETX-2
230,10.30.96.248,SFOCACO54,Juniper,MX204
231,10.70.39.15,GEGWASW81,Cisco,Catalyst9300
232,10.40.50.30,JAXFLAG84,Arista,7280R
233,10.60.55.39,BOSMAAG62,Arista,7280R
234,10.60.137.153,PHLPART33,Arista,7050X3
235,10.10.12.45,OKCOKSW70,Cisco,Catalyst9300
236,10.60.116.116,PHLPAAG75,Arista,7280R
237,10.70.8.208,BOIIDRT77,Arista,7050X3
238,10.30.89.49,SFOCAAG35,Arista,7280R
239,10.70.107.74,BOIIDRT71,Arista,7050X3
240,10.60.206.63,PHLPADS77,Juniper,QFX5120
241,10.50.4.170,ABQNMSW39,Cisco,Catalyst9300
242,10.50.209.98,ABQNMED61,Juniper,SRX345
243,10.10.60.43,DALTXRT43,Arista,7050X3
244,10.60.234.216,BOSMASW48,Cisco,Catalyst9300
245,10.70.22.59,PORORSW71,Cisco,Catalyst9300
246,10.70.6.54,BOIIDAG12,Arista,7280R
247,10.10.206.233,OKCOKED78,Cisco,ISR4431
248,10.30.43.66,SFOCASW94,Cisco,Catalyst9300
249,10.70.27.142,PORORDS52,Juniper,QFX5120
250,10.20.163.173,ATLGADS07,ADVA,FSP150
251,10.70.231.248,BOIIDDS56,ADVA,FSP150
252,10.20.233.75,CLTNCDS20,Juniper,QFX5120
253,10.10.96.182,OKCOKSW90,Cisco,Catalyst9300
254,10.60.234.130,PHLPAED82,Cisco,ISR4431
255,10.10.62.103,DALTXDS22,Juniper,QFX5120
256,10.60.159.43,NYCNYAG78,ADVA,FSP3000
257,10.30.13.102,SEAWADS20,ADVA,FSP150
258,10.30.146.39,SFOCADS43,ADVA,FSP150
259,10.70.233.97,BOIIDRT07,Arista,7050X3
260,10.70.160.247,BOIIDED64,Juniper,SRX345
261,10.20.128.181,ATLGAAG58,ADVA,FSP3000
262,10.70.4.71,BOIIDSW58,Cisco,Catalyst9300
263,10.30.166.53,SEAWASW52,Cisco,Catalyst9300
264,10.10.164.250,OKCOKAG65,Arista,7280R
265,10.30.91.45,LAXCAAG67,Arista,7280R
266,10.10.220.198,OKCOKSW71,Cisco,Catalyst9300
267,10.70.84.58,BOIIDDS81,Juniper,QFX5120
268,10.70.228.78,BOIIDED72,RAD,ETX-2
269,10.10.47.110,AUSTXED59,RAD,ETX-2
270,10.20.60.218,CLTNCED80,RAD,ETX-2
271,10.70.134.155,GEGWASW07,Cisco,Catalyst9300
272,10.40.121.161,BNATNED30,RAD,ETX-2
273,10.30.47.248,LAXCADS13,ADVA,FSP150
274,10.70.157.222,BOIIDSW81,Cisco,Catalyst9300
275,10.70.203.21,GEGWADS01,Juniper,QFX5120
276,10.30.5.16,SEAWASW42,Cisco,Catalyst9300
277,10.30.199.209,SFOCAED17,Juniper,SRX345
278,10.60.215.48,BOSMAED77,Cisco,ISR4431
279,10.70.84.129,GEGWADS20,ADVA,FSP150
280,10.10.244.133,DALTXDS39,Juniper,QFX5120
281,10.70.175.128,GEGWART76,Arista,7050X3
282,10.50.165.88,ELPTXED61,Juniper,SRX345
283,10.50.151.57,ELPTXSW39,Cisco,Catalyst9300
284,10.30.205.118,SFOCASW32,Cisco,Catalyst9300
285,10.20.254.49,PITPADS69,Juniper,QFX5120
286,10.70.215.143,BOIIDDS99,Juniper,QFX5120
287,10.30.74.234,SFOCASW56,Cisco,Catalyst9300
288,10.60.128.16,NYCNYED70,Juniper,SRX345
289,10.30.223.42,SEAWASW24,Cisco,Catalyst9300
290,10.30.220.238,SEAWADS40,Juniper,QFX5120
291,10.70.132.83,GEGWADS59,ADVA,FSP150
292,10.20.20.32,PITPART63,Arista,7050X3
293,10.60.201.15,NYCNYCO23,Juniper,MX204
294,10.30.22.229,SEAWAED68,RAD,ETX-2
295,10.30.176.98,SEAWART40,Arista,7050X3
296,10.50.62.171,ELPTXSW66,Cisco,Catalyst9300
297,10.30.15.30,SFOCACO90,Cisco,NCS540
298,10.70.178.98,BOIIDAG43,ADVA,FSP3000
299,10.50.112.119,ELPTXCO76,Cisco,NCS540
300,10.60.200.36,NYCNYCO11,Cisco,NCS540
301,10.20.123.91,ATLGASW11,Cisco,Catalyst9300
302,10.30.3.15,SFOCADS46,ADVA,FSP150
303,10.60.163.174,NYCNYED60,Cisco,ISR4431
304,10.40.100.107,JAXFLSW45,Cisco,Catalyst9300
305,10.70.234.229,BOIIDED60,Juniper,SRX345
306,10.70.221.96,BOIIDSW78,Cisco,Catalyst9300
307,10.70.25.41,BOIIDSW56,Cisco,Catalyst9300
308,10.50.20.210,ELPTXCO35,Nokia,7750 SR-1
309,10.50.184.99,ABQNMSW12,Cisco,Catalyst9300
310,10.30.202.0,SFOCACO52,Juniper,MX204
311,10.30.16.237,LAXCACO53,Juniper,MX204
312,10.60.119.157,NYCNYSW01,Cisco,Catalyst9300
313,10.20.203.203,CLTNCED33,Cisco,ISR4431
314,10.30.11.230,SFOCART03,Arista,7050X3
315,10.10.9.52,AUSTXAG09,ADVA,FSP3000
316,10.20.5.212,PITPAED78,Cisco,ISR4431
317,10.30.237.201,SEAWART14,Arista,7050X3
318,10.70.185.115,GEGWART21,Arista,7050X3
319,10.60.134.23,PHLPADS68,ADVA,FSP150
320,10.40.192.86,JAXFLSW51,Cisco,Catalyst9300
321,10.20.79.195,ATLGADS72,Juniper,QFX5120
322,10.70.122.226,PORORDS90,ADVA,FSP150
323,10.60.41.56,NYCNYED82,Cisco,ISR4431
324,10.50.121.30,ELPTXDS08,Juniper,QFX5120
325,10.10.47.132,DALTXRT17,Arista,7050X3
326,10.30.241.203,SEAWADS81,ADVA,FSP150
327,10.30.26.29,SFOCASW74,Cisco,Catalyst9300
328,10.70.118.29,GEGWAED05,Cisco,ISR4431
329,10.60.188.123,NYCNYDS16,Juniper,QFX5120
330,10.20.166.124,ATLGAED97,Juniper,SRX345
331,10.60.145.150,NYCNYDS06,ADVA,FSP150
332,10.20.101.38,ATLGAED44,Cisco,ISR4431
333,10.70.183.254,BOIIDDS37,Juniper,QFX5120
334,10.60.50.234,PHLPADS07,ADVA,FSP150
335,10.60.96.240,PHLPAAG63,Arista,7280R
336,10.70.73.229,PORORDS58,ADVA,FSP150
337,10.50.49.179,PHXAZDS83,Juniper,QFX5120
338,10.60.148.188,NYCNYDS49,Juniper,QFX5120
339,10.60.212.139,BOSMASW49,Cisco,Catalyst9300
340,10.20.112.189,PITPAED68,Juniper,SRX345
341,10.70.22.75,GEGWADS28,ADVA,FSP150
342,10.70.172.30,GEGWASW95,Cisco,Catalyst9300
343,10.60.12.115,PHLPAED89,RAD,ETX-2
344,10.70.38.51,PORORAG31,Arista,7280R
345,10.20.18.27,PITPADS25,ADVA,FSP150
346,10.70.176.105,BOIIDED23,Juniper,SRX345
347,10.70.86.72,GEGWADS18,Juniper,QFX5120
348,10.70.76.4,GEGWAED66,RAD,ETX-2
349,10.40.220.107,MIAFLED04,RAD,ETX-2
350,10.70.75.149,PORORAG47,ADVA,FSP3000
351,10.60.62.168,BOSMADS16,ADVA,FSP150
352,10.40.26.63,BNATNED15,RAD,ETX-2
353,10.60.248.82,PHLPADS27,ADVA,FSP150
354,10.70.25.179,PORORCO61,Cisco,NCS540
355,10.10.98.40,DALTXDS44,Juniper,QFX5120
356,10.30.111.33,SEAWASW22,Cisco,Catalyst9300
357,10.30.79.222,SEAWASW74,Cisco,Catalyst9300
358,10.50.183.239,ABQNMED69,Cisco,ISR4431
359,10.10.107.91,OKCOKSW62,Cisco,Catalyst9300
360,10.70.187.83,PORORDS32,Juniper,QFX5120
361,10.70.41.144,BOIIDDS66,ADVA,FSP150
362,10.10.3.171,AUSTXRT93,Arista,7050X3
363,10.60.22.188,PHLPADS05,Juniper,QFX5120
364,10.40.129.231,BNATNSW03,Cisco,Catalyst9300
365,10.60.201.152,NYCNYDS05,Juniper,QFX5120
366,10.30.118.180,LAXCART50,Arista,7050X3
367,10.20.122.224,CLTNCSW07,Cisco,Catalyst9300
368,10.70.237.110,BOIIDSW06,Cisco,Catalyst9300
369,10.30.151.176,SFOCADS35,ADVA,FSP150
370,10.70.163.11,BOIIDDS65,Juniper,QFX5120
371,10.30.230.146,SEAWAAG44,ADVA,FSP3000
372,10.70.115.242,BOIIDSW80,Cisco,Catalyst9300
373,10.60.246.17,NYCNYED03,RAD,ETX-2
374,10.60.57.69,NYCNYSW65,Cisco,Catalyst9300
375,10.70.169.226,PORORAG49,Arista,7280R
376,10.30.9.176,SFOCADS01,Juniper,QFX5120
377,10.70.151.40,BOIIDED74,RAD,ETX-2
378,10.70.110.44,BOIIDDS80,ADVA,FSP150
379,10.10.35.80,AUSTXRT54,Arista,7050X3
380,10.10.6.52,OKCOKSW15,Cisco,Catalyst9300
381,10.10.244.160,AUSTXRT45,Arista,7050X3
382,10.10.221.64,AUSTXSW11,Cisco,Catalyst9300
383,10.70.128.158,GEGWAED83,Juniper,SRX345
384,10.30.2.181,SEAWADS53,ADVA,FSP150
385,10.60.131.149,NYCNYSW57,Cisco,Catalyst9300
386,10.30.147.220,LAXCAED74,Juniper,SRX345
387,10.70.144.160,GEGWACO08,Juniper,MX204
388,10.60.18.1,NYCNYSW99,Cisco,Catalyst9300
389,10.60.172.129,PHLPAED02,Juniper,SRX345
390,10.30.196.71,LAXCAED62,RAD,ETX-2
391,10.20.241.124,PITPASW46,Cisco,Catalyst9300
392,10.70.151.231,PORORSW47,Cisco,Catalyst9300
393,10.30.221.177,SFOCADS63,Juniper,QFX5120
394,10.70.194.233,BOIIDSW86,Cisco,Catalyst9300
395,10.60.162.180,PHLPAED58,Cisco,ISR4431
396,10.20.215.11,PITPASW31,Cisco,Catalyst9300
397,10.20.10.102,ATLGART55,Arista,7050X3
398,10.40.206.7,MIAFLDS37,ADVA,FSP150
399,10.30.245.53,SFOCASW85,Cisco,Catalyst9300
400,10.30.160.67,SEAWASW96,Cisco,Catalyst9300
401,10.60.245.95,PHLPASW91,Cisco,Catalyst9300
402,10.70.45.242,PORORSW18,Cisco,Catalyst9300
403,10.30.102.169,SFOCAED21,Cisco,ISR4431
404,10.70.237.144,PORORAG67,Arista,7280R
405,10.30.181.54,LAXCASW36,Cisco,Catalyst9300
406,10.60.67.190,NYCNYCO04,Cisco,NCS540
407,10.60.252.252,BOSMAAG76,Arista,7280R
408,10.20.2.2,PITPART04,Arista,7050X3
409,10.70.200.42,GEGWAED42,Juniper,SRX345
410,10.60.255.68,PHLPAAG88,Arista,7280R
411,10.60.247.184,BOSMAAG04,Arista,7280R
412,10.30.135.226,SEAWART84,Arista,7050X3
413,10.60.128.242,PHLPAAG49,ADVA,FSP3000
414,10.40.125.45,BNATNSW22,Cisco,Catalyst9300
415,10.60.222.105,NYCNYSW32,Cisco,Catalyst9300
416,10.50.40.15,PHXAZAG65,Arista,7280R
417,10.30.212.150,SFOCASW63,Cisco,Catalyst9300
418,10.30.88.41,SEAWAAG30,ADVA,FSP3000
419,10.70.54.78,GEGWAED78,RAD,ETX-2
420,10.30.111.163,LAXCADS80,ADVA,FSP150
421,10.70.154.251,PORORAG10,Arista,7280R
422,10.30.212.135,SFOCADS57,ADVA,FSP150
423,10.10.29.163,OKCOKED39,Juniper,SRX345
424,10.70.205.25,PORORED18,Juniper,SRX345
425,10.60.1.201,PHLPART67,Arista,7050X3
426,10.30.14.3,SFOCAED05,RAD,ETX-2
427,10.30.3.141,SEAWADS11,ADVA,FSP150
428,10.60.26.49,PHLPADS87,ADVA,FSP150
429,10.30.150.120,SEAWART79,Arista,7050X3
430,10.30.13.28,LAXCACO51,Nokia,7750 SR-1
431,10.60.33.217,BOSMADS44,Juniper,QFX5120
432,10.60.159.160,PHLPAAG15,Arista,7280R
433,10.10.169.109,OKCOKCO84,Juniper,MX204
434,10.70.195.114,PORORED49,RAD,ETX-2
435,10.40.93.218,MIAFLED62,Juniper,SRX345
436,10.30.225.217,LAXCAAG82,Arista,7280R
437,10.60.231.169,NYCNYRT78,Arista,7050X3
438,10.30.122.104,SFOCAAG29,ADVA,FSP3000
439,10.70.41.84,GEGWADS65,Juniper,QFX5120
440,10.70.77.244,BOIIDDS70,ADVA,FSP150
441,10.30.93.182,SEAWASW69,Cisco,Catalyst9300
442,10.50.254.19,PHXAZCO86,Cisco,NCS540
443,10.70.64.237,PORORRT21,Arista,7050X3
444,10.20.184.143,ATLGAED21,Cisco,ISR4431
445,10.30.22.11,LAXCAED48,Juniper,SRX345
446,10.70.219.110,PORORSW80,Cisco,Catalyst9300
447,10.10.196.135,DALTXAG74,ADVA,FSP3000
448,10.70.50.69,BOIIDED77,RAD,ETX-2
449,10.10.176.172,OKCOKSW28,Cisco,Catalyst9300
450,10.70.52.91,BOIIDSW14,Cisco,Catalyst9300
451,10.70.72.234,GEGWAED94,Cisco,ISR4431
452,10.70.106.110,BOIIDRT64,Arista,7050X3
453,10.20.113.115,ATLGASW60,Cisco,Catalyst9300
454,10.60.16.139,BOSMADS85,ADVA,FSP150
455,10.30.29.139,SFOCASW28,Cisco,Catalyst9300
456,10.60.226.92,PHLPADS01,ADVA,FSP150
457,10.70.64.25,GEGWART85,Arista,7050X3
458,10.60.40.162,PHLPAED87,Cisco,ISR4431
459,10.60.175.225,PHLPAAG23,Arista,7280R
460,10.30.54.86,SFOCADS88,Juniper,QFX5120
461,10.60.35.131,BOSMADS36,Juniper,QFX5120
462,10.60.160.179,NYCNYRT51,Arista,7050X3
463,10.60.15.199,BOSMADS97,ADVA,FSP150
464,10.50.126.97,PHXAZED59,RAD,ETX-2
465,10.10.172.113,OKCOKED43,Cisco,ISR4431
466,10.10.185.24,AUSTXSW15,Cisco,Catalyst9300
467,10.20.185.4,ATLGART53,Arista,7050X3
468,10.70.111.146,BOIIDDS89,Juniper,QFX5120
469,10.70.80.47,GEGWASW38,Cisco,Catalyst9300
470,10.60.21.37,NYCNYRT08,Arista,7050X3
471,10.30.88.39,SEAWADS18,Juniper,QFX5120
472,10.30.115.245,SEAWADS89,Juniper,QFX5120
473,10.20.6.241,CLTNCSW97,Cisco,Catalyst9300
474,10.10.166.162,DALTXSW02,Cisco,Catalyst9300
475,10.20.162.122,PITPADS50,ADVA,FSP150
476,10.60.135.1,PHLPART57,Arista,7050X3
477,10.30.254.200,LAXCAED41,Juniper,SRX345
478,10.20.59.138,CLTNCSW71,Cisco,Catalyst9300
479,10.30.147.239,SFOCASW98,Cisco,Catalyst9300
480,10.10.67.54,OKCOKCO17,Juniper,MX204
481,10.60.233.109,BOSMADS74,ADVA,FSP150
482,10.10.167.3,OKCOKAG21,Arista,7280R
483,10.20.107.75,CLTNCSW38,Cisco,Catalyst9300
